# GRID V — frozen at `holdout.py --freeze`.  KEY ILX evaluated
# on the captured .ex ALONE: no obj was compiled and no
# disassembly was taken by this run.
cell	ru	cu	clause	predict	sha256_src	sha256_ex
V1-self-mid-r1k1	1	1	SELF-1B	prod	98e704d9212e32722ce98ef4147b03bbc38d57d6aec713b0ac7f628ce4ae8317	9cf4e19bf35935c796e412a50eb58eb4eab8d070e139c45aa8b037ec159a44d2
V1-self-mid-r3k4	3	4	SELF-1B	prod	cfff766a415176c03a924ac07688b1f91616d2387132b851572b16c4534e66ec	7d2340abf2a9a00d6acc9d7ebaeb97ab64220243cc75ec384b6a1476aca2de3d
V1-self-mid-r3k5	3	5	SELF-1B	const	6cf47d9b43ba9f2262e27f9f9f66f2d7873a55d6e4703084d662da62a839d593	72e9a08fc4a9b56c6b4fd3fe628a9c16c6f65b482f63004994586490d558ba4b
V1-self-mid-r2k5	2	5	SELF-1B	const	3c0ca88172f0907c989886e645d505fcb21b04b33cea216ae9c5a500ac8fb7f1	2f7c5b0e3657f6ffca498730df952a72fec38d9a14202ffc7b0ff4c510e5af8b
V1-self-mid-r4k2	4	2	SELF-1B	prod	e1eb1517e4949d61b390e81b62d5829b66f061beb1e603e1f4d7f20119e8bb24	b84fa31c8d7ccb4fb25eeb0b19b50e8deee7226a6685b235f87033a9b8465406
V2-self-in1-r1k1	1	1	SELF-1B	prod	bf1e47611da32d2cfb35957f6cb794672ec8be4e6c15ab09676e9f7639445ede	b04336476339f0b9ddf6c5ce6629cde775e2bec27e4fc1eb01689c13bdadd547
V2-self-in1-r3k4	3	4	SELF-1B	prod	51bc2f72390982cadb38bf456622a3ff42be9e4c37e00302a22a8433bdce331b	ed3b9d48adea7f4f977ec84a8bbbc33eaed7921be944c3d823ad3a490149b4b7
V2-self-in1-r3k5	3	5	SELF-1B	const	92f9f12a32dd09ee2d415fcd3df81af095c4b8fee53d9946e78d0cd89d98f36a	7f03c2523befa0969e9a73dfa027ca9f2a02964589a855f64d4597cd11bd922a
V2-self-in1-r2k5	2	5	SELF-1B	const	a110cbfaca4ab8b210652d39b5a0c6a824f8e8e46c6064f49217b19c51ed970a	c649fdf0924cccb0656e9f4a1b2ccf02745a06fc22565a0ded3c0454dfa0d2df
V2-self-in1-r4k2	4	2	SELF-1B	prod	11bda850d54a6f85dfd047eff371273c61e15caeeb620f9d652351bdcc603d15	4ebd7715ed32361d231a640fb26ac9c3ecf411a74b0ead69ab82d639ef3c7d5c
V3-cross-in2-r1k1	1	1	CROSS	const	2c4e6864b1a721de05fffb2a630cfdf910836d28cb4829b086f9e338b1ecd97c	3d43d92a9fdfc10d06b83e54c8203213b681509c82536c9d59a284d5233cefae
V3-cross-in2-r3k4	3	4	CROSS	prod	f74995ced7abedb217f55e949617211a98ffeb848e1ce5601cda7fba4dbb9c18	bdbe17834c7b3b4fcc2cd9ff23ab3c7e5bda76cff58c872b6f8f9fd69c2479f2
V3-cross-in2-r3k5	3	5	CROSS	prod	096ecda79a84cee7316cf7447aec247117cee7e58c5dac39fc0dc1dd888973dc	1709bf46864e7e18cf200f29b7c01b51719266798d46972fc35b794ac597065f
V3-cross-in2-r2k5	2	5	CROSS	prod	285340e64fbaef1fc6804c209ae66d6a4a6a164d13ff5fe72884693aebb891c0	23bc763099cbaaabf123e98cc99157d34042761f0e038463978a79127ce2c459
V3-cross-in2-r4k2	4	2	CROSS	prod	b546ea26065f9dac9cbcb95bbe67066c8fae91932720f18090feaa117f919648	8e75b9344354338994aeca5a2ac048a6cdaec82a8e79ab1d18615d3e84014a58
V4-cross-tail-r1k1	1	1	CROSS	const	f798b22b968537e6e829e1394873ad76f4cd6812709a1b73818263bd17f992b4	d67ebb311887df9ca68cd05e075593bcf2fe40b6da1853f614c356758472247b
V4-cross-tail-r3k4	3	4	CROSS	prod	6d73bf1b7732aad870e7595ecc95d39402b7a6ceb19cc912cefe56f162bda9f1	5bd6982ccc09bf00e06334dbcff24283cc632fa4c1bb0daedf2f59c620794688
V4-cross-tail-r3k5	3	5	CROSS	prod	a233aca803c6f60deedb49aef58782e1340fabbb2400c091a663ffe664d270bc	711b164c9d44b09e8f522f4cff434c9a0e03391353d683b4ede0a02ce189d3cd
V4-cross-tail-r2k5	2	5	CROSS	prod	00b68c8de733332628c371d67733b32162c39ec501c32721388a6b286e116e80	de907db0eed2a1ba69a1c940b8e60574fe5fe167265b1791c79b3d2a6f8c98a0
V4-cross-tail-r4k2	4	2	CROSS	prod	c003780289d9f79246e27d5964654ef950b7f0e6e04fd787df95c877eee9cf5f	6977e99a30ab202e72449c96e5fa5061cdd9e301cc9dfc6cb15537873264a977
V5-otherptr-r1k1	1	1	CROSS	const	de6ada38a6f4c42b66e00e03db9138b34cea85c0cf7375639ecb9ad718cba40e	81e1dc56c5cd1e8cdfe63e73474a39316b3d0edb03354e0ed069e744f0537b69
V5-otherptr-r3k4	3	4	CROSS	prod	3eb7e9cbf8c633bf19cb6e3ab232282430c386ae96a7824a358ef1b72753fa17	f3dc0f599e60c617bf1a069908cee0e70263ac1131cf1ecf11beea235a13f22c
V5-otherptr-r3k5	3	5	CROSS	prod	5aa367f6630fa9968304fefb1352a800da99df3dbf412c769237512cc095bf61	f50ed20a005e3b78ae2e74a19d2988cc600f8aa9fd878d66800f372dc6c3ca70
