cell             class           nprod   cnt  lead   obs  COUNT   LEAD verdict
ar_rt_fl         arity1              1     1     1     1      1      1  LEAD-HIT COUNT-HIT
ar_rt_lf         arity1              1     1     0     0      1      0  LEAD-HIT COUNT-MISS
ar_rtr_ffl       arity1              1     2     2     2      2      2  LEAD-HIT COUNT-HIT
ar_rtt_lff       arity1              1     2     0     0      2      0  LEAD-HIT COUNT-MISS
ar_tr_fl         arity1              1     1     1     1      1      1  LEAD-HIT COUNT-HIT
ar_tr_lf         arity1              1     1     0     0      1      0  LEAD-HIT COUNT-MISS
ar_trr_flf       arity1              1     2     2     2      2      2  LEAD-HIT COUNT-HIT
ar_trt_lff       arity1              1     2     0     0      2      0  LEAD-HIT COUNT-MISS
bb_rt_lf         base-bind-live      1     1     0     0      1      0  LEAD-HIT COUNT-MISS
bb_tr_lf         base-bind-live      1     1     0     0      1      0  LEAD-HIT COUNT-MISS
lv_rt_lp         live-arg            1     1     0     0      1      0  LEAD-HIT COUNT-MISS
lv_tr_pf         live-arg            0     2     2     1      1      1  LEAD-HIT COUNT-HIT
lv_trt_lpf       live-arg            1     2     0     0      2      0  LEAD-HIT COUNT-MISS
r2_rr_ff         two-single          0     2     2     1      1      1  LEAD-HIT COUNT-HIT
r2_rr_fl         two-single          1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r2_rr_lf         two-single          1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r2_rr_ll         two-single          1     0     0     0      0      0  LEAD-HIT COUNT-HIT
r2_rt_ff         two-multi           0     2     2     1      1      1  LEAD-HIT COUNT-HIT
r2_rt_fl         two-multi           1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r2_rt_lf         two-multi           1     1     0     0      1      0  LEAD-HIT COUNT-MISS
r2_rt_ll         two-multi           1     0     0     0      0      0  LEAD-HIT COUNT-HIT
r2_tr_ff         two-multi           0     2     2     1      1      1  LEAD-HIT COUNT-HIT
r2_tr_fl         two-multi           1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r2_tr_lf         two-multi           1     1     0     0      1      0  LEAD-HIT COUNT-MISS
r2_tr_ll         two-multi           1     0     0     0      0      0  LEAD-HIT COUNT-HIT
r2_tt_ff         two-single          0     2     2     1      1      1  LEAD-HIT COUNT-HIT
r2_tt_fl         two-single          1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r2_tt_lf         two-single          1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r2_tt_ll         two-single          1     0     0     0      0      0  LEAD-HIT COUNT-HIT
r3_rrr_fff       three-single        0     3     2     1      1      1  LEAD-HIT COUNT-HIT
r3_rrr_ffl       three-single        1     2     2     2      2      2  LEAD-HIT COUNT-HIT
r3_rrr_flf       three-single        1     2     2     2      2      2  LEAD-HIT COUNT-HIT
r3_rrr_fll       three-single        1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r3_rrr_lff       three-single        1     2     2     2      2      2  LEAD-HIT COUNT-HIT
r3_rrr_lfl       three-single        1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r3_rrr_llf       three-single        1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r3_rrr_lll       three-single        1     0     0     0      0      0  LEAD-HIT COUNT-HIT
r3_rrt_fff       three-multi         0     3     2     1      1      1  LEAD-HIT COUNT-HIT
r3_rrt_ffl       three-multi         1     2     2     2      2      2  LEAD-HIT COUNT-HIT
r3_rrt_flf       three-multi         1     2     1     1      2      1  LEAD-HIT COUNT-MISS
r3_rrt_fll       three-multi         1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r3_rrt_lff       three-multi         1     2     1     1      2      1  LEAD-HIT COUNT-MISS
r3_rrt_lfl       three-multi         1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r3_rrt_llf       three-multi         1     1     0     0      1      0  LEAD-HIT COUNT-MISS
r3_rrt_lll       three-multi         1     0     0     0      0      0  LEAD-HIT COUNT-HIT
r3_rtr_fff       three-multi         0     3     2     1      1      1  LEAD-HIT COUNT-HIT
r3_rtr_ffl       three-multi         1     2     2     2      2      2  LEAD-HIT COUNT-HIT
r3_rtr_flf       three-multi         1     2     1     1      2      1  LEAD-HIT COUNT-MISS
r3_rtr_fll       three-multi         1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r3_rtr_lff       three-multi         1     2     0     0      2      0  LEAD-HIT COUNT-MISS
r3_rtr_lfl       three-multi         1     1     0     0      1      0  LEAD-HIT COUNT-MISS
r3_rtr_llf       three-multi         1     1     0     0      1      0  LEAD-HIT COUNT-MISS
r3_rtr_lll       three-multi         1     0     0     0      0      0  LEAD-HIT COUNT-HIT
r3_rtt_fff       three-multi         0     3     2     1      1      1  LEAD-HIT COUNT-HIT
r3_rtt_ffl       three-multi         1     2     2     2      2      2  LEAD-HIT COUNT-HIT
r3_rtt_flf       three-multi         1     2     2     2      2      2  LEAD-HIT COUNT-HIT
r3_rtt_fll       three-multi         1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r3_rtt_lff       three-multi         1     2     0     0      2      0  LEAD-HIT COUNT-MISS
r3_rtt_lfl       three-multi         1     1     0     0      1      0  LEAD-HIT COUNT-MISS
r3_rtt_llf       three-multi         1     1     0     0      1      0  LEAD-HIT COUNT-MISS
