CELL                 GAP.base    GAP.tip2    KEY.base                                       KEY.tip2
k_2binds             vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
k_2binds_c           match       match       IN-CLASS                                       IN-CLASS
k_2binds_same        vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
k_2binds_same_c      match       match       IN-CLASS                                       IN-CLASS
k_2const             vocab-gap   vocab-gap   store-run-bind-no-emitter-carrier:eof          store-run-bind-multi-producer:eof
k_2const_c           match       match       IN-CLASS                                       IN-CLASS
k_3const             vocab-gap   vocab-gap   store-run-bind-no-emitter-carrier:eof          store-run-bind-multi-producer:eof
k_3const_c           match       match       IN-CLASS                                       IN-CLASS
k_base0p             vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
k_base0p_c           match       match       IN-CLASS                                       IN-CLASS
k_base1              vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
k_base1_c            match       match       IN-CLASS                                       IN-CLASS
k_base2              vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
k_base2_c            match       match       IN-CLASS                                       IN-CLASS
k_both1              vocab-gap   vocab-gap   store-run-bind-no-emitter-carrier:eof          store-run-bind-address-producer:eof
k_both1_c            codegen-gap codegen-gap IN-CLASS                                       IN-CLASS
k_both2              vocab-gap   vocab-gap   store-run-bind-no-emitter-carrier:eof          store-run-bind-address-producer:eof
k_both2_c            codegen-gap codegen-gap IN-CLASS                                       IN-CLASS
k_call               vocab-gap   vocab-gap   store-run-bind-no-emitter-carrier:eof          store-run-bind-call-tail-mr-slot:eof
k_call_c             match       match       IN-CLASS                                       IN-CLASS
k_callmix            vocab-gap   vocab-gap   store-run-bind-no-emitter-carrier:eof          store-run-bind-mixed-kind-alloc:eof
k_callmix_c          codegen-gap codegen-gap IN-CLASS                                       IN-CLASS
k_ctrl_ctorcall      match       match       IN-CLASS                                       IN-CLASS
k_ctrl_leaf          match       match       IN-CLASS                                       IN-CLASS
k_ctrl_run           match       match       IN-CLASS                                       IN-CLASS
k_dead               vocab-gap   vocab-gap   expr-op-0x27                                   expr-op-0x27
k_dead_c             match       match       IN-CLASS                                       IN-CLASS
k_gap0               vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
k_gap0_c             match       match       IN-CLASS                                       IN-CLASS
k_gap1               vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
k_gap1_c             match       match       IN-CLASS                                       IN-CLASS
k_gap2               vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
k_gap2_c             match       match       IN-CLASS                                       IN-CLASS
k_gap3               vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
k_gap3_c             match       match       IN-CLASS                                       IN-CLASS
k_mix_c1             vocab-gap   vocab-gap   store-run-bind-no-emitter-carrier:eof          store-run-bind-mixed-kind-alloc:eof
k_mix_c1_c           codegen-gap codegen-gap IN-CLASS                                       IN-CLASS
k_mix_c2             vocab-gap   vocab-gap   store-run-bind-no-emitter-carrier:eof          store-run-bind-mixed-kind-alloc:eof
k_mix_c2_c           codegen-gap codegen-gap IN-CLASS                                       IN-CLASS
k_nonthis            vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
k_nonthis_c          vocab-gap   vocab-gap   expr-op-0x27                                   expr-op-0x27
k_off0               vocab-gap   vocab-gap   expr-op-0x27                                   expr-op-0x27
k_off0_c             match       match       IN-CLASS                                       IN-CLASS
k_off24              vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
k_off24_c            match       match       IN-CLASS                                       IN-CLASS
k_pos_first          vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
k_pos_first_c        match       match       IN-CLASS                                       IN-CLASS
k_pos_last           vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
k_pos_last_c         match       match       IN-CLASS                                       IN-CLASS
k_target             vocab-gap   vocab-gap   store-run-bind-no-emitter-carrier:eof          store-run-bind-mixed-kind-alloc:eof
k_target_direct      codegen-gap codegen-gap IN-CLASS                                       IN-CLASS
k_val1               vocab-gap   vocab-gap   store-run-bind-no-emitter-carrier:eof          store-run-bind-mixed-kind-alloc:eof
k_val1_c             codegen-gap codegen-gap IN-CLASS                                       IN-CLASS
