cell	class	framed	stride	minted	charge	sy_decls	sy_kinds	owned	anchors_ok	ex_defs	ex_bwd_t	ex_bwd_uncond	ex_bwd_cond	ex_fwd_t	ex_fwd_uncond	ex_fwd_cond
h-switch	leaf	False	1	1	0	6	3:2,4:4	12	True	5	0	0	0	1	4	0
h-break-nested	leaf	False	6	1	5	7	3:3,5:3,7:1	13	True	7	2	2	0	5	3	3
h-continue	leaf	False	3	1	2	4	3:3,5:1	9	True	4	1	2	0	3	1	2
h-while-in-for	leaf	False	5	1	4	5	3:3,5:2	12	True	5	2	2	0	3	1	2
h-for-in-while	leaf	False	5	1	4	5	3:2,5:3	12	True	5	2	2	0	3	1	2
h-goto-fwd	leaf	False	1	1	0	3	2:2,3:1	7	True	3	0	0	0	3	4	1
h-do-in-for	leaf	False	4	1	3	6	3:3,4:3	12	True	6	2	1	1	2	1	1
h-if-in-loop	leaf	False	3	1	2	4	3:2,5:2	9	True	4	1	1	0	3	1	2
h-mixed3	leaf	False	6	1	5	8	2:3,3:5	15	True	8	3	2	1	3	1	2
h-for-empty	leaf	False	3	1	2	3	3:3	8	True	3	1	1	0	2	1	1
h-while-brk-cont	leaf	False	6	1	5	4	3:2,5:2	9	True	4	1	2	0	3	1	3
h-tern-loop	leaf	False	5	1	4	2	3:2	7	True	2	1	1	0	1	0	1
h-nest-call	framed	True	11	7	4	6	3:3,5:3	12	True	6	2	2	0	4	2	2
