#full_expr	88806
#full_stmt	5184
token	expr_without	expr_margin	stmt_without	stmt_margin	match	fnbyte
op:02	88806	0	5047	137	18	29785
op:03	88806	0	5135	49	18	29785
op:04	88806	0	4969	215	18	29785
op:05	87592	1214	5179	5	18	29785
op:06	88764	42	5172	12	18	29785
op:09	88806	0	5180	4	18	29785
op:0A	86778	2028	5182	2	18	29785
op:0B	88806	0	5165	19	18	29785
op:0C	88806	0	5182	2	18	29785
op:0D	88806	0	5184	0	18	29785
op:0F	86876	1930	4381	803	18	29785
op:1A	88102	704	5074	110	18	29785
op:1F	82263	6543	4281	903	18	29785
op:20	81800	7006	1961	3223	18	29785
op:21	87908	898	4636	548	18	29785
op:22	87330	1476	4589	595	18	29785
op:23	88106	700	5126	58	18	29785
op:24	87621	1185	5141	43	18	29785
op:26	63343	25463	309	4875	18	29785
op:27	54788	34018	4209	975	18	29785
op:28	88116	690	5080	104	18	29785
op:29	0	88806	0	5184	18	29785
op:2C	27451	61355	1513	3671	18	29785
op:30	39389	49417	716	4468	18	29785
op:32	60707	28099	1409	3775	18	29785
op:33	88806	0	313	4871	18	29785
op:35	87590	1216	5081	103	18	29785
op:38	69553	19253	2413	2771	18	29785
op:39	85543	3263	3978	1206	18	29785
op:3A	1	88805	0	5184	18	29785
op:40	55353	33453	3378	1806	18	29785
op:41	28639	60167	3418	1766	18	29785
op:43	85322	3484	3007	2177	18	29785
op:44	77213	11593	968	4216	18	29785
op:4B	21080	67726	673	4511	18	29785
op:4C	12397	76409	634	4550	18	29785
op:4F	0	88806	574	4610	18	29785
op:53	73079	15727	3795	1389	18	29785
op:54	0	88806	0	5184	18	29785
op:55	17444	71362	835	4349	18	29785
op:5C	75374	13432	3910	1274	18	29785
op:5D	88806	0	4347	837	18	29785
op:5E	88806	0	4753	431	18	29785
op:66	63358	25448	4608	576	18	29785
op:67	88806	0	5184	0	18	29785
op:99	27671	61135	1971	3213	18	29785
op:9B	75528	13278	891	4293	18	29785
op:B9	88806	0	792	4392	18	29785
op:BD	24839	63967	634	4550	18	29785
type	88806	0	5184	0	18	29785
convert	88806	0	5184	0	18	29785
intrinsic	88806	0	5184	0	18	29785
