; image sha256 c80981c015166effecc71ad8112d5577a065b2300891dfdb02b9c13787a66258 — matches the pin
; ImageBase 0x10b00000
producer_class	consumer_class	latency
0	0	-1
0	1	-1
0	2	-1
0	3	-1
0	4	-1
0	5	-1
0	6	-1
0	7	-1
0	8	-1
0	9	-1
0	10	-1
1	0	-1
1	1	2
1	2	-1
1	3	-8
1	4	-1
1	5	-1
1	6	-1
1	7	-1
1	8	-2
1	9	5
1	10	5
2	0	-1
2	1	-1
2	2	10
2	3	-6
2	4	-1
2	5	-1
2	6	-1
2	7	-1
2	8	-1
2	9	0
2	10	0
3	0	-1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
4	0	-1
4	1	-4
4	2	-1
4	3	0
4	4	4
4	5	4
4	6	4
4	7	4
4	8	-1
4	9	7
4	10	-1
5	0	-1
5	1	-4
5	2	-1
5	3	5
5	4	4
5	5	4
5	6	4
5	7	4
5	8	-1
5	9	4
5	10	0
6	0	-1
6	1	-4
6	2	12
6	3	-6
6	4	12
6	5	12
6	6	12
6	7	12
6	8	-1
6	9	12
6	10	0
7	0	-1
7	1	-4
7	2	-1
7	3	0
7	4	16
7	5	16
7	6	16
7	7	14
7	8	-1
7	9	14
7	10	0
8	0	-1
8	1	-7
8	2	-1
8	3	0
8	4	-1
8	5	-1
8	6	-1
8	7	-1
8	8	-3
8	9	5
8	10	5
9	0	-1
9	1	-5
9	2	1
9	3	0
9	4	2
9	5	1
9	6	1
9	7	1
9	8	-5
9	9	0
9	10	-1
10	0	-1
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	0
10	7	0
10	8	0
10	9	0
10	10	0
