# w-backedge GRID 1 — the fitting set. FROZEN BY CONTENT HASH in PREREG.md §0
# before the first cl.exe. Columns: name <TAB> class <TAB> probe body.
# The probe is always `int P(int a){ <body> }`; `class` is leaf|framed and is a
# PREDICTION of the frame class, checked against the obj (a `framed` row whose
# obj has no $M triple, or a `leaf` row that mints one, is a FAILED cell and is
# printed as such rather than quietly re-classified).
#
# AXES (structural, crossed — values are varied only INSIDE a cell):
#   A  loop/branch FORM          8 forms
#   B  COUNT of sequential instances    1,2,3   x {while,dowhile,for}
#   C  NESTING depth             1,2,3
#   D  a CALL in the loop body   {while,dowhile,for}    (leaf -> framed)
#   E  COUNT of forward-only branches   1,2,3,4
#   F  branch SENSE (38 brfalse vs 39 brtrue)
#   G  straight-line SIZE control — must NOT move the charge (#2341's control)
#
# --- A: the forms -----------------------------------------------------------
a-none	leaf	return a+1;
a-if	leaf	if (a) return 5; return a+1;
a-ifelse	leaf	int r; if (a) r=5; else r=7; return r+a;
a-while	leaf	int r=0; while (a) { r=r+a; a=a-1; } return r;
a-dowhile	leaf	int r=0; do { r=r+a; a=a-1; } while (a); return r;
a-for	leaf	int r=0; for (int i=0;i<a;i=i+1) r=r+i; return r;
a-forever	leaf	int r=0; for(;;){ r=r+a; a=a-1; if(!a) break; } return r;
a-goto-back	leaf	int r=0; top: r=r+a; a=a-1; if (a) goto top; return r;
# --- B: the COUNT axis ------------------------------------------------------
b-while2	leaf	int r=0; while (a) { r=r+a; a=a-1; } int b=r; while (b) { r=r+b; b=b-1; } return r;
b-while3	leaf	int r=0; while (a) { r=r+a; a=a-1; } int b=r; while (b) { r=r+b; b=b-1; } int c=r; while (c) { r=r+c; c=c-1; } return r;
b-dowhile2	leaf	int r=0; do { r=r+a; a=a-1; } while (a); int b=r; do { r=r+b; b=b-1; } while (b); return r;
b-dowhile3	leaf	int r=0; do { r=r+a; a=a-1; } while (a); int b=r; do { r=r+b; b=b-1; } while (b); int c=r; do { r=r+c; c=c-1; } while (c); return r;
b-for2	leaf	int r=0; for (int i=0;i<a;i=i+1) r=r+i; for (int j=0;j<a;j=j+1) r=r+j; return r;
b-for3	leaf	int r=0; for (int i=0;i<a;i=i+1) r=r+i; for (int j=0;j<a;j=j+1) r=r+j; for (int k=0;k<a;k=k+1) r=r+k; return r;
# --- C: the NESTING axis ----------------------------------------------------
c-nest2	leaf	int r=0; for (int i=0;i<a;i=i+1) for (int j=0;j<a;j=j+1) r=r+j; return r;
c-nest3	leaf	int r=0; for (int i=0;i<a;i=i+1) for (int j=0;j<a;j=j+1) for (int k=0;k<a;k=k+1) r=r+k; return r;
c-nestwhile2	leaf	int r=0; int b=a; while (b) { int c=a; while (c) { r=r+c; c=c-1; } b=b-1; } return r;
# --- D: a CALL in the body (frame class flips) ------------------------------
d-while-call	framed	int r=0; while (a) { r=r+ga(a); a=a-1; } return r;
d-dowhile-call	framed	int r=0; do { r=r+ga(a); a=a-1; } while (a); return r;
d-for-call	framed	int r=0; for (int i=0;i<a;i=i+1) r=r+ga(i); return r;
d-none-call	framed	return ga(a)+1;
# --- E: the COUNT of forward-only branches ----------------------------------
e-if2	leaf	if (a) return 5; if (a==2) return 6; return a+1;
e-if3	leaf	if (a) return 5; if (a==2) return 6; if (a==3) return 7; return a+1;
e-if4	leaf	if (a) return 5; if (a==2) return 6; if (a==3) return 7; if (a==4) return 8; return a+1;
# --- F: the branch SENSE ----------------------------------------------------
f-while-neg	leaf	int r=0; while (!a) { r=r+1; a=a-1; } return r;
f-dowhile-neg	leaf	int r=0; do { r=r+1; a=a-1; } while (!a); return r;
# --- G: the straight-line SIZE control --------------------------------------
g-stmt1	leaf	int r=a+1; return r;
g-stmt8	leaf	int r=a+1; r=r^3; r=r+5; r=r|9; r=r^17; r=r+33; r=r|65; r=r^129; return r;
