provenance:
  c2-rs      e44f3eef468f (clean)  <repo>/.claude/worktrees/w-refs
  binary     3efa0292c98a9bfa  <repo>/.claude/worktrees/w-refs/target/release/c2rs
  workload   (none — fixtures)
  wibo       wibo 1.0.1-23-g4a9dd6f (Linux x86_64)  <home>/code/milohax/wibo/build/release/wibo
  cl.exe     <repo>/compilers/X360/16.00.11886.00/cl.exe
  c2.dll     <repo>/compilers/X360/16.00.11886.00/c2.dll
  c1xx.dll   <repo>/compilers/X360/16.00.11886.00/c1xx.dll
  strace     /usr/bin/strace
  mingw      /usr/bin/i686-w64-mingw32-gcc
oracle self-test (determinism + capture stability):
  add3.cpp                           PASS   obj=1005B ex=3134B
  il_accum4.cpp                      PASS   obj=1285B ex=3735B
  il_base_member.cpp                 PASS   obj=1150B ex=3602B
  il_bool_materialization.cpp        PASS   obj=1160B ex=3312B
  il_call_args1.cpp                  PASS   obj=1108B ex=3122B
  il_call_args2.cpp                  PASS   obj=1226B ex=3370B
  il_call_bound_neg.cpp              PASS   obj=964B ex=2928B
  il_call_multi.cpp                  PASS   obj=1344B ex=3607B
  il_call_perm.cpp                   PASS   obj=1277B ex=3598B
  il_call_return.cpp                 PASS   obj=1904B ex=3867B
  il_call_value.cpp                  PASS   obj=1178B ex=3345B
  il_convert_scalar.cpp              PASS   obj=1606B ex=4515B
  il_deep_chain.cpp                  PASS   obj=998B ex=3081B
  il_dllexport_neg.cpp               PASS   obj=910B ex=2868B
  il_drectve_pragma.cpp              PASS   obj=859B ex=2751B
  il_dyninit_static.cpp              PASS   obj=1294B ex=2787B
  il_expr_call_value.cpp             PASS   obj=1801B ex=3576B
  il_expr_cast.cpp                   PASS   obj=1226B ex=3689B
  il_expr_deref.cpp                  PASS   obj=1511B ex=4320B
  il_expr_index.cpp                  PASS   obj=1272B ex=3740B
  il_expr_load_neg.cpp               PASS   obj=1697B ex=4532B
  il_expr_member.cpp                 PASS   obj=1056B ex=3341B
  il_expr_temp.cpp                   PASS   obj=1313B ex=3096B
  il_expr_ternary.cpp                PASS   obj=1025B ex=3126B
  il_extern_c_name.cpp               PASS   obj=867B ex=2850B
  il_gl_data_symbol.cpp              PASS   obj=931B ex=2751B
  il_gl_record_order.cpp             PASS   obj=1269B ex=2860B
  il_gl_sep26.cpp                    PASS   obj=842B ex=3065B
  il_intra_tu_call.cpp               PASS   obj=878B ex=2862B
  il_intrinsic_bits.cpp              PASS   obj=2012B ex=5107B
  il_intrinsic_byval.cpp             PASS   obj=2106B ex=3793B
  il_intrinsic_call.cpp              PASS   obj=1593B ex=4226B
  il_intrinsic_fold.cpp              PASS   obj=1865B ex=3814B
  il_intrinsic_layout.cpp            PASS   obj=1771B ex=3841B
  il_intrinsic_nullary.cpp           PASS   obj=1096B ex=3140B
  il_line_marker.cpp                 PASS   obj=847B ex=2773B
  il_param_aggr.cpp                  PASS   obj=1220B ex=3667B
  il_param_aggr_neg.cpp              PASS   obj=991B ex=3109B
  il_param_poly.cpp                  PASS   obj=947B ex=2985B
  il_reassoc.cpp                     PASS   obj=1672B ex=4418B
  il_repeated_leaf.cpp               PASS   obj=1113B ex=3320B
  il_stmt_bare_block.cpp             PASS   obj=1291B ex=3210B
  il_stmt_compound_assign.cpp        PASS   obj=993B ex=3187B
  il_stmt_early_return.cpp           PASS   obj=1021B ex=3075B
  il_stmt_for.cpp                    PASS   obj=1274B ex=2997B
  il_stmt_global.cpp                 PASS   obj=1111B ex=2985B
  il_stmt_if.cpp                     PASS   obj=1025B ex=3027B
  il_stmt_if_else.cpp                PASS   obj=1010B ex=2956B
  il_stmt_local_decl.cpp             PASS   obj=942B ex=3020B
  il_stmt_multi.cpp                  PASS   obj=881B ex=2832B
