tu	callee	size	linkage	selection	nparams	varargs	leaf	index	nmax	sites	survived	predicted	observed	verdict
src/keygen_xbox.cpp	?asciiDigitToHex@@YAED@Z	76	EXTERNAL	NODUPLICATES	1	0	1	76	0	2	1	DECLINED	DECLINED	HIT
src/keygen_xbox.cpp	?parseHex16@@YAXPBDPAE@Z	88	EXTERNAL	NODUPLICATES	2	0	0	84	0	1	1	DECLINED	DECLINED	HIT
src/keygen_xbox.cpp	?random@@YAJJ@Z	48	EXTERNAL	NODUPLICATES	1	0	1	48	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/keygen_xbox.cpp	?mash@@YAXPAE0@Z	44	EXTERNAL	NODUPLICATES	2	0	1	40	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/keygen_xbox.cpp	?roll@@YAHH@Z	24	EXTERNAL	NODUPLICATES	1	0	1	24	inf	6	0	INLINED-ALL	INLINED-ALL	HIT
src/keygen_xbox.cpp	?swap@@YAXAAD0@Z	20	EXTERNAL	NODUPLICATES	2	0	1	16	inf	12	0	INLINED-ALL	INLINED-ALL	HIT
src/keygen_xbox.cpp	?shuffle1@@YAXPAD@Z	104	EXTERNAL	NODUPLICATES	1	0	1	104	0	1	1	DECLINED	DECLINED	HIT
src/keygen_xbox.cpp	?shuffle2@@YAXPAD@Z	60	EXTERNAL	NODUPLICATES	1	0	1	60	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/keygen_xbox.cpp	?shuffle3@@YAXPAD@Z	84	EXTERNAL	NODUPLICATES	1	0	1	84	0	1	1	DECLINED	DECLINED	HIT
src/keygen_xbox.cpp	?shuffle4@@YAXPAD@Z	84	EXTERNAL	NODUPLICATES	1	0	1	84	0	1	1	DECLINED	DECLINED	HIT
src/keygen_xbox.cpp	?shuffle5@@YAXPAD@Z	88	EXTERNAL	NODUPLICATES	1	0	1	88	0	1	1	DECLINED	DECLINED	HIT
src/keygen_xbox.cpp	?shuffle6@@YAXPAD@Z	88	EXTERNAL	NODUPLICATES	1	0	1	88	0	1	1	DECLINED	DECLINED	HIT
src/keygen_xbox.cpp	?supershuffle@@YAXPAD@Z	104	EXTERNAL	NODUPLICATES	1	0	0	104	0	1	1	DECLINED	DECLINED	HIT
src/keygen_xbox.cpp	?opaquePredicate@@YAXXZ	20	EXTERNAL	NODUPLICATES	0	0	1	24	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/keygen_xbox.cpp	?memcpy_cs@@YAXPAEPBEI@Z	56	EXTERNAL	NODUPLICATES	3	0	1	48	inf	2	0	INLINED-ALL	INLINED-ALL	HIT
src/keygen_xbox.cpp	?revealKey@@YAXPAJPAE@Z	104	EXTERNAL	NODUPLICATES	2	0	0	100	0	1	1	DECLINED	DECLINED	HIT
src/keygen_xbox.cpp	?getKeyImpl@@YAXPAEPAD0@Z	108	EXTERNAL	NODUPLICATES	3	0	0	100	0	1	1	DECLINED	DECLINED	HIT
