cell	charge	repro	discrim	bwd_refs	bwd_t	bwd_uncond	bwd_cond	brk	brk_loops	named	defs	fwd_refs	fwd_t	names	R1	R1'	M-TGT	M-TGT-L	M-REF	M-REF-L
w-c0b0	2	True	False	1	1	1	0	0	0	0	2	1	1		2	2	2	2	2	2
w-c1b0	3	False	True	2	1	2	0	0	0	0	3	2	2		4	2	2	2	4	4
w-c2b0	4	False	True	3	1	3	0	0	0	0	4	3	3		6	2	2	2	6	6
w-c0b1	4	False	False	1	1	1	0	1	1	0	3	3	2		2	2	3	3	3	3
w-c0b2	5	False	False	1	1	1	0	2	1	0	4	5	3		2	2	4	3	4	3
w-c1b1	5	True	True	2	1	2	0	1	1	0	4	4	3		4	2	3	3	5	5
f-c0b0	2	True	False	1	1	1	0	0	0	0	3	2	2		2	2	2	2	2	2
f-c1b0	2	True	True	2	1	2	0	0	0	0	4	3	3		4	2	2	2	4	4
f-c2b0	2	False	True	3	1	3	0	0	0	0	5	4	4		6	2	2	2	6	6
f-c0b1	3	False	False	1	1	1	0	1	1	0	4	4	3		2	2	3	3	3	3
f-c0b2	4	False	False	1	1	1	0	2	1	0	5	6	4		2	2	4	3	4	3
f-c1b1	3	False	True	2	1	2	0	1	1	0	5	5	4		4	2	3	3	5	5
d-c0b0	1	True	False	1	1	0	1	0	0	0	3	0	0		1	1	1	1	1	1
d-c1b0	1	False	False	1	1	0	1	0	0	0	4	2	2		1	1	1	1	1	1
d-c0b1	2	False	False	1	1	0	1	1	1	0	4	2	2		1	1	2	2	2	2
d-c1b1	2	False	False	1	1	0	1	1	1	0	5	4	4		1	1	2	2	2	2
g-back1	1	True	False	1	1	1	0	0	0	1	2	1	1	top	2	1	1	1	1	1
g-back2	2	False	True	2	1	2	0	0	0	1	3	2	2	top	4	1	1	1	1	1
g-sep2	2	False	False	2	2	2	0	0	0	2	4	2	2	t2;t1	4	2	2	2	2	2
g-mix	3	False	False	2	2	2	0	0	0	1	4	2	2	top	4	3	3	3	3	3
z-none	0	True	False	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0
z-if3	0	True	False	0	0	0	0	0	0	0	3	3	3		0	0	0	0	0	0
z-switch4	0	False	False	0	0	0	0	0	0	0	5	4	1		0	0	0	0	0	0
