family: bodies 423905, emitted 35576

=== the `prod` axis, EMITTED-ranked, with the discount ===
prod tag                                              emitted      %  names   TUs em/name    bodies  em/1k
tail-argument-not-in-the-operand-vocabulary              8909  25.04   4088   662     2.2     91503   97.4
call-ref                                                 5699  16.02   1499   735     3.8    125458   45.4
msc-recv-0x26-CHAIN                                      5638  15.85   1169   748     4.8     19628  287.2
prod-not-entered                                         4093  11.50   1828   649     2.2     80998   50.5
framed-result-not-consumed-by-a-literal-post-op          2755   7.74   1330   548     2.1     32444   84.9
msc-recv-0x26-NAMED-OBJECT                               2188   6.15    215   652    10.2      4094  534.4
chain-link-does-not-bind-the-previous-result             1482   4.17    935   465     1.6      5808  255.2
chain-recv-not-a-plain-b9-load/no-b9-this-adjust          847   2.38    465   355     1.8      4517  187.5
tail-object-receiver-is-not-a-tail-call                   714   2.01    371   445     1.9     24862   28.7
chain-link-argument-not-in-the-operand-vocabulary         503   1.41     24   467    21.0      2226  226.0
chain-innermost-argument-not-in-the-operand-vocabulary      464   1.30    271   211     1.7      8593   54.0
msc-result-not-discarded-value-tail                       447   1.26     13   437    34.4       727  614.9
msc-recv-0x67-virtual                                     296   0.83     84   157     3.5       296 1000.0
chain-recv-not-a-plain-b9-load/then-off-add               210   0.59    199   113     1.1      2327   90.2
tail-recv-not-a-plain-b9-load/no-b9-literal               203   0.57    185   132     1.1      1554  130.6
chain-recv-not-a-plain-b9-load/no-b9-plain-call           189   0.53     97   122     1.9       651  290.3
tail-returned-body-does-not-end-at-the-call               144   0.40     32   115     4.5      1243  115.8
formals-marker                                            131   0.37    110    82     1.2       830  157.8
chain-recv-not-a-plain-b9-load/no-b9-off-add              112   0.31     36    84     3.1      3891   28.8
chain-returned-body-does-not-end-at-the-call              105   0.30      4    96    26.2      1472   71.3
chain-recv-not-a-plain-b9-load/no-b9-convert              104   0.29    103    52     1.0       824  126.2
expr                                                       50   0.14     18    41     2.8      2124   23.5
msc-recv-0x26-other-recv-form                              33   0.09     32    24     1.0        33 1000.0
tail-recv-not-a-plain-b9-load/then-call-in-expr            32   0.09     21    26     1.5       557   57.5
TOTAL                                                   35576 100.00
  ASSERTED: the prod axis partitions both columns exactly.
