mode	sign	op	k	words	shape	full	hex
/O2 /GS- /c	s	div	0	2	twi blr	twi 7,r0,0 ; blr 	0ce00000 4e800020
/O2 /GS- /c	s	mod	0	2	twi blr	twi 7,r0,0 ; blr 	0ce00000 4e800020
/O2 /GS- /c	u	div	0	2	twi blr	twi 7,r0,0 ; blr 	0ce00000 4e800020
/O2 /GS- /c	u	mod	0	2	twi blr	twi 7,r0,0 ; blr 	0ce00000 4e800020
/O2 /GS- /c	s	div	1	1	blr	blr 	4e800020
/O2 /GS- /c	s	mod	1	2	li blr	li r3,0 ; blr 	38600000 4e800020
/O2 /GS- /c	u	div	1	1	blr	blr 	4e800020
/O2 /GS- /c	u	mod	1	2	li blr	li r3,0 ; blr 	38600000 4e800020
/O2 /GS- /c	s	div	-1	2	neg blr	neg r3,r3 ; blr 	7c6300d0 4e800020
/O2 /GS- /c	s	mod	-1	2	li blr	li r3,0 ; blr 	38600000 4e800020
/O2 /GS- /c	s	div	2	3	srawi addze blr	srawi r11,r3,1 ; addze r3,r11 ; blr 	7c6b0e70 7c6b0194 4e800020
/O2 /GS- /c	s	mod	2	5	srawi addze rlwinm subf blr	srawi r11,r3,1 ; addze r10,r11 ; rlwinm r9,r10,1,0,30 ; subf r3,r9,r3 ; blr 	7c6b0e70 7d4b0194 5549083c 7c691850 4e800020
/O2 /GS- /c	u	div	2	2	rlwinm blr	rlwinm r3,r3,31,1,31 ; blr 	5463f87e 4e800020
/O2 /GS- /c	u	mod	2	2	rlwinm blr	rlwinm r3,r3,0,31,31 ; blr 	546307fe 4e800020
/O2 /GS- /c	s	div	-2	4	srawi addze neg blr	srawi r11,r3,1 ; addze r10,r11 ; neg r3,r10 ; blr 	7c6b0e70 7d4b0194 7c6a00d0 4e800020
/O2 /GS- /c	s	mod	-2	7	srawi addze neg neg rlwinm subf blr	srawi r11,r3,1 ; addze r10,r11 ; neg r9,r10 ; neg r8,r9 ; rlwinm r7,r8,1,0,30 ; subf r3,r7,r3 ; blr 	7c6b0e70 7d4b0194 7d2a00d0 7d0900d0 5507083c 7c671850 4e800020
/O2 /GS- /c	s	div	3	3	li divw blr	li r11,3 ; divw r3,r3,r11 ; blr 	39600003 7c635bd6 4e800020
/O2 /GS- /c	s	mod	3	9	lis ori mulhw rlwinm add rlwinm add subf blr	lis r11,21845 ; ori r10,r11,0x5556 ; mulhw r11,r3,r10 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,1,0,30 ; add r9,r11,r10 ; subf r3,r9,r3 ; blr 	3d605555 616a5556 7d635096 556a0ffe 7d6b5214 556a083c 7d2b5214 7c691850 4e800020
/O2 /GS- /c	u	div	3	3	li divwu blr	li r11,3 ; divwu r3,r3,r11 ; blr 	39600003 7c635b96 4e800020
/O2 /GS- /c	u	mod	3	8	lis ori mulhwu rlwinm rlwinm add subf blr	lis r11,-21846 ; ori r10,r11,0xaaab ; mulhwu r9,r3,r10 ; rlwinm r11,r9,31,1,31 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; subf r3,r8,r3 ; blr 	3d60aaaa 616aaaab 7d235016 552bf87e 556a083c 7d0b5214 7c681850 4e800020
/O2 /GS- /c	s	div	-3	3	li divw blr	li r11,-3 ; divw r3,r3,r11 ; blr 	3960fffd 7c635bd6 4e800020
/O2 /GS- /c	s	mod	-3	10	lis ori mulhw subf srawi rlwinm add mulli subf blr	lis r11,21845 ; ori r10,r11,0x5555 ; mulhw r9,r3,r10 ; subf r8,r3,r9 ; srawi r11,r8,1 ; rlwinm r10,r11,1,31,31 ; add r7,r11,r10 ; mulli r6,r7,-3 ; subf r3,r6,r3 ; blr 	3d605555 616a5555 7d235096 7d034850 7d0b0e70 556a0ffe 7ceb5214 1cc7fffd 7c661850 4e800020
/O2 /GS- /c	s	div	4	3	srawi addze blr	srawi r11,r3,2 ; addze r3,r11 ; blr 	7c6b1670 7c6b0194 4e800020
/O2 /GS- /c	s	mod	4	5	srawi addze rlwinm subf blr	srawi r11,r3,2 ; addze r10,r11 ; rlwinm r9,r10,2,0,29 ; subf r3,r9,r3 ; blr 	7c6b1670 7d4b0194 5549103a 7c691850 4e800020
/O2 /GS- /c	u	div	4	2	rlwinm blr	rlwinm r3,r3,30,2,31 ; blr 	5463f0be 4e800020
/O2 /GS- /c	u	mod	4	2	rlwinm blr	rlwinm r3,r3,0,30,31 ; blr 	546307be 4e800020
/O2 /GS- /c	s	div	7	3	li divw blr	li r11,7 ; divw r3,r3,r11 ; blr 	39600007 7c635bd6 4e800020
/O2 /GS- /c	s	mod	7	11	lis ori mulhw add srawi rlwinm add rlwinm subf subf blr	lis r11,-28087 ; ori r10,r11,0x2493 ; mulhw r11,r3,r10 ; add r9,r11,r3 ; srawi r11,r9,2 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r8,r11,3,0,28 ; subf r7,r11,r8 ; subf r3,r7,r3 ; blr 	3d609249 616a2493 7d635096 7d2b1a14 7d2b1670 556a0ffe 7d6b5214 55681838 7ceb4050 7c671850 4e800020
/O2 /GS- /c	u	div	7	3	li divwu blr	li r11,7 ; divwu r3,r3,r11 ; blr 	39600007 7c635b96 4e800020
/O2 /GS- /c	u	mod	7	11	lis ori mulhwu subf rlwinm add rlwinm rlwinm subf subf blr	lis r11,9362 ; ori r10,r11,0x4925 ; mulhwu r11,r3,r10 ; subf r9,r11,r3 ; rlwinm r10,r9,31,1,31 ; add r8,r10,r11 ; rlwinm r7,r8,30,2,31 ; rlwinm r6,r7,3,0,28 ; subf r5,r7,r6 ; subf r3,r5,r3 ; blr 	3d602492 616a4925 7d635016 7d2b1850 552af87e 7d0a5a14 5507f0be 54e61838 7ca73050 7c651850 4e800020
/O2 /GS- /c	s	div	-7	3	li divw blr	li r11,-7 ; divw r3,r3,r11 ; blr 	3960fff9 7c635bd6 4e800020
/O2 /GS- /c	s	mod	-7	10	lis ori mulhw subf srawi rlwinm add mulli subf blr	lis r11,28086 ; ori r10,r11,0xdb6d ; mulhw r9,r3,r10 ; subf r8,r3,r9 ; srawi r11,r8,2 ; rlwinm r10,r11,1,31,31 ; add r7,r11,r10 ; mulli r6,r7,-7 ; subf r3,r6,r3 ; blr 	3d606db6 616adb6d 7d235096 7d034850 7d0b1670 556a0ffe 7ceb5214 1cc7fff9 7c661850 4e800020
/O2 /GS- /c	s	div	8	3	srawi addze blr	srawi r11,r3,3 ; addze r3,r11 ; blr 	7c6b1e70 7c6b0194 4e800020
/O2 /GS- /c	s	mod	8	5	srawi addze rlwinm subf blr	srawi r11,r3,3 ; addze r10,r11 ; rlwinm r9,r10,3,0,28 ; subf r3,r9,r3 ; blr 	7c6b1e70 7d4b0194 55491838 7c691850 4e800020
/O2 /GS- /c	u	div	8	2	rlwinm blr	rlwinm r3,r3,29,3,31 ; blr 	5463e8fe 4e800020
/O2 /GS- /c	u	mod	8	2	rlwinm blr	rlwinm r3,r3,0,29,31 ; blr 	5463077e 4e800020
/O2 /GS- /c	s	div	16	3	srawi addze blr	srawi r11,r3,4 ; addze r3,r11 ; blr 	7c6b2670 7c6b0194 4e800020
/O2 /GS- /c	s	mod	16	5	srawi addze rlwinm subf blr	srawi r11,r3,4 ; addze r10,r11 ; rlwinm r9,r10,4,0,27 ; subf r3,r9,r3 ; blr 	7c6b2670 7d4b0194 55492036 7c691850 4e800020
/O2 /GS- /c	u	div	16	2	rlwinm blr	rlwinm r3,r3,28,4,31 ; blr 	5463e13e 4e800020
/O2 /GS- /c	u	mod	16	2	rlwinm blr	rlwinm r3,r3,0,28,31 ; blr 	5463073e 4e800020
/O2 /GS- /c	s	div	10	3	li divw blr	li r11,10 ; divw r3,r3,r11 ; blr 	3960000a 7c635bd6 4e800020
/O2 /GS- /c	s	mod	10	11	lis ori mulhw srawi rlwinm add rlwinm add rlwinm subf blr	lis r11,26214 ; ori r10,r11,0x6667 ; mulhw r9,r3,r10 ; srawi r11,r9,2 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,2,0,29 ; add r8,r11,r10 ; rlwinm r7,r8,1,0,30 ; subf r3,r7,r3 ; blr 	3d606666 616a6667 7d235096 7d2b1670 556a0ffe 7d6b5214 556a103a 7d0b5214 5507083c 7c671850 4e800020
/O2 /GS- /c	u	div	10	3	li divwu blr	li r11,10 ; divwu r3,r3,r11 ; blr 	3960000a 7c635b96 4e800020
/O2 /GS- /c	u	mod	10	9	lis ori mulhwu rlwinm rlwinm add rlwinm subf blr	lis r11,-13108 ; ori r10,r11,0xcccd ; mulhwu r9,r3,r10 ; rlwinm r11,r9,29,3,31 ; rlwinm r10,r11,2,0,29 ; add r8,r11,r10 ; rlwinm r7,r8,1,0,30 ; subf r3,r7,r3 ; blr 	3d60cccc 616acccd 7d235016 552be8fe 556a103a 7d0b5214 5507083c 7c671850 4e800020
/O2 /GS- /c	s	div	100	3	li divw blr	li r11,100 ; divw r3,r3,r11 ; blr 	39600064 7c635bd6 4e800020
/O2 /GS- /c	s	mod	100	9	lis ori mulhw srawi rlwinm add mulli subf blr	lis r11,20971 ; ori r10,r11,0x851f ; mulhw r9,r3,r10 ; srawi r11,r9,5 ; rlwinm r10,r11,1,31,31 ; add r8,r11,r10 ; mulli r7,r8,100 ; subf r3,r7,r3 ; blr 	3d6051eb 616a851f 7d235096 7d2b2e70 556a0ffe 7d0b5214 1ce80064 7c671850 4e800020
/O2 /GS- /c	u	div	100	3	li divwu blr	li r11,100 ; divwu r3,r3,r11 ; blr 	39600064 7c635b96 4e800020
/O2 /GS- /c	u	mod	100	7	lis ori mulhwu rlwinm mulli subf blr	lis r11,20971 ; ori r11,r11,0x851f ; mulhwu r10,r3,r11 ; rlwinm r9,r10,27,5,31 ; mulli r8,r9,100 ; subf r3,r8,r3 ; blr 	3d6051eb 616b851f 7d435816 5549d97e 1d090064 7c681850 4e800020
/O2 /GS- /c	s	div	1000	3	li divw blr	li r11,1000 ; divw r3,r3,r11 ; blr 	396003e8 7c635bd6 4e800020
/O2 /GS- /c	s	mod	1000	9	lis ori mulhw srawi rlwinm add mulli subf blr	lis r11,4194 ; ori r10,r11,0x4dd3 ; mulhw r9,r3,r10 ; srawi r11,r9,6 ; rlwinm r10,r11,1,31,31 ; add r8,r11,r10 ; mulli r7,r8,1000 ; subf r3,r7,r3 ; blr 	3d601062 616a4dd3 7d235096 7d2b3670 556a0ffe 7d0b5214 1ce803e8 7c671850 4e800020
/O2 /GS- /c	u	div	1000	3	li divwu blr	li r11,1000 ; divwu r3,r3,r11 ; blr 	396003e8 7c635b96 4e800020
/O2 /GS- /c	u	mod	1000	7	lis ori mulhwu rlwinm mulli subf blr	lis r11,4194 ; ori r11,r11,0x4dd3 ; mulhwu r10,r3,r11 ; rlwinm r9,r10,26,6,31 ; mulli r8,r9,1000 ; subf r3,r8,r3 ; blr 	3d601062 616b4dd3 7d435816 5549d1be 1d0903e8 7c681850 4e800020
/O2 /GS- /c	s	div	32767	3	li divw blr	li r11,32767 ; divw r3,r3,r11 ; blr 	39607fff 7c635bd6 4e800020
/O2 /GS- /c	s	mod	32767	11	lis ori mulhw add srawi rlwinm add rlwinm subf subf blr	lis r11,-32767 ; ori r10,r11,0x3 ; mulhw r11,r3,r10 ; add r9,r11,r3 ; srawi r11,r9,14 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r8,r11,15,0,16 ; subf r7,r11,r8 ; subf r3,r7,r3 ; blr 	3d608001 616a0003 7d635096 7d2b1a14 7d2b7670 556a0ffe 7d6b5214 55687820 7ceb4050 7c671850 4e800020
/O2 /GS- /c	u	div	32767	3	li divwu blr	li r11,32767 ; divwu r3,r3,r11 ; blr 	39607fff 7c635b96 4e800020
/O2 /GS- /c	u	mod	32767	11	lis ori mulhwu subf rlwinm add rlwinm rlwinm subf subf blr	lis r11,2 ; ori r10,r11,0x5 ; mulhwu r11,r3,r10 ; subf r9,r11,r3 ; rlwinm r10,r9,31,1,31 ; add r8,r10,r11 ; rlwinm r7,r8,18,14,31 ; rlwinm r6,r7,15,0,16 ; subf r5,r7,r6 ; subf r3,r5,r3 ; blr 	3d600002 616a0005 7d635016 7d2b1850 552af87e 7d0a5a14 550793be 54e67820 7ca73050 7c651850 4e800020
/O2 /GS- /c	s	div	32768	3	srawi addze blr	srawi r11,r3,15 ; addze r3,r11 ; blr 	7c6b7e70 7c6b0194 4e800020
/O2 /GS- /c	s	mod	32768	5	srawi addze rlwinm subf blr	srawi r11,r3,15 ; addze r10,r11 ; rlwinm r9,r10,15,0,16 ; subf r3,r9,r3 ; blr 	7c6b7e70 7d4b0194 55497820 7c691850 4e800020
/O2 /GS- /c	u	div	32768	2	rlwinm blr	rlwinm r3,r3,17,15,31 ; blr 	54638bfe 4e800020
/O2 /GS- /c	u	mod	32768	2	rlwinm blr	rlwinm r3,r3,0,17,31 ; blr 	5463047e 4e800020
/O2 /GS- /c	s	div	-32768	4	srawi addze neg blr	srawi r11,r3,15 ; addze r10,r11 ; neg r3,r10 ; blr 	7c6b7e70 7d4b0194 7c6a00d0 4e800020
/O2 /GS- /c	s	mod	-32768	7	srawi addze neg neg rlwinm subf blr	srawi r11,r3,15 ; addze r10,r11 ; neg r9,r10 ; neg r8,r9 ; rlwinm r7,r8,15,0,16 ; subf r3,r7,r3 ; blr 	7c6b7e70 7d4b0194 7d2a00d0 7d0900d0 55077820 7c671850 4e800020
/O2 /GS- /c	s	div	-32769	4	lis ori divw blr	lis r11,-1 ; ori r11,r11,0x7fff ; divw r3,r3,r11 ; blr 	3d60ffff 616b7fff 7c635bd6 4e800020
/O2 /GS- /c	s	mod	-32769	11	lis lis ori ori mulhw srawi rlwinm add mullw subf blr	lis r11,-16384 ; lis r10,-1 ; ori r9,r11,0x7fff ; ori r8,r10,0x7fff ; mulhw r7,r3,r9 ; srawi r11,r7,13 ; rlwinm r10,r11,1,31,31 ; add r6,r11,r10 ; mullw r5,r6,r8 ; subf r3,r5,r3 ; blr 	3d60c000 3d40ffff 61697fff 61487fff 7ce34896 7ceb6e70 556a0ffe 7ccb5214 7ca641d6 7c651850 4e800020
/O2 /GS- /c	s	div	65536	3	srawi addze blr	srawi r11,r3,16 ; addze r3,r11 ; blr 	7c6b8670 7c6b0194 4e800020
/O2 /GS- /c	s	mod	65536	5	srawi addze rlwinm subf blr	srawi r11,r3,16 ; addze r10,r11 ; rlwinm r9,r10,16,0,15 ; subf r3,r9,r3 ; blr 	7c6b8670 7d4b0194 5549801e 7c691850 4e800020
/O2 /GS- /c	u	div	65536	2	rlwinm blr	rlwinm r3,r3,16,16,31 ; blr 	5463843e 4e800020
/O2 /GS- /c	u	mod	65536	2	rlwinm blr	rlwinm r3,r3,0,16,31 ; blr 	5463043e 4e800020
/O2 /GS- /c	s	div	100000	4	lis ori divw blr	lis r11,1 ; ori r11,r11,0x86a0 ; divw r3,r3,r11 ; blr 	3d600001 616b86a0 7c635bd6 4e800020
