CELL                 GAP.base    GAP.tip2    KEY.base                                       KEY.tip2
g_bigoff             vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
g_cross2             vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
g_cross3             vocab-gap   vocab-gap   store-run-bind-no-emitter-carrier:eof          store-run-bind-symbol-crossings:eof
g_livearg            vocab-gap   vocab-gap   expr-op-0x27                                   expr-op-0x27
g_pool               vocab-gap   vocab-gap   expr-op-0x27                                   expr-op-0x27
g_ptrlocal           vocab-gap   match       store-run-bind-no-emitter-carrier:eof          IN-CLASS
g_width1             vocab-gap   vocab-gap   store-run-bind-no-emitter-carrier:eof          store-run-bind-multi-producer:eof
g_width1_c           match       match       IN-CLASS                                       IN-CLASS
g_width2             vocab-gap   vocab-gap   store-run-bind-no-emitter-carrier:eof          store-run-bind-multi-producer:eof
g_width8             vocab-gap   vocab-gap   store-run-bind-no-emitter-carrier:eof          store-run-bind-multi-producer:eof
g_width8_c           match       match       IN-CLASS                                       IN-CLASS
