# DISASSEMBLY-DERIVED (tier 2: addresses).  GENERATED by
# docs/whitebox/scripts/build_ref.py -- do not hand-edit.
# Every addr is an absolute VA in c2.dll sha256 c80981c015166effecc71ad8112d5577a065b2300891dfdb02b9c13787a66258.
# NAVIGATION ONLY.  Nothing here may enter crates/ without a
# docs/whitebox/DISCLOSURE.md row naming the address.
# kind: func-entry | in-func | data | unmapped
# tu_conf: in-anchor (a fact) | gap (a hypothesis, C2_MAP.md 3.1)
#          no-ice-site (a TU the partition cannot see) | n/a (not code)
addr	kind	func	func_size	ncallers	ncallees	tu	tu_conf	subsys	page	conf	label	n_cites	cites
10b00000	data	10b00000	128	0	0	n/a	n/a	-	-	unknown	-	14	rungs/_2026-08-04-w-db-findings.md:1,rungs/_2026-08-04-w-emitp-findings.md:1,rungs/_2026-08-04-w-emitp-prereg.md:1,rungs/_2026-08-04-w-joint-findings.md:1,rungs/_2026-08-04-w-mark-findings.md:1,rungs/_2026-08-04-w-mark-prereg.md:1
10b00c00	data	-	-	-	-	n/a	n/a	-	-	unknown	-	4	whitebox/C2_MAP_METHOD.md:1,whitebox/WB_DAGCLIENTS_FINDINGS.md:1,whitebox/WB_MEMCPY_FINDINGS.md:1,whitebox/WB_MERGER4_FINDINGS.md:1
10b01000	data	10b01000	4	0	0	n/a	n/a	-	-	unknown	-	5	whitebox/C2_MAP.md:2,whitebox/C2_MAP_METHOD.md:1,whitebox/WB_DAGCLIENTS_FINDINGS.md:1,whitebox/WB_MERGER4_FINDINGS.md:1
10b0147c	data	10b0147c	4	0	0	n/a	n/a	-	-	unknown	-	1	whitebox/C2_MAP.md:1
10b01480	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/C2_MAP.md:1
10b01be4	data	10b01be4	4	0	0	n/a	n/a	-	-	unknown	-	1	whitebox/C2_MAP.md:1
10b01cf0	data	-	-	-	-	n/a	n/a	-	-	high	color-file: assertion filename `...\be\p2\color.c`; assertion sites 10b2c23e 10b2d5ff 10b2f024 10b30d3f in functions 10b2c21d 10b2ceb7 10b2efd6 10b30517 — these four bound the register allocator	0	-
10b02140	data	-	-	-	-	n/a	n/a	-	-	unknown	-	2	whitebox/WB_READER_FINDINGS.md:2
10b02210	data	-	-	-	-	n/a	n/a	-	-	unknown	-	2	whitebox/WB_LOOP_FINDINGS.md:1,whitebox/WB_LOOP_PREREG.md:1
10b022cc	data	-	-	-	-	n/a	n/a	regalloc	P_REGALLOC.md	medium	reg-class-map: operand-type nibble -> register class: nibbles 1..4 and 6 -> class 0 (GPR), 5 -> class 1 (FPR), 12 -> class 5 (VMX), everything else -1 = not register-allocated. Navigation -- no obj check in this lane	11	whitebox/WB_REGALLOC_FINDINGS.md:4,BOARD.md:1,rungs/2026-08-08-wb-regalloc.md:1,whitebox/WB_DAGORDER2_FINDINGS.md:1,whitebox/WB_LIVE_FINDINGS.md:1,whitebox/WB_SELECT_FINDINGS.md:1
