# per-TU graded population, so a future drop is ATTRIBUTABLE (board #3045's fix, second half)
# src_changed_since_3045 = this TU's own .cpp differs between dc3 2277bb73ef23 and 15a64d92f
tu	graded	hits	misses	src_changed_since_3045
src/keygen_xbox.cpp	17	17	0	0
src/lazer/game/Game.cpp	171	168	3	1
src/lazer/game/HamUserMgr.cpp	121	117	4	0
src/lazer/game/SongSequence.cpp	63	60	3	0
src/lazer/meta_ham/CalibrationPanel.cpp	67	63	4	0
src/lazer/meta_ham/CampaignDiffSelectPanel.cpp	72	68	4	0
src/lazer/meta_ham/CampaignMasterQuestCrewSelectPanel.cpp	115	111	4	1
src/lazer/meta_ham/ChallengeSort.cpp	117	115	2	0
src/lazer/meta_ham/ChallengeSortNode.cpp	86	85	1	1
src/lazer/meta_ham/ContextChecker.cpp	131	127	4	0
src/lazer/meta_ham/DifficultyProvider.cpp	43	42	1	0
src/lazer/meta_ham/HamProfile.cpp	144	138	6	0
src/lazer/meta_ham/HamStoreFilterProvider.cpp	35	34	1	0
src/lazer/meta_ham/MovieProvider.cpp	47	45	2	0
src/lazer/meta_ham/PlaylistSort.cpp	96	95	1	1
src/lazer/meta_ham/PlaylistSortMgr.cpp	316	309	7	1
src/lazer/meta_ham/SigninScreen.cpp	30	29	1	1
src/lazer/meta_ham/SongSelectPanel.cpp	29	25	4	0
src/lazer/meta_ham/SongSortBySong.cpp	11	11	0	1
src/lazer/net_ham/HamStoreCartJobs.cpp	55	55	0	0
src/lazer/net_ham/MotdJobs.cpp	52	52	0	1
src/lazer/net_ham/PartyModeJobs.cpp	35	35	0	0
src/system/char/CharIKHead.cpp	157	148	9	0
src/system/char/CharLipSyncDriver.cpp	185	178	7	0
src/system/char/ClipCollide.cpp	254	248	6	1
src/system/flow/FlowOnStop.cpp	65	61	4	0
src/system/flow/FlowTrigger.cpp	188	181	7	1
src/system/flow/FlowWhile.cpp	103	100	3	0
src/system/gesture/CameraTilt.cpp	34	31	3	0
src/system/gesture/FreestyleMotionFilter.cpp	14	13	1	0
src/system/gesture/Gesture.cpp	9	9	0	0
src/system/gesture/HighFiveGestureFilter.cpp	14	13	1	1
src/system/gesture/SkeletonExtentTracker.cpp	21	20	1	0
src/system/gesture/SkeletonViz.cpp	152	145	7	0
src/system/gesture/WaveToTurnOnLight.cpp	19	17	2	0
src/system/hamobj/CharCameraInput.cpp	18	17	1	1
src/system/hamobj/CharFeedback.cpp	140	136	4	0
src/system/hamobj/DetectFrame.cpp	24	24	0	0
src/system/hamobj/FreestyleMoveRecorder.cpp	208	203	5	1
src/system/hamobj/HamIconMan.cpp	111	107	4	0
src/system/hamobj/HamLabel.cpp	168	161	7	0
src/system/hamobj/HamPhraseMeter.cpp	139	132	7	0
src/system/hamobj/MoveAsyncDetector.cpp	319	311	8	0
src/system/hamobj/MoveParent.cpp	231	228	3	0
src/system/hamobj/PracticeSection.cpp	161	155	6	0
src/system/hamobj/SongLayout.cpp	352	340	12	0
src/system/math/Decibels.cpp	2	2	0	0
src/system/math/FileChecksum.cpp	35	34	1	0
src/system/meta/DeJitterPanel.cpp	15	11	4	0
src/system/meta/HeldButtonPanel.cpp	78	74	4	0
src/system/meta/MemcardMgr_Xbox.cpp	53	52	1	1
src/system/meta/MoviePanel.cpp	98	92	6	0
src/system/meta/SongPreview.cpp	51	48	3	0
src/system/meta/StorePanel.cpp	186	177	9	1
src/system/meta/StorePurchaser.cpp	47	45	2	1
src/system/midi/MidiParserMgr.cpp	198	195	3	1
src/system/net/HttpReqCurl.cpp	37	36	1	0
src/system/net/SessionJobs_Xbox.cpp	13	13	0	0
src/system/obj/TextFile.cpp	17	16	1	0
src/system/obj/Utl.cpp	245	240	5	0
src/system/os/AppChild.cpp	14	14	0	0
src/system/os/AsyncFile.cpp	12	12	0	0
src/system/os/FileCache.cpp	164	158	6	0
src/system/os/MapFile_Xbox.cpp	7	7	0	0
src/system/rnddx9/Mat.cpp	5	5	0	0
src/system/rnddx9/RenderState.cpp	4	4	0	0
src/system/rndobj/Bitmap.cpp	78	77	1	1
src/system/rndobj/ColorXfm.cpp	30	29	1	0
src/system/rndobj/Flare.cpp	143	138	5	1
src/system/rndobj/Font.cpp	478	466	12	1
src/system/rndobj/MeshAnim.cpp	503	489	14	0
src/system/rndobj/MeshDeform.cpp	153	147	6	0
src/system/rndobj/ScreenMask.cpp	129	125	4	1
src/system/rndobj/Shockwave.cpp	42	40	2	0
src/system/rndobj/Tex.cpp	65	63	2	1
src/system/rndobj/TransProxy.cpp	65	60	5	0
src/system/rndobj/Watcher.cpp	56	55	1	0
src/system/rndobj/wordwrap.cpp	1	1	0	1
src/system/synth/AudioDucker.cpp	127	125	2	0
src/system/synth/FxSendEQ.cpp	38	37	1	0
src/system/synth/FxSendMeterEffect.cpp	54	52	2	0
src/system/synth/FxSendPitchShift.cpp	31	30	1	0
src/system/synth/MeterEffectMonitor.cpp	55	52	3	0
src/system/synth/MicNull.cpp	6	6	0	0
src/system/synth/OggMap.cpp	54	52	2	0
src/system/synth/SfxMap.cpp	33	32	1	0
src/system/synth_xbox/ExternalMic.cpp	19	18	1	0
src/system/synth_xbox/FxSendReverb.cpp	5	5	0	0
src/system/synth_xbox/MeterEffect.cpp	2	2	0	0
src/system/ui/UISlider.cpp	133	127	6	0
src/system/utl/Cheats.cpp	263	256	7	0
src/system/utl/NetCacheMgr_Xbox.cpp	8	8	0	1
src/system/utl/UTF8.cpp	72	72	0	0
src/system/world/SpotlightEnder.cpp	65	62	3	0
src/xdk/LIBCMT/rtti.cpp	7	7	0	0
src/xdk/LIBCMT/vsnprnc.cpp	1	1	0	0
# TOTAL	8936	8648	288	-
# TUs with graded callees: 96 of 100
# TUs whose .cpp changed since #3045: 24 of 96
# callees living in a changed TU: 2945 of 8936 = 33.0%
