# GENERATED by work/w-secported/dump_glrec.py from the pinned image.
# sha256 c80981c015166effecc71ad8112d5577a065b2300891dfdb02b9c13787a66258
# dispatcher 0x10b9b8e9, byte-index 0x10b9c615 (27), jump 0x10b9c5d5 (16)
# fatal 0x10b9c5ca
tag	slot	arm
0x01	0	0x10b9b945
0x02	0	0x10b9b945
0x03	1	0x10b9bd3d
0x04	2	0x10b9bdcf
0x05	3	0x10b9c06a
0x06	4	0x10b9c444
0x07	5	0x10b9c0d2
0x08	6	0x10b9c183
0x09	7	0x10b9c212
0x0a	8	0x10b9c3b2
0x0b	9	0x10b9c2a1
0x0c	15	0x10b9c5ca
0x0d	10	0x10b9c31b
0x0e	2	0x10b9bdcf
0x0f	15	0x10b9c5ca
0x10	2	0x10b9bdcf
0x11	15	0x10b9c5ca
0x12	11	0x10b9c336
0x13	15	0x10b9c5ca
0x14	15	0x10b9c5ca
0x15	15	0x10b9c5ca
0x16	15	0x10b9c5ca
0x17	15	0x10b9c5ca
0x18	12	0x10b9c563
0x19	13	0x10b9c45e
0x1a	0	0x10b9b945
0x1b	14	0x10b9c581
