# DISASSEMBLY-DERIVED — generated by docs/whitebox/scripts/build_map.py.
# Do not hand-edit; do not paste any value into crates/ without a
# docs/whitebox/DISCLOSURE.md entry. 'unknown' is a valid, respectable value.
addr	size	symbol_or_empty	cluster	confidence	ncallers	ncallees	evidence
10b266d0	147		unknown	unknown	2	0	-
10b26763	29		unknown	unknown	4	1	-
10b26780	34		unknown	unknown	5	0	-
10b267a2	52		unknown	unknown	1	1	-
10b267d6	26		unknown	unknown	2	0	-
10b267f0	20		unknown	unknown	23	2	-
10b26804	18		unknown	unknown	13	0	-
10b26816	33		unknown	unknown	21	0	-
10b26837	33		unknown	unknown	3	0	-
10b26858	38		unknown	unknown	4	0	-
10b2687e	58		unknown	unknown	1	0	-
10b268b8	38		unknown	unknown	7	0	-
10b268de	43		unknown	unknown	45	0	-
10b26909	57		unknown	unknown	2	0	-
10b26942	35		unknown	unknown	2	2	-
10b26965	48		only-from:pgo-client	medium	1	0	all 1 callers in cluster pgo-client
10b26995	38		unknown	unknown	5	0	-
10b269bb	23		only-from:pgo-client	medium	1	2	all 1 callers in cluster pgo-client
10b269d2	45		unknown	unknown	1	0	-
10b269ff	111		unknown	unknown	2	0	-
10b26a6e	37		only-from:pgo-client	medium	1	0	all 1 callers in cluster pgo-client
10b26a93	63		unknown	unknown	4	0	-
10b26ad2	47		unknown	unknown	1	1	-
10b26b01	151		unknown	unknown	7	1	-
10b26b98	213		unknown	unknown	1	1	-
10b26c6d	55		unknown	unknown	2	0	-
10b26ca4	33		unknown	unknown	15	1	-
10b26cc5	15		unknown	unknown	1	0	-
10b26cd4	101		unknown	unknown	4	1	-
10b26d39	47		unknown	unknown	2	1	-
10b26d68	34		unknown	unknown	3	0	-
10b26d8a	36		unknown	unknown	2	1	-
10b26dae	90		unknown	unknown	5	0	-
10b26e08	99		unknown	unknown	1	0	-
10b26e6b	71		unknown	unknown	2	0	-
10b26eb2	27		unknown	unknown	144	1	-
10b26ecd	13		unknown	unknown	177	1	-
10b26eda	33		unknown	unknown	206	1	-
10b26efb	60		unknown	unknown	70	2	-
10b26f37	47		unknown	unknown	168	1	-
10b26f66	68		unknown	unknown	6	1	-
10b26faa	108		unknown	unknown	6	2	-
10b27016	5	thunk_FUN_10b26e6b	thunk	high	51	0	ghidra-resolved thunk: thunk_FUN_10b26e6b
10b2701b	118		unknown	unknown	6	1	-
10b27091	107		unknown	unknown	35	3	-
10b270fc	51		unknown	unknown	16	0	-
10b2712f	82		unknown	unknown	65	2	-
10b27181	36		unknown	unknown	36	2	-
10b271a5	82		unknown	unknown	58	1	-
10b271f7	23		unknown	unknown	4	2	-
10b2720e	23		unknown	unknown	1	2	-
10b27225	107		unknown	unknown	68	1	-
10b27290	137		unknown	unknown	30	1	-
10b27319	36		unknown	unknown	2	0	-
10b2733d	63		unknown	unknown	11	1	-
10b2737c	87		unknown	unknown	2	0	-
10b273d3	161		unknown	unknown	2	3	-
10b27474	132		unknown	unknown	92	2	-
10b274f8	201		unknown	unknown	2	2	-
10b275c1	23		unknown	unknown	3	2	-
10b275d8	27		unknown	unknown	6	2	-
10b275f3	125		unknown	unknown	5	6	-
10b27670	17		unknown	unknown	1	0	-
10b27681	70		unknown	unknown	1	2	-
10b276c7	29		unknown	unknown	1	1	-
10b276e4	91		unknown	unknown	6	1	-
10b2773f	79		unknown	unknown	1	0	-
10b2778e	354		unknown	unknown	4	1	-
10b278f0	166		unknown	unknown	2	1	-
10b27996	49		unknown	unknown	1	0	-
10b279c7	34		unknown	unknown	2	0	-
