# H-self (#837) frozen predictions — written by holdout.py --freeze, BEFORE any cell was compiled.
# KEY(p) = 2*uses(p) + (3 if p's value is stored into the object it points at else 0), descending.
# cell	part	spelling	mode	ru	cu	self	partition	key_reg	key_const	PREDICTED	sha256
H1-subf-none-r1k1	H1	subf	none	1	1	no	HOLDOUT	2	2	const	78a37ec62cc565a6f1195aa1fccb72eac1ffa9d2267a3fbb4336771651e39b2a
H1-subf-none-r2k1	H1	subf	none	2	1	no	HOLDOUT	4	2	prod	c5ece82f6b6666d506689f353a64de3e0cb6fe66108bd633efbb0213932dedc2
H1-subf-none-r1k2	H1	subf	none	1	2	no	HOLDOUT	2	4	const	251df66894afb498414a0003b5a22a282b0c1051d6d0987bfb1e9058887f5463
H1-subf-ref-r1k1	H1	subf	ref	1	1	no	HOLDOUT	2	2	const	335366bfa7523411a1951ea950ed4bbb1f0b3089b990a88941e3d8e837580d31
H1-subf-ref-r2k1	H1	subf	ref	2	1	no	HOLDOUT	4	2	prod	194c8b76742593fa48fe52cc2f87d82de681642bc3b61fde77313d9a85d60236
H1-subf-ref-r1k2	H1	subf	ref	1	2	no	HOLDOUT	2	4	const	3dcdbc063fa2580678b9d6e024a292377392fc66ff9e5fb8c3d5fb9db84fd433
H1-and-none-r1k1	H1	and	none	1	1	no	HOLDOUT	2	2	const	1b4bc6aa3e0971a160c063c7e97dbaff4b4e37b5173a7ae9f46dc008c310194e
H1-and-none-r2k1	H1	and	none	2	1	no	HOLDOUT	4	2	prod	8e726652a2641b8afc08259dac895a009eab6ad934fa75cf2e67653f26a4c883
H1-and-none-r1k2	H1	and	none	1	2	no	HOLDOUT	2	4	const	6ba88a6f6941da2103878407ff992f553ad1ff6d57fc894a66593ae3522dfe95
H1-and-ref-r1k1	H1	and	ref	1	1	no	HOLDOUT	2	2	const	e7022de73b6a3393470a27bda0033ce148716d5bd4bb936684f6b2b31f57e98d
H1-and-ref-r2k1	H1	and	ref	2	1	no	HOLDOUT	4	2	prod	5c2ef84d0e725cf2eea7dc85fad3e4614b380044f3d90df20ce2e75e52169499
H1-and-ref-r1k2	H1	and	ref	1	2	no	HOLDOUT	2	4	const	4422166a07a109c6fadf3c09259833a3a0a097e90ec82111dd858ac23cae0f35
H1-or-none-r1k1	H1	or	none	1	1	no	HOLDOUT	2	2	const	3b49ba57c9ea49e475cb453bcf1e830adb8846b324d83be230e06e37063287fd
H1-or-none-r2k1	H1	or	none	2	1	no	HOLDOUT	4	2	prod	83425678cf85cedeec2d4b83501dc127abe6c01bd9a82dfce080c3fbdd028d87
H1-or-none-r1k2	H1	or	none	1	2	no	HOLDOUT	2	4	const	15ff010cdef41fccf428427f777eec2045c1090cac0f5e0345beaacc17ff5290
H1-or-ref-r1k1	H1	or	ref	1	1	no	HOLDOUT	2	2	const	93c2653b8c0ed3b6874baf92611b24ed9bf7db543621fa9c936e28c185aee9bd
H1-or-ref-r2k1	H1	or	ref	2	1	no	HOLDOUT	4	2	prod	a247267e005d950ee894e347ba0c6d84bf94676fb3f90e5fa22123498c40689f
