mode	sign	op	k	words	shape	full	hex
/Od /GS- /c	s	div	0	6	stw lwz li divw twi blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,0 ; divw r3,r11,r10 ; twi 6,r10,0 ; blr 	90610014 81610014 39400000 7c6b53d6 0cca0000 4e800020
/Od /GS- /c	s	mod	0	3	stw lwz blr	stw r3,20(r1) ; lwz r3,20(r1) ; blr 	90610014 80610014 4e800020
/Od /GS- /c	u	div	0	6	stw lwz li divwu twi blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,0 ; divwu r3,r11,r10 ; twi 6,r10,0 ; blr 	90610014 81610014 39400000 7c6b5396 0cca0000 4e800020
/Od /GS- /c	u	mod	0	3	stw lwz blr	stw r3,20(r1) ; lwz r3,20(r1) ; blr 	90610014 80610014 4e800020
/Od /GS- /c	s	div	1	3	stw lwz blr	stw r3,20(r1) ; lwz r3,20(r1) ; blr 	90610014 80610014 4e800020
/Od /GS- /c	s	mod	1	3	stw li blr	stw r3,20(r1) ; li r3,0 ; blr 	90610014 38600000 4e800020
/Od /GS- /c	u	div	1	3	stw lwz blr	stw r3,20(r1) ; lwz r3,20(r1) ; blr 	90610014 80610014 4e800020
/Od /GS- /c	u	mod	1	3	stw li blr	stw r3,20(r1) ; li r3,0 ; blr 	90610014 38600000 4e800020
/Od /GS- /c	s	div	-1	9	stw lwz li divw rlwinm addi andc twi blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,-1 ; divw r3,r11,r10 ; rlwinm r9,r11,1,0,31 ; addi r8,r9,-1 ; andc r7,r10,r8 ; twi 5,r7,-1 ; blr 	90610014 81610014 3940ffff 7c6b53d6 5569083e 3909ffff 7d474078 0ca7ffff 4e800020
/Od /GS- /c	s	mod	-1	3	stw li blr	stw r3,20(r1) ; li r3,0 ; blr 	90610014 38600000 4e800020
/Od /GS- /c	s	div	2	5	stw lwz li divw blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,2 ; divw r3,r11,r10 ; blr 	90610014 81610014 39400002 7c6b53d6 4e800020
/Od /GS- /c	s	mod	2	7	stw lwz li divw rlwinm subf blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,2 ; divw r9,r11,r10 ; rlwinm r8,r9,1,0,30 ; subf r3,r8,r11 ; blr 	90610014 81610014 39400002 7d2b53d6 5528083c 7c685850 4e800020
/Od /GS- /c	u	div	2	5	stw lwz li divwu blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,2 ; divwu r3,r11,r10 ; blr 	90610014 81610014 39400002 7c6b5396 4e800020
/Od /GS- /c	u	mod	2	7	stw lwz li divwu rlwinm subf blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,2 ; divwu r9,r11,r10 ; rlwinm r8,r9,1,0,30 ; subf r3,r8,r11 ; blr 	90610014 81610014 39400002 7d2b5396 5528083c 7c685850 4e800020
/Od /GS- /c	s	div	-2	5	stw lwz li divw blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,-2 ; divw r3,r11,r10 ; blr 	90610014 81610014 3940fffe 7c6b53d6 4e800020
/Od /GS- /c	s	mod	-2	7	stw lwz li divw mulli subf blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,-2 ; divw r9,r11,r10 ; mulli r8,r9,-2 ; subf r3,r8,r11 ; blr 	90610014 81610014 3940fffe 7d2b53d6 1d09fffe 7c685850 4e800020
/Od /GS- /c	s	div	3	5	stw lwz li divw blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,3 ; divw r3,r11,r10 ; blr 	90610014 81610014 39400003 7c6b53d6 4e800020
/Od /GS- /c	s	mod	3	7	stw lwz li divw mulli subf blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,3 ; divw r9,r11,r10 ; mulli r8,r9,3 ; subf r3,r8,r11 ; blr 	90610014 81610014 39400003 7d2b53d6 1d090003 7c685850 4e800020
/Od /GS- /c	u	div	3	5	stw lwz li divwu blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,3 ; divwu r3,r11,r10 ; blr 	90610014 81610014 39400003 7c6b5396 4e800020
/Od /GS- /c	u	mod	3	7	stw lwz li divwu mulli subf blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,3 ; divwu r9,r11,r10 ; mulli r8,r9,3 ; subf r3,r8,r11 ; blr 	90610014 81610014 39400003 7d2b5396 1d090003 7c685850 4e800020
/Od /GS- /c	s	div	-3	5	stw lwz li divw blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,-3 ; divw r3,r11,r10 ; blr 	90610014 81610014 3940fffd 7c6b53d6 4e800020
/Od /GS- /c	s	mod	-3	7	stw lwz li divw mulli subf blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,-3 ; divw r9,r11,r10 ; mulli r8,r9,-3 ; subf r3,r8,r11 ; blr 	90610014 81610014 3940fffd 7d2b53d6 1d09fffd 7c685850 4e800020
/Od /GS- /c	s	div	4	5	stw lwz li divw blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,4 ; divw r3,r11,r10 ; blr 	90610014 81610014 39400004 7c6b53d6 4e800020
/Od /GS- /c	s	mod	4	7	stw lwz li divw rlwinm subf blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,4 ; divw r9,r11,r10 ; rlwinm r8,r9,2,0,29 ; subf r3,r8,r11 ; blr 	90610014 81610014 39400004 7d2b53d6 5528103a 7c685850 4e800020
/Od /GS- /c	u	div	4	5	stw lwz li divwu blr	stw r3,20(r1) ; lwz r11,20(r1) ; li r10,4 ; divwu r3,r11,r10 ; blr 	90610014 81610014 39400004 7c6b5396 4e800020
