mode	sign	op	k	words	shape	full	hex
/Ox /GS- /c	s	div	5	3	li divw blr	li r11,5 ; divw r3,r3,r11 ; blr 	39600005 7c635bd6 4e800020
/Ox /GS- /c	s	mod	5	10	lis ori mulhw srawi rlwinm add rlwinm add subf blr	lis r11,26214 ; ori r10,r11,0x6667 ; mulhw r9,r3,r10 ; srawi r11,r9,1 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,2,0,29 ; add r8,r11,r10 ; subf r3,r8,r3 ; blr 	3d606666 616a6667 7d235096 7d2b0e70 556a0ffe 7d6b5214 556a103a 7d0b5214 7c681850 4e800020
/Ox /GS- /c	u	div	5	3	li divwu blr	li r11,5 ; divwu r3,r3,r11 ; blr 	39600005 7c635b96 4e800020
/Ox /GS- /c	u	mod	5	8	lis ori mulhwu rlwinm rlwinm add subf blr	lis r11,-13108 ; ori r10,r11,0xcccd ; mulhwu r9,r3,r10 ; rlwinm r11,r9,30,2,31 ; rlwinm r10,r11,2,0,29 ; add r8,r11,r10 ; subf r3,r8,r3 ; blr 	3d60cccc 616acccd 7d235016 552bf0be 556a103a 7d0b5214 7c681850 4e800020
/Ox /GS- /c	s	div	-5	3	li divw blr	li r11,-5 ; divw r3,r3,r11 ; blr 	3960fffb 7c635bd6 4e800020
/Ox /GS- /c	s	mod	-5	9	lis ori mulhw srawi rlwinm add mulli subf blr	lis r11,-26215 ; ori r10,r11,0x9999 ; mulhw r9,r3,r10 ; srawi r11,r9,1 ; rlwinm r10,r11,1,31,31 ; add r8,r11,r10 ; mulli r7,r8,-5 ; subf r3,r7,r3 ; blr 	3d609999 616a9999 7d235096 7d2b0e70 556a0ffe 7d0b5214 1ce8fffb 7c671850 4e800020
/Ox /GS- /c	s	div	6	3	li divw blr	li r11,6 ; divw r3,r3,r11 ; blr 	39600006 7c635bd6 4e800020
/Ox /GS- /c	s	mod	6	10	lis ori mulhw rlwinm add rlwinm add rlwinm subf blr	lis r11,10922 ; ori r10,r11,0xaaab ; mulhw r11,r3,r10 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,1,0,30 ; add r9,r11,r10 ; rlwinm r8,r9,1,0,30 ; subf r3,r8,r3 ; blr 	3d602aaa 616aaaab 7d635096 556a0ffe 7d6b5214 556a083c 7d2b5214 5528083c 7c681850 4e800020
/Ox /GS- /c	u	div	6	3	li divwu blr	li r11,6 ; divwu r3,r3,r11 ; blr 	39600006 7c635b96 4e800020
/Ox /GS- /c	u	mod	6	9	lis ori mulhwu rlwinm rlwinm add rlwinm subf blr	lis r11,-21846 ; ori r10,r11,0xaaab ; mulhwu r9,r3,r10 ; rlwinm r11,r9,30,2,31 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; rlwinm r7,r8,1,0,30 ; subf r3,r7,r3 ; blr 	3d60aaaa 616aaaab 7d235016 552bf0be 556a083c 7d0b5214 5507083c 7c671850 4e800020
/Ox /GS- /c	s	div	9	3	li divw blr	li r11,9 ; divw r3,r3,r11 ; blr 	39600009 7c635bd6 4e800020
/Ox /GS- /c	s	mod	9	10	lis ori mulhw srawi rlwinm add rlwinm add subf blr	lis r11,14563 ; ori r10,r11,0x8e39 ; mulhw r9,r3,r10 ; srawi r11,r9,1 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,3,0,28 ; add r8,r11,r10 ; subf r3,r8,r3 ; blr 	3d6038e3 616a8e39 7d235096 7d2b0e70 556a0ffe 7d6b5214 556a1838 7d0b5214 7c681850 4e800020
/Ox /GS- /c	u	div	9	3	li divwu blr	li r11,9 ; divwu r3,r3,r11 ; blr 	39600009 7c635b96 4e800020
/Ox /GS- /c	u	mod	9	8	lis ori mulhwu rlwinm rlwinm add subf blr	lis r11,14563 ; ori r10,r11,0x8e39 ; mulhwu r9,r3,r10 ; rlwinm r11,r9,31,1,31 ; rlwinm r10,r11,3,0,28 ; add r8,r11,r10 ; subf r3,r8,r3 ; blr 	3d6038e3 616a8e39 7d235016 552bf87e 556a1838 7d0b5214 7c681850 4e800020
/Ox /GS- /c	s	div	-9	3	li divw blr	li r11,-9 ; divw r3,r3,r11 ; blr 	3960fff7 7c635bd6 4e800020
/Ox /GS- /c	s	mod	-9	9	lis ori mulhw srawi rlwinm add mulli subf blr	lis r11,-14564 ; ori r10,r11,0x71c7 ; mulhw r9,r3,r10 ; srawi r11,r9,1 ; rlwinm r10,r11,1,31,31 ; add r8,r11,r10 ; mulli r7,r8,-9 ; subf r3,r7,r3 ; blr 	3d60c71c 616a71c7 7d235096 7d2b0e70 556a0ffe 7d0b5214 1ce8fff7 7c671850 4e800020
/Ox /GS- /c	s	div	12	3	li divw blr	li r11,12 ; divw r3,r3,r11 ; blr 	3960000c 7c635bd6 4e800020
/Ox /GS- /c	s	mod	12	11	lis ori mulhw srawi rlwinm add rlwinm add rlwinm subf blr	lis r11,10922 ; ori r10,r11,0xaaab ; mulhw r9,r3,r10 ; srawi r11,r9,1 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; rlwinm r7,r8,2,0,29 ; subf r3,r7,r3 ; blr 	3d602aaa 616aaaab 7d235096 7d2b0e70 556a0ffe 7d6b5214 556a083c 7d0b5214 5507103a 7c671850 4e800020
/Ox /GS- /c	u	div	12	3	li divwu blr	li r11,12 ; divwu r3,r3,r11 ; blr 	3960000c 7c635b96 4e800020
/Ox /GS- /c	u	mod	12	9	lis ori mulhwu rlwinm rlwinm add rlwinm subf blr	lis r11,-21846 ; ori r10,r11,0xaaab ; mulhwu r9,r3,r10 ; rlwinm r11,r9,29,3,31 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; rlwinm r7,r8,2,0,29 ; subf r3,r7,r3 ; blr 	3d60aaaa 616aaaab 7d235016 552be8fe 556a083c 7d0b5214 5507103a 7c671850 4e800020
/Ox /GS- /c	s	div	20	3	li divw blr	li r11,20 ; divw r3,r3,r11 ; blr 	39600014 7c635bd6 4e800020
/Ox /GS- /c	s	mod	20	11	lis ori mulhw srawi rlwinm add rlwinm add rlwinm subf blr	lis r11,26214 ; ori r10,r11,0x6667 ; mulhw r9,r3,r10 ; srawi r11,r9,3 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,2,0,29 ; add r8,r11,r10 ; rlwinm r7,r8,2,0,29 ; subf r3,r7,r3 ; blr 	3d606666 616a6667 7d235096 7d2b1e70 556a0ffe 7d6b5214 556a103a 7d0b5214 5507103a 7c671850 4e800020
/Ox /GS- /c	u	div	20	3	li divwu blr	li r11,20 ; divwu r3,r3,r11 ; blr 	39600014 7c635b96 4e800020
/Ox /GS- /c	u	mod	20	9	lis ori mulhwu rlwinm rlwinm add rlwinm subf blr	lis r11,-13108 ; ori r10,r11,0xcccd ; mulhwu r9,r3,r10 ; rlwinm r11,r9,28,4,31 ; rlwinm r10,r11,2,0,29 ; add r8,r11,r10 ; rlwinm r7,r8,2,0,29 ; subf r3,r7,r3 ; blr 	3d60cccc 616acccd 7d235016 552be13e 556a103a 7d0b5214 5507103a 7c671850 4e800020
/Ox /GS- /c	s	div	24	3	li divw blr	li r11,24 ; divw r3,r3,r11 ; blr 	39600018 7c635bd6 4e800020
/Ox /GS- /c	s	mod	24	11	lis ori mulhw srawi rlwinm add rlwinm add rlwinm subf blr	lis r11,10922 ; ori r10,r11,0xaaab ; mulhw r9,r3,r10 ; srawi r11,r9,2 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; rlwinm r7,r8,3,0,28 ; subf r3,r7,r3 ; blr 	3d602aaa 616aaaab 7d235096 7d2b1670 556a0ffe 7d6b5214 556a083c 7d0b5214 55071838 7c671850 4e800020
/Ox /GS- /c	u	div	24	3	li divwu blr	li r11,24 ; divwu r3,r3,r11 ; blr 	39600018 7c635b96 4e800020
/Ox /GS- /c	u	mod	24	9	lis ori mulhwu rlwinm rlwinm add rlwinm subf blr	lis r11,-21846 ; ori r10,r11,0xaaab ; mulhwu r9,r3,r10 ; rlwinm r11,r9,28,4,31 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; rlwinm r7,r8,3,0,28 ; subf r3,r7,r3 ; blr 	3d60aaaa 616aaaab 7d235016 552be13e 556a083c 7d0b5214 55071838 7c671850 4e800020
