# DISASSEMBLY-DERIVED (tier 2: addresses; tier 1: file names).
# c2.dll's original translation units, recovered from its C1001 ICE sites.
# anchor_start/anchor_end bracket the functions containing an ICE site for
# that file; code BETWEEN one file's anchor_end and the next file's
# anchor_start is unattributed - a file with no ICE site is invisible here.
# Generated by docs/whitebox/scripts/build_tus.py - do not hand-edit.
file	anchor_start	anchor_end	nfunc_anchored	nsites	min_line	max_line	line_monotone	line_inversions
coff.c	10b28586	10b28586	1	2	275	1928	0	1
coffemit.c	10b290dc	10b2b0dd	13	27	438	3603	21	2
color.c	10b2c21d	10b30517	4	4	1365	7127	1	2
dag.c	10b3219f	10b3219f	1	1	1429	1429	0	0
factor.c	10b34a89	10b34a89	1	1	612	612	0	0
fg.c	10b36133	10b36133	1	1	3704	3704	0	0
fpmodel.c	10b3d18c	10b3d18c	1	1	462	462	0	0
getattr.c	10b3d38e	10b3d610	3	4	299	963	2	1
globdf.c	10b40197	10b40590	2	2	3033	5274	0	1
globlopt.c	10b4565a	10b4a726	5	5	4525	13477	2	2
globopt.c	10b4c762	10b529f6	4	4	9944	13116	2	1
globregs.c	10b55eae	10b55eae	1	1	3520	3520	0	0
hash.c	10b5a1fc	10b5b1a0	4	4	254	886	3	0
inline.c	10b5cfd4	10b5f048	2	2	6781	7283	0	1
list.c	10b709b8	10b71933	2	4	2179	2720	2	1
ltcg.c	10b72fe7	10b73c48	2	2	914	1213	0	1
lur.c	10b75e1e	10b7abd5	4	4	8997	15115	2	1
main.c	10b7e339	10b7e44d	2	4	217	278	1	0
misc.c	10b7f3f4	10b86b6c	5	5	1285	6748	2	2
mod.c	10b8a0c1	10b8b561	4	4	232	2568	1	2
optimize.c	10b92fe2	10b958de	2	3	757	2493	0	1
p2pragma.c	10b97502	10b9761e	3	5	176	237	3	0
p2symtab.c	10b97dfb	10b9b8e9	16	16	935	7641	11	4
pogocg.c	10ba37cd	10ba37cd	1	1	2400	2400	0	0
pogoinline.c	10ba87f2	10ba9462	2	2	1139	1624	0	1
pogoopt.c	10bad217	10bad217	1	1	4788	4788	0	0
ptinl.c	10bb7ed3	10bb7ed3	1	1	2867	2867	0	0
reader.c	10bbc9ab	10bc4307	11	12	3295	10772	5	5
regasg.c	10bc58d5	10bc58d5	1	1	665	665	0	0
sizeopt.c	10bca2af	10bca2af	1	1			0	0
ssa_seh.c	10bcee41	10bcee41	1	1	204	204	0	0
stack.c	10bd0c77	10bd0c77	1	1	1519	1519	0	0
tuple.c	10bd398a	10bd689a	5	5	2075	11260	2	2
ehexcept.c	10be2403	10be3777	3	3	971	4024	1	1
except.c	10be4978	10be56a2	6	6	2245	2245	5	0
emit.cpp	10be71c9	10be7e81	3	3	598	956	2	0
dbg.cpp	10be85fe	10bebd24	10	11	228	3272	5	5
dbgcpp.h	10be95fd	10be95fd	1	1	138	138	0	0
dll.cpp	10bec23c	10bec23c	1	3	387	506	2	0
cgintrin.c	10bf080f	10bf958a	8	8	142	6193	6	1
code.c	10bf9f15	10bf9f15	1	1	702	702	0	0
inlnasm.c	10c01d50	10c01d50	1	1	3724	3724	0	0
lower.c	10c053e7	10c053e7	1	1	3209	3209	0	0
mdlist.c	10c11060	10c11060	1	1	426	426	0	0
mdmisc.c	10c1227f	10c1227f	1	1	1773	1773	0	0
error.c	10c1e4ec	10c1ef83	9	9	169	954	5	3
get_err.c	10c1f143	10c1f143	1	1	160	160	0	0
getflags.c	10c1f415	10c1f572	3	3	263	415	1	1
ioin.c	10c1fbd4	10c20038	5	5	269	494	3	1
vlines.c	10c20453	10c20453	1	1			0	0
lowersmd.c	10c23539	10c24f65	4	4	1482	4648	2	1
smdmisc.c	10c279b7	10c27ec4	4	4	135	1291	1	2
