# DISASSEMBLY-DERIVED — generated by docs/whitebox/scripts/build_strings.py.
# Literals from c2.dll plus the functions that reference them. Do not paste
# any value into crates/ without a docs/whitebox/DISCLOSURE.md entry.
addr	section	len	nxref	xref_funcs	source	value
10b01ac0	.text	23	1	10b27a2c	ghidra	%s is a recursive arc\n
10b01ad8	.text	7	1	10b27a2c	ghidra+raw	%s -> 
10b01ae0	.text	59	1	10b27b7f	ghidra	INF:\t%s not allowed to be inlined (globally unreferenced)\n
10b01b1c	.text	13	2		ghidra+raw	/DEFAULTLIB:
10b01b2c	.text	10	2		ghidra+raw	/COMMENT:
10b01b38	.text	9	3	10b28a9b	ghidra+raw	/EXPORT:
10b01b44	.text	6	2	10b28a9b	ghidra+raw	,DATA
10b01b4c	.text	15	2		ghidra+raw	/NODEFAULTLIB:
10b01b60	.text	86	2	10b28586	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\coff.c
10b01bb8	.text	6	4	10b982d6,10b283b0	ghidra+raw	.data
10b01bc4	.text	12	4	10b73c48,10b28586,10be7727	ghidra+raw	.drectve
10b01bd0	.text	8	1	10b28586	ghidra+raw	DRECTVE
10b01bf8	.text	94	27	10b290dc,10b293b3,10b295fe,10b2982f,10b29a10,10b29af7,10b29c7a,10b2a124,10b2a2b3,10b2a440,10b2a936,10b2b02d,10b2b0dd	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\coffemit.c
10b01c78	.text	6	1	10b2a59d	ghidra+raw	.file
10b01c80	.text	6	1	10b2a936	ghidra+raw	.file
10b01c90	.text	65	1	10b2ad50	ghidra+raw	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/
10b01cd4	.text	9	1	10b2ae0e	ghidra+raw	@comp.id
10b01ce0	.text	12	2	10b2b0dd	ghidra+raw	.cormeta
10b01cf0	.text	88	4	10b2c21d,10b2ceb7,10b2efd6,10b30517	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\color.c
10b01d58	.text	84	1	10b3219f	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\dag.c
10b01db0	.text	90	1	10b34a89	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\factor.c
10b01e10	.text	82	1	10b36133	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\fg.c
10b01e64	.text	16	1		ghidra+raw	FPMOV_TO_INTMOV
10b01e74	.text	18	1		ghidra+raw	SEH_WRITETHRU_OFF
10b01e88	.text	10	1		ghidra+raw	FPSPECIAL
10b01e94	.text	15	1		ghidra+raw	DOUBLETOSINGLE
10b01ea4	.text	19	1		ghidra+raw	FPINLINE_INTRINSIC
10b01eb8	.text	12	1		ghidra+raw	SIDE_EFFECT
10b01ec4	.text	16	1		ghidra+raw	KEEP_USER_CASTS
10b01ed4	.text	22	1		ghidra+raw	NEWFP_EXCEPTION_FWAIT
10b01eec	.text	16	1		ghidra+raw	NEWFP_EXCEPTION
10b01efc	.text	19	1		ghidra+raw	TRYCATCH_EXCEPTION
10b01f10	.text	11	1		ghidra+raw	G5_SPECIAL
10b01f1c	.text	22	1		ghidra+raw	DEAD_CODE_ELIMINATION
10b01f34	.text	13	1		ghidra+raw	HOIST_EXCEPT
10b01f44	.text	12	1		ghidra+raw	SU_COPYPROP
10b01f50	.text	9	1		ghidra+raw	COPYPROP
10b01f5c	.text	6	1		ghidra+raw	COLOR
10b01f64	.text	15	1		ghidra+raw	MUL_DIV_BY_ONE
10b01f74	.text	24	1		ghidra+raw	PARTIAL_RED_ELIMINATION
10b01f8c	.text	12	1		ghidra+raw	CODE_MOTION
10b01f98	.text	16	1		ghidra+raw	NORMALIZE_CASTS
10b01fa8	.text	11	1		ghidra+raw	CTIME_EVAL
10b01fb4	.text	14	1		ghidra+raw	COMMON_SUBEXP
10b01fc4	.text	19	1		ghidra+raw	SCALAR_REPLACEMENT
10b01fd8	.text	17	1		ghidra+raw	SCALAR_REDUCTION
10b01fec	.text	22	1		ghidra+raw	AVOID_BADFPENTERLOADS
10b02004	.text	22	1		ghidra+raw	STORE_AND_LOAD_DOUBLE
10b0201c	.text	22	1		ghidra+raw	STORE_AND_LOAD_SINGLE
10b02034	.text	20	1		ghidra+raw	FACTORING_INVERSE_2
10b02048	.text	18	1		ghidra+raw	FACTORING_INVERSE
10b0205c	.text	23	1		ghidra+raw	FACTORING_DISTRIBUTION
10b02074	.text	13	1		ghidra+raw	DISTRIBUTION
10b02084	.text	14	1		ghidra+raw	SPECIAL_VALUE
10b02094	.text	17	1		ghidra+raw	CONSTANT_FOLDING
10b020a8	.text	14	1		ghidra+raw	ASSOCIATIVITY
10b020b8	.text	12	1		ghidra+raw	CONTRACTION
10b020c4	.text	23	1	10b3d0f6	ghidra+raw	Precisions don't match
10b020e0	.text	92	1	10b3d18c	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\fpmodel.c
10b02140	.text	92	4	10b3d610,10b3d38e,10b3d40a	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\getattr.c
10b021b0	.text	90	2	10b40197,10b40590	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\globdf.c
10b02210	.text	94	5	10b4565a,10b47855,10b48c00,10b49c3b,10b4a726	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\globlopt.c
