# Diagnostic text from 1033/clui.dll's RT_STRING table — the number->text
# dictionary for c2.dll, which itself holds only the numbers. NOT disassembly:
# this is text the compiler prints, i.e. observable output. Generated by
# docs/whitebox/scripts/build_diagnostics.py; do not hand-edit.
id	code	text
103	C103	cl : Command line %s D%d : 
105	C105	usage: cl [ option... ] filename... [ /link linkoption... ]\n
107	C107	Copyright (C) Microsoft Corporation.  All rights reserved.\n\n
110	C110	Compiler Passes:\n
111	C111	Version
113	C113	(press <return> to continue)
120	C120	, 
121	C121	 or 
131	C131	Compiling...\n
132	C132	Processing...\n
133	C133	Generating Code...\n
134	C134	Microsoft (R) C/C++ Optimizing Compiler Version %s\n
135	C135	for Microsoft (R) .NET Framework version %s\n
136	C136	Common Language Runtime
137	C137	Internal Compiler Error in %s.  An error report is being sent to Microsoft.
138	C138	Internal Compiler Error in %s.  You will be prompted to send an error report to Microsoft later.
139	C139	Microsoft (R) C/C++ Optimizing Compiler
140	C140	Microsoft (R) C/C++ Optimizing Compiler Version %s for MIPS R-Series\n
141	C141	Microsoft (R) MIPS Assembler Version %s\n
142	C142	Microsoft (R) C/C++ Optimizing Compiler Version %s for Renesas SH\n
143	C143	Microsoft (R) C/C++ Optimizing Compiler Version %s for ARM\n
144	C144	Microsoft (R) 32-bit C/C++ Standard Compiler Version %s for 80x86\n
145	C145	Microsoft (R) 32-bit C/C++ Optimizing Compiler Version %s for 80x86\n
146	C146	Microsoft (R) 32-bit C/C++ Optimizing Compiler Version %s for PowerPC\n
147	C147	Microsoft (R) C/C++ Optimizing Compiler Version %s for Itanium\n
148	C148	Microsoft (R) C/C++ Optimizing Compiler Version %s for x64\n
149	C149	Running Code Analysis for C/C++...\n
180	C180	mipsasm : Command line %s D%d : 
181	C181	usage: mipsasm [ option... ] filename... [ /link linkoption... ]\n
182	C182	Assembler Passes:\n
183	C183	Assembling...\n
184	C184	Internal Assembler Error in %s.  An error report is being sent to Microsoft.
185	C185	Internal Assembler Error in %s.  You will be prompted to send an error report to Microsoft later.
186	C186	Microsoft (R) MIPS Assembler
210	C210	compiler generated
211	C211	compiler intermediate
212	C212	source
221	C221	functions containing setjmp are not supported
223	C223	inline native assembly not supported
224	C224	varargs not supported
225	C225	virtual-call thunks are native with /clr
226	C226	cannot generate native code for static functions
227	C227	missing metadata for function definition
228	C228	cannot generate native code for functions using value types/managed classes or managed EH constructs
229	C229	a low-level intrinsic was found
230	C230	aligned data types not supported in managed code
231	C231	functions with direct calls to naked functions or thunks are not supported
232	C232	found an intrinsic not supported in managed code
234	C234	functions containing references to __ImageBase are not supported
235	C235	file may have been deleted or moved
236	C236	not enough memory to open metadata
237	C237	cannot generate native code for functions using app domain data
238	C238	local variable whose reference is returned from the function has had its address taken
239	C239	reference is from an unknown source
240	C240	exception handling will clear the stack
241	C241	definition of returned local not found in basic block
242	C242	returning a by reference argument is not verifiable
243	C243	returning a reference to a local or argument is not verifiable
244	C244	__ptr32 pointer types not supported in managed code
245	C245	__ptr64 pointer types not supported in managed code
246	C246	initializers must be managed
