# op      dec  mnemonic       base_word  form  arm
0x0001     1  add           7c000214    49  10bfa456
0x0002     2  add.          7c000215    49  10bfa456
0x0003     3  addc          7c000014    49  10bfa456
0x0004     4  addc.         7c000015    49  10bfa456
0x0005     5  addco         7c000414    49  10bfa456
0x0006     6  addco.        7c000415    49  10bfa456
0x0007     7  adde          7c000114    49  10bfa456
0x0008     8  adde.         7c000115    49  10bfa456
0x0009     9  addeo         7c000514    49  10bfa456
0x000a    10  addeo.        7c000515    49  10bfa456
0x000b    11  addi          38000000    51  10bfa4ed
0x000c    12  addic         30000000    51  10bfa4ed
0x000d    13  addic.        34000000    51  10bfa4ed
0x000e    14  addis         3c000000    51  10bfa4ed
0x000f    15  addme         7c0001d4    47  10bfa4c8
0x0010    16  addme.        7c0001d5    47  10bfa4c8
0x0011    17  addmeo        7c0005d4    47  10bfa4c8
0x0012    18  addmeo.       7c0005d5    47  10bfa4c8
0x0013    19  addo          7c000614    49  10bfa456
0x0014    20  addo.         7c000615    49  10bfa456
0x0015    21  addze         7c000194    47  10bfa4c8
0x0016    22  addze.        7c000195    47  10bfa4c8
0x0017    23  addzeo        7c000594    47  10bfa4c8
0x0018    24  addzeo.       7c000595    47  10bfa4c8
0x0019    25  and           7c000038    39  10bfa53b
0x001a    26  and.          7c000039    39  10bfa53b
0x001b    27  andc          7c000078    39  10bfa53b
0x001c    28  andc.         7c000079    39  10bfa53b
0x001d    29  andi.         70000000    43  10bfa56b
0x001e    30  andis.        74000000    43  10bfa56b
0x001f    31  b             48000000     6  10bfa263
0x0020    32  ba            48000002     6  10bfa263
0x0021    33  bc            40000000     5  10bfa326
0x0022    34  bca           40000002     5  10bfa326
0x0023    35  bcctr         4c000420     4  10bfa2b0
0x0024    36  bcctrl        4c000421     4  10bfa2b0
0x0025    37  bcl           40000001     5  10bfa326
0x0026    38  bcla          40000003     5  10bfa326
0x0027    39  bclr          4c000020     4  10bfa2b0
0x0028    40  bclrl         4c000021     4  10bfa2b0
0x0029    41  bctr          4c000420    55  10bfa2a5
0x002a    42  bctrl         4c000421    55  10bfa2a5
