# DISASSEMBLY-DERIVED (tier 2: addresses, tu, label, hop;
# tier 1: the 53 file names, the string TEXT, the import names).
# GENERATED by docs/whitebox/scripts/build_funcs.py -- do not hand-edit.
# ONE ROW PER FUNCTION IN THE IMAGE -- the complement of ADDR.tsv,
# which has a row only for an address already cited or labelled.
# Every addr is an absolute VA in c2.dll sha256 c80981c015166effecc71ad8112d5577a065b2300891dfdb02b9c13787a66258.
# NAVIGATION ONLY.  Nothing here may enter crates/ without a
# docs/whitebox/DISCLOSURE.md row naming the address.
# cover:   paged > labelled > cited > none
# conf:    a hand label's own confidence, else `mech` -- WEAKER than [R].
#          [R] says the instructions were read correctly; `mech` says only
#          that these tables join here.
# tu_conf: in-anchor (a fact) | gap (a hypothesis, C2_MAP.md 3.1)
#          no-ice-site (a TU the partition cannot see) | n/a
# hop:     undirected call-graph distance to the nearest paged/labelled
#          function; 0 = itself, >6 prints as `6+`, `-` = unreachable.
addr	size	kind	tu	tu_conf	subsys	page	cover	conf	label	ncallers	ncallees	hop	nstr	strings	nimp	imports
10b266d0	147	ghidra	-	gap	-	-	cited	mech	-	2	0	2	0	-	0	-
10b26763	29	ghidra	-	gap	-	-	cited	mech	-	4	1	1	0	-	0	-
10b26780	34	ghidra	-	gap	-	-	none	mech	-	5	0	1	0	-	0	-
10b267a2	52	ghidra	-	gap	-	-	none	mech	-	1	1	2	0	-	0	-
10b267d6	26	ghidra	-	gap	-	-	none	mech	-	2	0	2	0	-	0	-
10b267f0	20	ghidra	-	gap	-	-	none	mech	-	23	2	1	0	-	0	-
10b26804	18	ghidra	-	gap	-	-	none	mech	-	13	0	2	0	-	0	-
10b26816	33	ghidra	-	gap	-	-	none	mech	-	21	0	2	0	-	0	-
10b26837	33	ghidra	-	gap	-	-	none	mech	-	3	0	2	0	-	0	-
10b26858	38	ghidra	-	gap	-	-	none	mech	-	4	0	3	0	-	0	-
10b2687e	58	ghidra	-	gap	-	-	none	mech	-	1	0	3	0	-	0	-
10b268b8	38	ghidra	-	gap	-	-	none	mech	-	7	0	2	0	-	0	-
10b268de	43	ghidra	-	gap	-	-	none	mech	-	45	0	2	0	-	0	-
10b26909	57	ghidra	-	gap	-	-	none	mech	-	2	0	2	0	-	0	-
10b26942	35	ghidra	-	gap	-	-	none	mech	-	2	2	2	0	-	0	-
10b26965	48	ghidra	-	gap	-	-	none	medium	only-from:pgo-client	1	0	3	0	-	0	-
10b26995	38	ghidra	-	gap	-	-	none	mech	-	5	0	2	0	-	0	-
10b269bb	23	ghidra	-	gap	-	-	none	medium	only-from:pgo-client	1	2	3	0	-	0	-
10b269d2	45	ghidra	-	gap	-	-	none	mech	-	1	0	3	0	-	0	-
10b269ff	111	ghidra	-	gap	-	-	none	mech	-	2	0	3	0	-	0	-
10b26a6e	37	ghidra	-	gap	-	-	none	medium	only-from:pgo-client	1	0	3	0	-	0	-
10b26a93	63	ghidra	-	gap	-	-	none	mech	-	4	0	2	0	-	0	-
10b26ad2	47	ghidra	-	gap	-	-	none	mech	-	1	1	3	0	-	0	-
10b26b01	151	ghidra	-	gap	-	-	none	mech	-	7	1	2	0	-	0	-
10b26b98	213	ghidra	-	gap	-	-	none	mech	-	1	1	2	0	-	0	-
10b26c6d	55	ghidra	-	gap	-	-	none	mech	-	2	0	2	0	-	0	-
10b26ca4	33	ghidra	-	gap	-	-	cited	mech	-	15	1	1	0	-	0	-
10b26cc5	15	ghidra	-	gap	-	-	none	mech	-	1	0	2	0	-	0	-
10b26cd4	101	ghidra	-	gap	-	-	none	mech	-	4	1	2	0	-	0	-
10b26d39	47	ghidra	-	gap	-	-	none	mech	-	2	1	1	0	-	0	-
10b26d68	34	ghidra	-	gap	-	-	none	mech	-	3	0	1	0	-	0	-
10b26d8a	36	ghidra	-	gap	-	-	none	mech	-	2	1	2	0	-	0	-
10b26dae	90	ghidra	-	gap	-	-	none	mech	-	5	0	1	0	-	0	-
10b26e08	99	ghidra	-	gap	-	-	none	mech	-	1	0	2	0	-	0	-
10b26e6b	71	ghidra	-	gap	-	-	none	mech	-	2	0	1	0	-	0	-
10b26eb2	27	ghidra	-	gap	-	-	labelled	high	bitset-free: 144 callers; always paired with a store of 0 into the field it frees	144	1	0	0	-	0	-
10b26ecd	13	ghidra	-	gap	-	-	labelled	high	bitset-new: bitset library, 177 callers — allocate. The five below are the set primitives every allocator pass in p2 is written over; identified by caller count and by their use in 10b55eae/10b2ceb7 …	177	1	0	0	-	0	-
10b26eda	33	ghidra	-	gap	-	-	labelled	high	bitset-insert: 206 callers; called as (set, *(u32*)(reg + 0x1c)) throughout globregs.c and color.c	206	1	0	0	-	0	-
10b26efb	60	ghidra	-	gap	-	-	labelled	high	bitset-remove: 70 callers; the inverse of 10b26eda at the same call shapes	70	2	0	0	-	0	-
10b26f37	47	ghidra	-	gap	-	-	labelled	high	bitset-test: 168 callers, returns a char; guards every insert in 10b2ceb7's coalescing test	168	1	0	0	-	0	-
10b26f66	68	ghidra	-	gap	-	-	none	mech	-	6	1	2	0	-	0	-
10b26faa	108	ghidra	-	gap	-	-	none	mech	-	6	2	2	0	-	0	-
10b27016	5	thunk	-	gap	-	-	none	high	thunk	51	0	1	0	-	0	-
10b2701b	118	ghidra	-	gap	-	-	none	mech	-	6	1	1	0	-	0	-
10b27091	107	ghidra	-	gap	-	-	cited	mech	-	35	3	1	0	-	0	-
10b270fc	51	ghidra	-	gap	-	-	cited	mech	-	16	0	1	0	-	0	-
10b2712f	82	ghidra	-	gap	-	-	cited	mech	-	65	2	1	0	-	0	-
10b27181	36	ghidra	-	gap	-	-	none	mech	-	36	2	1	0	-	0	-
10b271a5	82	ghidra	-	gap	-	-	cited	mech	-	58	1	1	0	-	0	-
10b271f7	23	ghidra	-	gap	-	-	cited	mech	-	4	2	2	0	-	0	-
10b2720e	23	ghidra	-	gap	-	-	none	mech	-	1	2	2	0	-	0	-
10b27225	107	ghidra	-	gap	-	-	none	mech	-	68	1	1	0	-	0	-
10b27290	137	ghidra	-	gap	-	-	labelled	high	bitset-pop: 30 callers; returns 0xffffffff when empty — the iteration idiom in 10b55eae	30	1	0	0	-	0	-
10b27319	36	ghidra	-	gap	-	-	none	mech	-	2	0	2	0	-	0	-
10b2733d	63	ghidra	-	gap	-	-	cited	mech	-	11	1	1	0	-	0	-
10b2737c	87	ghidra	-	gap	-	-	none	mech	-	2	0	2	0	-	0	-
10b273d3	161	ghidra	-	gap	-	-	none	mech	-	2	3	1	0	-	0	-
10b27474	132	ghidra	-	gap	-	-	cited	mech	-	92	2	1	0	-	0	-
10b274f8	201	ghidra	-	gap	-	-	none	mech	-	2	2	2	0	-	0	-
10b275c1	23	ghidra	-	gap	-	-	none	mech	-	3	2	2	0	-	0	-
10b275d8	27	ghidra	-	gap	-	-	cited	mech	-	6	2	1	0	-	0	-
10b275f3	125	ghidra	-	gap	-	-	none	mech	-	5	6	1	0	-	0	-
10b27670	17	ghidra	-	gap	-	-	none	mech	-	1	0	3	0	-	0	-
10b27681	70	ghidra	-	gap	-	-	none	mech	-	1	2	2	0	-	0	-
10b276c7	29	ghidra	-	gap	-	-	none	mech	-	1	1	2	0	-	0	-
10b276e4	91	ghidra	-	gap	-	-	labelled	high	emit-marker: sets +0x4c|=0x20, recurses over the func record reference list	6	1	0	0	-	0	-
10b2773f	79	ghidra	-	gap	-	-	labelled	high	emit-closure: additive fixpoint over the inline-candidate list; non-LTCG path	1	0	0	0	-	0	-
10b2778e	354	ghidra	-	gap	-	-	labelled	high	emit-order: topological sort (callee before caller) of DAT_10c4630c	4	1	0	0	-	0	-
10b278f0	166	ghidra	-	gap	-	-	labelled	high	emit-reachability: recursive reachability step; sets rec+0xb1 bit 0x4	2	1	0	0	-	0	-
10b27996	49	ghidra	-	gap	-	-	none	mech	-	1	0	1	0	-	0	-
10b279c7	34	ghidra	-	gap	-	-	none	mech	-	2	0	3	0	-	0	-
10b279e9	16	ghidra	-	gap	-	-	none	mech	-	1	1	2	0	-	0	-
10b279f9	51	ghidra	-	gap	-	-	none	mech	-	1	0	4	0	-	0	-
10b27a2c	288	ghidra	-	gap	-	-	none	mech	-	2	6	2	2	%s is a recursive arc\n | %s -> 	0	-
10b27b4c	51	ghidra	-	gap	-	-	none	mech	-	4	2	1	0	-	0	-
10b27b7f	416	ghidra	-	gap	-	-	labelled	high	emit-prune: LTCG pruner; clears +0x4c bit 0x20; "not allowed to be inlined (globally unreferenced)"	1	5	0	1	INF:\t%s not allowed to be inlined (globally …	0	-
10b27d1f	51	ghidra	-	gap	-	-	none	mech	-	1	2	2	0	-	0	-
10b27d52	41	ghidra	-	gap	-	-	none	mech	-	1	1	2	0	-	0	-
10b27d7b	42	ghidra	-	gap	-	-	none	mech	-	1	1	2	0	-	0	-
