cell	class	framed	stride	minted	charge	sy_decls	sy_kinds	owned	anchors_ok	ex_defs	ex_bwd_t	ex_bwd_uncond	ex_bwd_cond	ex_fwd_t	ex_fwd_uncond	ex_fwd_cond
a-none	leaf	False	1	1	0	0	-	3	True	0	0	0	0	0	0	0
a-if	leaf	False	1	1	0	1	3:1	4	True	1	0	0	0	1	0	1
a-ifelse	leaf	False	1	1	0	2	3:2	6	True	2	0	0	0	2	1	1
a-while	leaf	False	3	1	2	2	3:2	7	True	2	1	1	0	1	0	1
a-dowhile	leaf	False	2	1	1	3	2:3	7	True	3	1	0	1	0	0	0
a-for	leaf	False	3	1	2	3	3:3	8	True	3	1	1	0	2	1	1
a-forever	leaf	False	4	1	3	3	3:2,5:1	8	True	3	1	1	0	2	1	1
a-goto-back	leaf	False	2	1	1	2	2:1,3:1	6	True	2	1	1	0	1	0	1
b-while2	leaf	False	5	1	4	4	3:4	11	True	4	2	2	0	2	0	2
b-while3	leaf	False	7	1	6	6	3:6	15	True	6	3	3	0	3	0	3
b-dowhile2	leaf	False	3	1	2	6	2:6	11	True	6	2	0	2	0	0	0
b-dowhile3	leaf	False	4	1	3	9	2:9	15	True	9	3	0	3	0	0	0
b-for2	leaf	False	5	1	4	6	3:3,4:3	12	True	6	2	2	0	4	2	2
b-for3	leaf	False	7	1	6	9	3:3,4:3,5:3	16	True	9	3	3	0	6	3	3
c-nest2	leaf	False	5	1	4	6	3:2,4:4	12	True	6	2	2	0	4	2	2
c-nest3	leaf	False	7	1	6	9	3:2,4:3,5:4	16	True	9	3	3	0	6	3	3
c-nestwhile2	leaf	False	5	1	4	4	3:2,5:2	12	True	4	2	2	0	2	0	2
d-while-call	framed	True	7	5	2	2	3:2	7	True	2	1	1	0	1	0	1
d-dowhile-call	framed	True	6	5	1	3	2:3	7	True	3	1	0	1	0	0	0
d-for-call	framed	True	9	7	2	3	3:3	8	True	3	1	1	0	2	1	1
d-none-call	framed	True	5	5	0	0	-	3	True	0	0	0	0	0	0	0
e-if2	leaf	False	1	1	0	2	3:2	5	True	2	0	0	0	2	0	2
e-if3	leaf	False	1	1	0	3	3:3	6	True	3	0	0	0	3	0	3
e-if4	leaf	False	1	1	0	4	3:4	7	True	4	0	0	0	4	0	4
f-while-neg	leaf	False	3	1	2	2	3:2	7	True	2	1	1	0	1	0	1
f-dowhile-neg	leaf	False	2	1	1	3	2:3	7	True	3	1	0	1	0	0	0
g-stmt1	leaf	False	1	1	0	0	-	4	True	0	0	0	0	0	0	0
g-stmt8	leaf	False	1	1	0	0	-	4	True	0	0	0	0	0	0	0
