# GRID H — RULE W2's frozen predictions, written by holdout.py --freeze BEFORE any cell was compiled.
# RULE W2: self -> 2*ru+3 > 2*cu ; add-form -> ru>=2 ; load/ext -> cu==1 ; neither -> ru>=2 and cu==1 and bases==1
# `expect` is the mnemonic the CLASS PRINCIPLE says c2 will select; the grade reads the mnemonic c2 printed and looks THAT up in the same frozen table (H4/H5).
# cell	part	tag	expect	A	B	bases	ru	cu	self	PREDICTED	sha256
H1-subfic-1base-r1k1	H1	subfic	subfic	-	-	1base	1	1	no	const	b322caef30b2fb452b6eb541cf4e4082a7ed4c6984fd55c33b27c17591a760fb
H1-subfic-2base-r1k1	H1	subfic	subfic	-	-	2base	1	1	no	const	d80ae83cc9757143b17f6e74c33217b6c9f0d9692511d4394a6537cd1f25620c
H1-subfic-1base-r2k1	H1	subfic	subfic	-	-	1base	2	1	no	prod	e961f4f75fea53b937d2fbfd634a7d7cca247bce18013dc8f6d3ef73856117d2
H1-subfic-2base-r2k1	H1	subfic	subfic	-	-	2base	2	1	no	const	53f7cda6dc066808b7a750c18eacdc0be559b2208b45b813b756212ce781714d
H1-subfic-1base-r2k2	H1	subfic	subfic	-	-	1base	2	2	no	const	e7ffc34c9294e3c5ab58f743f4801fe3fefc3d4ab53f6fc066ae3f14f2e36fdd
H1-subfic-2base-r2k2	H1	subfic	subfic	-	-	2base	2	2	no	const	65f17009d977528a122c63a64e17e686e642079ab48486507fbf641cebf7d262
H1-andi-1base-r1k1	H1	andi	andi.	-	-	1base	1	1	no	const	9106188b91927f77ed904eea9cbec9b6424bf049dcb4ec38dafa106588fa9188
H1-andi-2base-r1k1	H1	andi	andi.	-	-	2base	1	1	no	const	be09996ffb3c36f564d5b688f1b15091485a19539b48324d72e7c24b22f23e21
H1-andi-1base-r2k1	H1	andi	andi.	-	-	1base	2	1	no	prod	61b71405b3c0cda68f2d594d313d45542cc0b3bcfe97f1a7a1351ac4281d3629
H1-andi-2base-r2k1	H1	andi	andi.	-	-	2base	2	1	no	const	93542f4a298d4c2d6df89bc9d79704ec4298926a26a4260ecf2bb895f043d11a
H1-andi-1base-r2k2	H1	andi	andi.	-	-	1base	2	2	no	const	37ccd70160587cb7c5015a7bcb50199de7f53ef06b136942d797cc7f7a7e2687
H1-andi-2base-r2k2	H1	andi	andi.	-	-	2base	2	2	no	const	0566b5da9434c571e165bfab4e0095f548b73d3152c718fb513c2f27e48f0e82
H1-ori-1base-r1k1	H1	ori	ori	-	-	1base	1	1	no	const	7669dd10b9b131ec15132ec5335c4864bb85a1ea249e677aa68c31b026c006c4
H1-ori-2base-r1k1	H1	ori	ori	-	-	2base	1	1	no	const	042aa0f850f52c45b15f35eb3a8d7088c77db1ff4313df36d15ecd5a29a648bd
H1-ori-1base-r2k1	H1	ori	ori	-	-	1base	2	1	no	prod	bcfe772a3a052908beed02e4a22bd53a652bd5c69811be210c1d3bced546b309
H1-ori-2base-r2k1	H1	ori	ori	-	-	2base	2	1	no	const	61dcd23919556efb1ac7b95727fcb5684aca44856b68b9deef961f0a238e7fe4
H1-ori-1base-r2k2	H1	ori	ori	-	-	1base	2	2	no	const	1099ea81be406363e574ee6e1c1229c32de029b2dae2d51b3cb79d82428b3f0a
H1-ori-2base-r2k2	H1	ori	ori	-	-	2base	2	2	no	const	9c3e5d2613d1dfd6572fe0f52255a67c7e6fa2a56637b39fd1460a562a33392c
H1-xori-1base-r1k1	H1	xori	xori	-	-	1base	1	1	no	const	5b3744cfad8d5ad11cc95b2dc2d3c8818d5ac735e5525a0ee7e2ba9abeaf498f
H1-xori-2base-r1k1	H1	xori	xori	-	-	2base	1	1	no	const	5fee21d3ac3b0ff1b3c4178ae91ce166c62dc63d7dcb0289afd08327ff434cfb
H1-xori-1base-r2k1	H1	xori	xori	-	-	1base	2	1	no	prod	39576407fb11ae362d55a9a7e4754c1216d3845817341a349e1389f8f5b211ea
H1-xori-2base-r2k1	H1	xori	xori	-	-	2base	2	1	no	const	0a9e53c007b19eff5d9c06049d697aac15d8eafc8adbc2a750a386a74bb0f9d9
H1-xori-1base-r2k2	H1	xori	xori	-	-	1base	2	2	no	const	4abea6e91b7b05b8357acd4fa9556bfc4e7bbacec94944290608aa3aff64742d
H1-xori-2base-r2k2	H1	xori	xori	-	-	2base	2	2	no	const	4af5a673af673ee8624f4523a5310d0f4f078e77549d82826cac7e0156453969
H1-andc-1base-r1k1	H1	andc	andc	-	-	1base	1	1	no	const	c7b37a8db6d196f8aaf678292aab025ad9d4f87172a84dcd9add0f5db9a8a452
H1-andc-2base-r1k1	H1	andc	andc	-	-	2base	1	1	no	const	87c37db7558c2aa6cc3ad09b99b3a9fe1ea5e26e869e6bdf0dff069cc4d26e33
H1-andc-1base-r2k1	H1	andc	andc	-	-	1base	2	1	no	prod	4d4e8836c2abc9bc01b99a831cf4937b06900aeb91ff477de5a617f2cb8387ae
H1-andc-2base-r2k1	H1	andc	andc	-	-	2base	2	1	no	const	ae6920f901535899e507e8e4ed34d789c5968a96354edd0da30eb1fb1fd4b461
H1-andc-1base-r2k2	H1	andc	andc	-	-	1base	2	2	no	const	88c63876fb4283a933eb58735e587a943aa4ce8bdf7f35a6bbf9085cc12596ed
H1-andc-2base-r2k2	H1	andc	andc	-	-	2base	2	2	no	const	814514b430bf9f0da4f01e59330fa2b0e408464723a50bb9337c90a6aaf155a6
H1-extsb-1base-r1k1	H1	extsb	extsb	A	-	1base	1	1	no	prod	a822832bca6c07b5e48921dcb1a06ed73a8f77fa52f35490008da1d1871790c7
H1-extsb-2base-r1k1	H1	extsb	extsb	A	-	2base	1	1	no	prod	9e6d1de304b8a3ed4151c6944668b55df84aed616f35e3a0cf9b5841df82ebb7
H1-extsb-1base-r2k1	H1	extsb	extsb	A	-	1base	2	1	no	prod	00cada323d452634a1df52f61db0ebcd2ee88735e3672312716d4c4e581fc659
H1-extsb-2base-r2k1	H1	extsb	extsb	A	-	2base	2	1	no	prod	dff22f0e9bdf60f832db334f113624e2e8852b5b778895c710b630bb5cd14e66
H1-extsb-1base-r2k2	H1	extsb	extsb	A	-	1base	2	2	no	const	6579416b9f01a10a4a97698aa633640dc8147f6f843243d18104719cabd61e98
H1-extsb-2base-r2k2	H1	extsb	extsb	A	-	2base	2	2	no	const	fd534c5dd450f46efa9376e00eeb18644dc62bbbdd1f1bdc3782df107cd42d29
H1-slw-1base-r1k1	H1	slw	slw	-	-	1base	1	1	no	const	bf0951872cb2ba5840c54bffe9661798b7945150216c923cf8b0fbcf4452ba23
