addr	label	confidence	note
# DISASSEMBLY-DERIVED. Lane wb-select (WB-I), campaign 2026-08-08 (run 2026-08-09).
# Image c2.dll sha256 c80981c015166effecc71ad8112d5577a065b2300891dfdb02b9c13787a66258.
# `high` means "the instructions were read correctly", NOT "this is what c2 does" —
# the obj grade is in docs/whitebox/WB_SELECT_FINDINGS.md §7.  `unknown` is respectable.
10b1b260	sel-mnemonic-table	high	The PPC machine-opcode table, 665 entries x 12 bytes {char *mnemonic; int operand_format; int flags}, bracketed by _first/_last, alphabetical.  Its INDEX is c2's machine opcode number and is shared with the encoding table 10c3a578 and the property bytes 10c3afd8.  Read by the inline-asm parser (10c00900, 10c029dd, 10c032b8).  flags: 0x08 Rc=1, 0x10 has an Rc sibling, 0x20 writes XER[CA], 0x40 reads XER[CA]
10c3a578	sel-encoding-table	high	Machine opcode -> the 32-bit big-endian PPC encoding skeleton, stride 4, same index as 10b1b260.  add=7c000214 addi=38000000 subfc=7c000010 subfe=7c000110 subfic=20000000 cntlzw=7c000034 srawi=7c000670 addze=7c000194 rlwinm=54000000 cmpi=2c000000 cmpli=28000000.  Obj-confirmed indirectly: every word this lane predicted from these skeletons matched (FINDINGS 7)
10c3afd8	sel-opcode-flags	high	Machine opcode -> a property BYTE, indexed by the same opcode number.  Bit 0x20 = "writes XER[CA]"; read at 10c06689 in the subtract selector to attach a dead carry def when nothing consumes it
10c04cb9	sel-table-install	high	Installs the per-type opcode tables. [CORRECTED 2026-08-09 by W-TABLES.tsv / WB_TABLES_FINDINGS.md 1: the installer has 17 stores into 13 SLOTS and references 17 BODIES; SIXTEEN is the count of bodies contiguous in .data, and the list below omits the 13th installed table, convert/widen at 0x10b1fd08.] Originally recorded as: the SIXTEEN per-type opcode tables (move/load/loadx/store/storex/neg/add/sub/mul/div/cmp-imm/cmp-reg and four -QVMX128 variants) into DAT_10c6fdb0..DAT_10c6fddc.  Each table is 26 ints indexed by FUN_10bd7c10(type).  THIS IS THE PATTERN SET IN TABLE FORM
10c39548	sel-tab-cmp-reg	high	Compare, register form, by type: cmp for type slots 1/2/4/6, cmpl for 7/8/10/12/16/17/20..23, fcmpu for 13/14.  #1788's cmpw-vs-cmplw is THIS LOOKUP.  Obj-confirmed (cell wbs_s5 emits cmpwi cr6 for a signed int)
10c394e0	sel-tab-cmp-imm	high	Compare, immediate form, by type: cmpi / cmpli / fcmpu.  Chosen over 10c39548 by the 16-bit immediate FIT test in 10c0eb17
10c393a8	sel-tab-sub	high	Subtract by type: subf / fsubs / fsub / vsubfp.  Read at 10c06639 in the subtract selector
10c39340	sel-tab-add	high	Add by type: add / fadds / fadd / vaddfp
10c39478	sel-tab-div	high	Divide by type: divw for 1/2/4, divd for 6, divwu for the unsigned slots, divdu for 12/23, fdivs/fdiv for 13/14.  The signed/unsigned divide split is a table lookup, not a branch
10c0f882	sel-dispatch	high	THE PER-OPERATOR SELECTION DISPATCH.  A 46-arm jump-table switch on the tuple opcode (instr[1]) that rewrites the SAME field into a machine opcode.  0x2c5/0x327/0x328 -> add 10c0634b, 0x2c6/0x329/0x32a -> sub 10c064cb, 0x2c7 -> mul 10c067f1, 0x2ca -> and 10c0711d, 0x2cb -> or (0x11d/0x121), 0x2cc -> xor (0x26a/0x26c), 0x2cd -> div 10c068ee, 0x2ce -> mod 10c06eb1, 0x2d4 -> compare 10c0eb17, 0x2dc -> call 10c0e4b9, 0x2dd/0x2e7 -> branch 10c0b690, 0x2ea -> relational-as-VALUE 10c1b517, 0x2eb -> intrinsics 10bf7c59 (cgintrin.c), 0x2f0/0x2f4 -> prologue/epilogue
10c064cb	sel-sub	high	The subtract selector.  Picks subfe (0x187) when a carry-in operand is present, subfc (0x183) when a carry-out is consumed, subfic (0x18b) for a 16-bit constant, subfme (0x18c) / subfze (0x192) for the -1 / 0 cases, and add/addi when the operand is negated.  Then attaches a dead CA def if 10c3afd8[opcode] & 0x20
10c0634b	sel-add	high	The add selector; the mirror of 10c064cb (adde 0x007 / addze 0x015 / addme 0x00f / addc 0x003)
10c068ee	sel-div	high	The divide selector.  Emits the two twi division traps, and for a power-of-two signed divisor the srawi + addze pair.  Obj-confirmed word-exact by cell wbs_k1 (x/8 -> srawi r11,r3,3 ; addze r3,r11)
10c0a2e2	sel-rlandi-expand	high	THE rlandi (0x26e) EXPANDER — this site is CORRECT and is re-confirmed 2026-08-09 by W-TABLES.tsv (WB_SELECT_FINDINGS_R2.md named 0x10c1772b instead, which is a peephole combiner). Expands into rlwinm / rlwinm. / andi. / andis. / rldicl / li+and.  Obj-confirmed: a contiguous mask always took rlwinm, never andi. (cells wbs_s3, wbs_k2, wbs_b1, wbs_b2, wbs_k3 — 5 for 5)
10c0eb17	sel-cmp	high	The compare selector.  Reads the type nibble (>>12) of the tuple's type word, tests a 16-bit SIGNED fit for nibble 1 and a 16-bit UNSIGNED fit for nibbles 2/3/4, and indexes DAT_10c6fdb4 (immediate) or DAT_10c6fdb0 (register).  Assigns the CR field as descriptor 0x10c2f088 + 0x60*(0x49) = cr6, or 0x43 = cr0 when 10c0b300 says so
10c0b300	sel-cmp-cr0	unknown	Decides cr0 instead of cr6 in 10c0eb17 (its result shifts the descriptor index by -6).  Not read by this lane; the black-box fact stands (every explicit compare in three lanes' grids is cr6)
10c1b315	sel-ifconv-profit	high	THE PROFITABILITY GATE for turning a branch into a branchless value.  Called from p2\misc.c (0x10b813f1).  Races the two expanders in COST mode and accepts when 2*cost < 20 at /O1 (DAT_10c2e310 == 0, the favour-speed word) or cost < 10 under favour-speed.  Obj-confirmed by cell wbs_s5: a signed relational against a non-zero constant is infeasible for both expanders (cost 500) and c2 emits a real cmpwi + bclr
10c1b517	sel-setcc-driver	high	The value-producing-relational driver, tuple opcode 0x2ea.  Type nibble 5 -> 10c194b8; one compare operand constant 0 and 10c1b2fa enabled -> the table dispatch 10c1a908; otherwise cost(10c1ac5c) vs cost(10c1af2d), EMIT THE CHEAPER, TIES TO 10c1af2d.  Obj-confirmed: cell wbs_s4 is a 4-4 tie and B won (FINDINGS 7)
10c1ac5c	sel-setcc-carry	high	STRATEGY A, the branchless CARRY idiom, and the flagship reading of this lane.  Normalises the relation to canonical `a >u b` (== swaps the result pair; != needs a zero operand; <u swaps the compare operands; <=u swaps the result pair; >=u does both), refuses every SIGNED relation with cost 500, then emits [li] / subfic|subfc / lcarry / [rlandi delta] / [addi base].  param_2 == 0 returns the cost, which IS the word count.  Obj-confirmed word-exact on wbs_s2, wbs_s3, wbs_b2, wbs_k3 and mnemonic-exact on wbs_s1, wbs_b1
10c1af2d	sel-setcc-cntlzw	high	STRATEGY B, the CNTLZW idiom: [addi -K | subf] / [cntlzw for a signed relation] / cntlzw / rlwinm 27,31,31 / [xori 1] / [neg] / [addi base] / [rlandi log2 delta].  Feasible only when a compare operand is the constant 0 or the relation is ==/!=, and when the two result values differ by 1 or are {0, a power of two}.  Obj-confirmed word-exact on wbs_s4; mechanism-confirmed on wbs_s6
10c1a908	sel-setcc-zero-table	high	The zero-operand fast path: a 20-arm switch on the relation code selecting one of ~20 expander functions in 10c198d2..10c1a838, with a second variant chosen when the other operand is the constant 1 or -1
10b189a4	sel-rel-unsign	high	Relation-code remap table, 20 bytes: [0,1,2,7,8,9,a,7,8,9,a,0,0,0,0,f,10,11,12].  Applied to the relation byte at tuple+0x34 when the compare's type nibble is 2, and it maps the SIGNED family 3..6 onto the UNSIGNED family 7..10.  Relation codes: 1 == , 2 != , 3/4/5/6 signed < > <= >= , 7/8/9/10 the unsigned four
10b189b8	sel-rel-commute	high	Relation-code remap, 20 bytes: swaps 3<->4, 5<->6, 7<->8, 9<->10 and zeroes 0x0b..0x0e — the OPERAND-SWAP map
10b189cc	sel-rel-negate	high	Relation-code remap, 20 bytes: swaps 1<->2, 3<->6, 4<->5, 7<->0x0a, 8<->9, 0x0b<->0x0c, 0x0d<->0x0e, 0x0f<->0x10, 0x11<->0x12 — the NEGATION map
10b18990	sel-signedness-erase	unknown	The fourth 20-byte table of the same family: [0,1,2,3,4,5,6,3,4,5,6,0,0,0,0,f,10,11,12].  Indexed by `type & 0x1f` at 10c0f7f9 (WB-H's "size table"), 10b45xxx and 10c0d0xx, and by a bare byte elsewhere.  Whether the 19-value space is one enum shared with the relation codes is NOT resolved by this lane, so WB-H's "size table, must be 4 or 2" gloss is neither confirmed nor corrected here
10c0d57e	sel-expand-switch	high	The in-place expansion switch WB-D §4 saw — a 3899-byte binary decision tree on instr[1] with arms at 0x0b..0x0d (addi/addic/addic.), 0x21 (bc), 0x2e/0x30 (cmpi/cmpli), 0x270 (li) AND 0x2f0/0x2f4.  It therefore spans BOTH halves of one opcode space: <= 0x298 machine, > 0x298 tuple/IR
