# FROZEN BEFORE THE FIRST cl.exe OF select_grid.cpp — lane wb-select (WB-I), 2026-08-09.
# Scored in docs/whitebox/WB_SELECT_FINDINGS.md §6.  A cell whose premise fails
# is scored a MISS, not excluded (wb-regalloc §7.4's rule, inherited).
#
# ---------------------------------------------------------------------------
# WHERE THESE PREDICTIONS COME FROM  (all VAs are in the image pinned by
# C2_MAP_METHOD.md §0, sha256 c80981...6258, verified at the top of this lane)
#
#  * the machine-opcode table 0x10b1b260 (12-byte stride: name, format,
#    attribute word) and its mnemonic pool 0x10b19700..0x10b1b25f;
#  * the 13 per-operator opcode tables installed by FUN_10c04cb9 @ 0x10c04cb9
#    (0x10c38f30 .. 0x10c39548 and 0x10b1fd08), each 26 entries indexed by the
#    operand TYPE INDEX that FUN_10bd7c10 @ 0x10bd7c10 computes;
#  * the per-operator dispatch FUN_10c0f882 @ 0x10c0f882 (switch on
#    tuple->opcode, base 0x27e, byte index 0x10c0fbd6, jump table 0x10c0fb32);
#  * the value-producing-relational expanders FUN_10c1ac5c @ 0x10c1ac5c (carry)
#    and FUN_10c1af2d @ 0x10c1af2d (cntlzw), chosen by word count in
#    FUN_10c1b517 @ 0x10c1b517;
#  * the compare lowering FUN_10c0eb17 @ 0x10c0eb17 and the record-form /
#    CR-field decision FUN_10c0b300 @ 0x10c0b300;
#  * the divide lowering FUN_10c068ee @ 0x10c068ee, the multiply lowering
#    FUN_10c067f1 @ 0x10c067f1, AND FUN_10c0711d @ 0x10c0711d, OR/XOR
#    FUN_10c0718f @ 0x10c0718f.
#
# GRADING GRANULARITY, stated in advance.  Each cell is graded on the MNEMONIC
# SEQUENCE and the IMMEDIATE VALUES ("core"), and separately on the register
# identities ("regs", WB-D §3.4: r11 first for scratch, r3 for the return).  A
# core miss is a SELECTION miss and is what this lane is about; a regs-only
# miss is reported but does not refute the reading.  Word COUNTS were measured
# by the unscored calibration pass and are therefore NOT graded.
#
# ---------------------------------------------------------------------------
cell	predicted core (mnemonics + immediates, in order)	predicted regs	what a miss refutes
S1 sel_ltu_ab	a carry-SETTING subtract against the bound (subfic or addic, immediate 9 or -10), then a 2-word materialisation of a 0/-1 mask from XER[CA] CONTAINING `subfe`, then a mask of the result by (7-3)=4 via rlwinm/andi., then `addi ...,3`, then `blr`.  NO cmplwi, NO conditional branch, NO cntlzw.	scratch r11 or r0; result in r3	the reading of FUN_10c1ac5c: cost = 2 + (mask) + (bias), emission = setter / lcarry / rlandi(A-B) / addi(B)
S2 sel_lts_ab	a SIGNED compare-and-branch: `cmpwi` (cr6) against 10, a conditional branch, two `li` (7 and 3), `blr`.  NO subfe, NO cntlzw, NO addze.	compare in cr6; result r3	P3.2 / the reading that FUN_10c1ac5c returns 500 for cond codes 3-6 (LT/LE/GT/GE) and FUN_10c1af2d requires a zero RHS outside EQ/NE
S3 sel_eqz	`cntlzw r3,r3` then a rotate-and-mask extracting bit 31 (rlwinm ...,27,31,31 i.e. srwi 5), then `blr`.  NO subfe.	both in r3	the reading of FUN_10c1af2d: cntlzw (opcode 0x32) then rlandi (0x26e) with rotate 27 and mask 1
S4 sel_nez	the CARRY expander wins, not cntlzw: a carry-setting subtract against 0 (subfic/addic) then `subfe`, then `blr`.  NO cntlzw, NO xori.	scratch r0 or r11; result r3	the cost comparison in FUN_10c1b517 (`if (cost_cntlzw <= cost_carry) use cntlzw`) and the cond-2 arm of FUN_10c1ac5c
S5 sel_divs8	`srawi r3,r3,3` then `addze r3,r3` then `blr`.	both in r3	the power-of-two arm of FUN_10c068ee, which mints 0x147 (srawi) with a CA def and then sets the tuple opcode to 0x15 (addze)
S6 sel_divs3	a materialisation of the constant 3 (`li`) then `divw`, then `blr`.  NO mulhw, NO mulhwu, NO magic-number multiply.	divisor in r0 or r11; result r3	PREREG P2.4, and the reading that FUN_10c068ee has NO non-power-of-two constant arm (it falls through to the div table 0x10c39478)
S7 sel_and_ff	`rlwinm r3,r3,0,24,31` (clrlwi 24), then `blr`.  NOT `andi.`.	both in r3	the reading of FUN_10c0711d, which mints the PSEUDO-op 0x26e `rlandi` for AND-with-constant rather than selecting andi. directly
S8 sel_or_big	`oris r3,r3,1` then `ori r3,r3,0x2345` then `blr`.  NO lis, NO `or`.	both in r3	the reading of FUN_10c0718f, which selects the immediate opcode (ori=0x121) purely on "operand 1 is a constant", with no 16-bit fit test
S9 sel_schar	`lbz r3,0(r3)` then `extsb r3,r3` then `addi r3,r3,1` then `blr`.	all r3	the load table 0x10c38f98 index 1 = lbz, plus the convert table 0x10b1fd08 index 1 = extsb
S10 sel_short	`lha r3,0(r3)` then `addi r3,r3,1` then `blr`.  `extsh` does NOT appear.	all r3	that a peephole FUSES the table's lhz (0x10c38f98 index 2) with the convert table's extsh (0x10b1fd08 index 2) into lha -- the tables alone predict two words, calibration measured one, so a fusion must exist
