mode	sign	op	k	words	shape	full	hex
/Ox /GS- /c	s	div	20	3	li divw blr	li r11,20 ; divw r3,r3,r11 ; blr 	39600014 7c635bd6 4e800020
/Ox /GS- /c	s	mod	20	11	lis ori mulhw srawi rlwinm add rlwinm add rlwinm subf blr	lis r11,26214 ; ori r10,r11,0x6667 ; mulhw r9,r3,r10 ; srawi r11,r9,3 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,2,0,29 ; add r8,r11,r10 ; rlwinm r7,r8,2,0,29 ; subf r3,r7,r3 ; blr 	3d606666 616a6667 7d235096 7d2b1e70 556a0ffe 7d6b5214 556a103a 7d0b5214 5507103a 7c671850 4e800020
/Ox /GS- /c	u	div	20	3	li divwu blr	li r11,20 ; divwu r3,r3,r11 ; blr 	39600014 7c635b96 4e800020
/Ox /GS- /c	u	mod	20	9	lis ori mulhwu rlwinm rlwinm add rlwinm subf blr	lis r11,-13108 ; ori r10,r11,0xcccd ; mulhwu r9,r3,r10 ; rlwinm r11,r9,28,4,31 ; rlwinm r10,r11,2,0,29 ; add r8,r11,r10 ; rlwinm r7,r8,2,0,29 ; subf r3,r7,r3 ; blr 	3d60cccc 616acccd 7d235016 552be13e 556a103a 7d0b5214 5507103a 7c671850 4e800020
/Ox /GS- /c	s	div	2	3	srawi addze blr	srawi r11,r3,1 ; addze r3,r11 ; blr 	7c6b0e70 7c6b0194 4e800020
/Ox /GS- /c	s	mod	2	5	srawi addze rlwinm subf blr	srawi r11,r3,1 ; addze r10,r11 ; rlwinm r9,r10,1,0,30 ; subf r3,r9,r3 ; blr 	7c6b0e70 7d4b0194 5549083c 7c691850 4e800020
/Ox /GS- /c	u	div	2	2	rlwinm blr	rlwinm r3,r3,31,1,31 ; blr 	5463f87e 4e800020
/Ox /GS- /c	u	mod	2	2	rlwinm blr	rlwinm r3,r3,0,31,31 ; blr 	546307fe 4e800020
/Ox /GS- /c	s	div	24	3	li divw blr	li r11,24 ; divw r3,r3,r11 ; blr 	39600018 7c635bd6 4e800020
/Ox /GS- /c	s	mod	24	11	lis ori mulhw srawi rlwinm add rlwinm add rlwinm subf blr	lis r11,10922 ; ori r10,r11,0xaaab ; mulhw r9,r3,r10 ; srawi r11,r9,2 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; rlwinm r7,r8,3,0,28 ; subf r3,r7,r3 ; blr 	3d602aaa 616aaaab 7d235096 7d2b1670 556a0ffe 7d6b5214 556a083c 7d0b5214 55071838 7c671850 4e800020
/Ox /GS- /c	u	div	24	3	li divwu blr	li r11,24 ; divwu r3,r3,r11 ; blr 	39600018 7c635b96 4e800020
/Ox /GS- /c	u	mod	24	9	lis ori mulhwu rlwinm rlwinm add rlwinm subf blr	lis r11,-21846 ; ori r10,r11,0xaaab ; mulhwu r9,r3,r10 ; rlwinm r11,r9,28,4,31 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; rlwinm r7,r8,3,0,28 ; subf r3,r7,r3 ; blr 	3d60aaaa 616aaaab 7d235016 552be13e 556a083c 7d0b5214 55071838 7c671850 4e800020
/Ox /GS- /c	s	div	12	3	li divw blr	li r11,12 ; divw r3,r3,r11 ; blr 	3960000c 7c635bd6 4e800020
/Ox /GS- /c	s	mod	12	11	lis ori mulhw srawi rlwinm add rlwinm add rlwinm subf blr	lis r11,10922 ; ori r10,r11,0xaaab ; mulhw r9,r3,r10 ; srawi r11,r9,1 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; rlwinm r7,r8,2,0,29 ; subf r3,r7,r3 ; blr 	3d602aaa 616aaaab 7d235096 7d2b0e70 556a0ffe 7d6b5214 556a083c 7d0b5214 5507103a 7c671850 4e800020
