# spliced functions with a per-symbol relocation record: 723
#   no-relocs        723
# DISAGREEMENTS: 0
#
# verdict       port targets                 c2 targets                   TU :: symbol
no-relocs       (none)                       (none)                       src/lazer/game/BustAMovePanel.cpp :: ??0?$_List_iterator@HU?$_Nonconst_traits@H@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/game/BustAMovePanel.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/game/BustAMovePanel.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/game/BustAMovePanel.cpp :: ??0?$_List_iterator@VSymbol@@U?$_Nonconst_traits@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/game/Game.cpp :: ??0?$_List_iterator@P6AXXZU?$_Nonconst_traits@P6AXXZ@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/game/GamePanel.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/game/GamePanel.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/game/HamUserMgr.cpp :: ??0?$_List_iterator@P6AXXZU?$_Nonconst_traits@P6AXXZ@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/game/PartyModeMgr.cpp :: ??0?$_List_iterator@HU?$_Const_traits@H@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/game/PartyModeMgr.cpp :: ??0?$_List_iterator@HU?$_Nonconst_traits@H@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/game/PartyModeMgr.cpp :: ??0?$_List_iterator@VSongQueueRow@@U?$_Const_traits@VSongQueueRow@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/game/PartyModeMgr.cpp :: ??0?$_List_iterator@VSongQueueRow@@U?$_Nonconst_traits@VSongQueueRow@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/game/PartyModeMgr.cpp :: ??0?$_List_iterator@VSymbol@@U?$_Const_traits@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/game/PartyModeMgr.cpp :: ??0?$_List_iterator@VSymbol@@U?$_Nonconst_traits@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/AccomplishmentCampaignConditional.cpp :: ??0?$_List_iterator@UAccomplishmentCondition@@U?$_Const_traits@UAccomplishmentCondition@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/AccomplishmentCharacterListConditional.cpp :: ??0?$_List_iterator@UAccomplishmentCondition@@U?$_Nonconst_traits@UAccomplishmentCondition@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/AccomplishmentConditional.cpp :: ??0?$_List_iterator@UAccomplishmentCondition@@U?$_Const_traits@UAccomplishmentCondition@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/AccomplishmentConditional.cpp :: ??0?$_List_iterator@UAccomplishmentCondition@@U?$_Nonconst_traits@UAccomplishmentCondition@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/AccomplishmentCountConditional.cpp :: ??0?$_List_iterator@UAccomplishmentCondition@@U?$_Const_traits@UAccomplishmentCondition@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/AccomplishmentManager.cpp :: ??0?$_List_iterator@VSymbol@@U?$_Nonconst_traits@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/AccomplishmentOneShot.cpp :: ??0?$_List_iterator@UAccomplishmentCondition@@U?$_Nonconst_traits@UAccomplishmentCondition@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/AccomplishmentProgress.cpp :: ??0?$_List_iterator@PAVGamerAwardStatus@@U?$_Const_traits@PAVGamerAwardStatus@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/AccomplishmentProgress.cpp :: ??0?$_List_iterator@PAVGamerAwardStatus@@U?$_Nonconst_traits@PAVGamerAwardStatus@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/AccomplishmentProgress.cpp :: ??0?$_List_iterator@U?$pair@VSymbol@@V1@@stlpmtx_std@@U?$_Const_traits@U?$pair@VSymbol@@V1@@stlpmtx_std@@@2@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/AccomplishmentProgress.cpp :: ??0?$_List_iterator@U?$pair@VSymbol@@V1@@stlpmtx_std@@U?$_Nonconst_traits@U?$pair@VSymbol@@V1@@stlpmtx_std@@@2@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/AccomplishmentProgress.cpp :: ??0?$_List_iterator@VSymbol@@U?$_Nonconst_traits@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/AccomplishmentSongConditional.cpp :: ??0?$_List_iterator@UAccomplishmentCondition@@U?$_Const_traits@UAccomplishmentCondition@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/Award.cpp :: ??0?$_List_iterator@UAwardEntry@@U?$_Const_traits@UAwardEntry@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/Award.cpp :: ??0?$_List_iterator@UAwardEntry@@U?$_Nonconst_traits@UAwardEntry@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/CampaignPerformer.cpp :: ?front@?$vector@PAVCampaignEra@@V?$StlNodeAlloc@PAVCampaignEra@@@stlpmtx_std@@@stlpmtx_std@@QAAAAPAVCampaignEra@@XZ
no-relocs       (none)                       (none)                       src/lazer/meta_ham/ChallengeSort.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Nonconst_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/ChallengeSortNode.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Const_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/ChallengeSortNode.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Nonconst_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/Challenges.cpp :: ??0?$_List_iterator@PAVHamProfile@@U?$_Nonconst_traits@PAVHamProfile@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
