cell	n	values	marks	source_order_idx
sw_rc000	22	-1943,-1865,-1523,-871,-751,-475,227,400,485,487,575,1171,1210,1638,2292,2655,2881,3084,3098,3359,3408,3539	17356,5603,16843,18478,7493,17279,16071,14733,2317,4701,20588,23754,8628,29473,26578,22495,24794,17570,4879,3033,3315,8371	14,17,1,7,19,12,16,0,15,10,6,21,13,5,18,8,4,11,3,20,2,9
sw_rc001	14	-1953,-1531,-833,-815,27,208,680,1037,1302,1870,1979,2635,3317,3585	24281,3931,15034,9118,18301,22001,4797,12844,26885,21549,29341,23821,9771,26382	9,3,0,13,4,10,1,11,12,8,6,5,2,7
sw_rc002	16	-1351,-1326,-808,-649,-460,-407,-379,-318,222,577,1073,1505,1874,2220,2391,3438	20886,7290,7545,8816,24049,29315,24273,5860,11522,26550,18347,4296,16613,11778,2410,17497	12,15,2,1,11,13,4,6,7,10,14,0,3,5,8,9
sw_rc003	22	-1692,-1367,-735,-691,-596,-218,-33,370,786,1020,1260,1339,1839,1927,2031,2090,2100,2242,2530,2540,3000,3099	6627,17963,23904,16189,5745,11947,16524,29377,24621,2782,21070,29164,24141,2137,10357,24190,19891,7674,3445,13565,22921,3723	4,13,19,1,14,16,5,11,12,9,17,0,3,18,6,2,21,8,20,10,7,15
sw_rc004	2	99,100	3769,18494	1,0
sw_rc005	5	80,200,201,202,203	18131,19731,21278,21367,4907	1,2,0,4,3
sw_rc006	3	89,90,91	22748,28215,5248	1,2,0
sw_rc007	6	0,1,2,3,4,5	13943,19834,18554,27912,24494,17295	4,1,3,0,2,5
sw_rc008	23	39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61	17989,7757,22321,26300,20029,23994,12654,7183,23775,4758,4934,24360,4246,22672,26964,3570,11033,28108,12147,25276,7745,2034,28729	7,14,8,19,2,10,15,22,13,3,12,21,6,16,18,1,9,11,5,4,17,0,20
sw_rc009	17	41,59,89,110,119,122,140,152,193,214,224,319,324,349,350,352,374	25930,19284,14339,2979,1680,1603,1342,15847,2641,20019,17110,13604,9828,24106,17367,16334,9346	3,9,1,0,16,13,4,2,7,5,15,10,11,14,6,12,8
sw_rc010	15	-1778,-1310,-1244,-760,-622,-422,-355,-173,129,583,1539,1804,2084,3067,3729	13838,2421,11426,16886,27766,15778,24475,3088,29995,19164,12246,1625,14270,8321,23012	8,13,6,10,11,3,12,4,9,14,5,7,1,2,0
sw_rc011	2	34,35	12883,18671	1,0
sw_rc012	8	24,32,143,282,311,338,368,378	9718,28410,17811,7810,8008,6759,21846,7383	1,4,3,6,2,0,7,5
sw_rc013	10	-1538,-695,-57,340,623,892,1085,1430,1612,2220	14453,10437,12516,1469,16097,1396,10667,16724,10993,1957	3,7,4,0,9,1,5,2,6,8
sw_rc014	21	33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53	7861,1535,26597,29528,13306,4186,5874,28730,11356,22154,3453,26174,13914,14746,26079,25707,16789,8036,7001,18887,5187	18,15,8,12,5,2,1,4,14,13,19,10,16,0,17,3,6,9,11,7,20
sw_rc015	6	-1411,633,846,1115,3067,3694	28237,17946,20223,3839,9592,9487	0,5,2,3,1,4
sw_rc016	11	-1800,-1782,-1468,-1356,-581,-458,103,710,1463,2072,3468	28474,19976,25907,8910,6424,20807,5364,23526,27122,28767,22122	3,6,8,10,5,1,7,2,0,9,4
sw_rc017	12	29,39,48,70,130,155,209,233,254,270,312,342	23235,10201,27653,24007,8023,24678,11979,8428,11540,29729,18420,28310	4,7,8,0,6,11,10,9,5,3,1,2
sw_rc018	2	325,760	22700,6573	1,0
sw_rc019	10	22,54,80,81,82,83,147,174,175,176	6379,14081,15387,6291,22593,26571,25129,24860,11355,3954	5,4,8,9,1,6,3,2,7,0
sw_rc020	19	-1938,-1697,-991,-773,-689,-555,-494,-359,544,887,1566,1716,1870,2043,3193,3470,3726,3768,3959	2222,15692,8186,24699,1717,6575,7881,14883,29171,14069,22985,9263,14440,20205,13888,6276,11283,2090,21530	11,5,0,17,1,14,15,7,3,13,16,6,18,10,2,12,4,8,9
sw_rc021	5	-1738,-1280,2804,3765,3847	20339,2621,7640,21066,10510	3,4,1,2,0
sw_rc022	8	21,22,23,24,25,26,27,28	23467,15748,23169,1845,10213,27778,28189,17976	5,6,0,7,3,4,1,2
sw_rc023	7	45,151,166,167,173,175,176	11723,2985,7323,16941,17011,1736,21342	6,0,5,2,1,4,3
sw_rc024	12	19,73,103,123,177,183,215,317,330,365,386,395	10157,1573,15266,29526,27912,7782,6104,27322,22037,14161,28962,12442	9,5,7,6,0,4,1,10,2,11,8,3
sw_rc025	14	19,31,48,95,104,108,120,168,248,284,332,341,378,380	18697,19125,24112,5727,1337,5832,21672,7678,4199,19099,19875,7637,2474,5144	8,6,10,1,0,3,13,2,11,5,12,9,7,4
sw_rc026	6	66,159,196,247,286,312	18881,10298,2590,18826,13895,2047	3,5,4,2,1,0
sw_rc027	7	68,166,167,168,169,185,186	18971,12195,25343,24050,9902,8861,11939	2,5,0,3,4,6,1
sw_rc028	19	10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28	18267,13180,1181,27487,2938,18334,5306,9426,20499,13686,4119,19134,16527,9186,16447,29989,10299,23116,24197	9,2,18,15,0,1,4,14,11,5,6,8,10,7,16,17,3,13,12
sw_rc029	21	7,8,9,10,11,15,16,58,59,60,61,70,99,136,137,143,166,200,201,202,203	19508,26871,28765,26077,24250,11606,15155,25608,13876,16583,4127,22826,23659,3679,24261,16624,15442,9043,10281,22373,11536	10,5,7,19,0,9,13,4,15,18,17,8,12,6,16,1,2,20,14,11,3
sw_rc030	4	170,171,172,173	22065,12282,25665,7584	0,1,3,2
