addr	label	confidence	note
# DISASSEMBLY-DERIVED. Lane wb-select (WB-I), campaign 2 (2026-08-09).
# Image c2.dll sha256 c80981c015166effecc71ad8112d5577a065b2300891dfdb02b9c13787a66258.
# `high` means "the instructions were read correctly", NOT "this is what c2 does" —
# the obj grade is in docs/whitebox/WB_SELECT_FINDINGS.md §6.  `unknown` is respectable.
10c0f882	select-dispatch	high	THE per-operator instruction-selection dispatch: switch on tuple->opcode, base 0x27e, 174 opcodes, 41 distinct arms. Byte index table 0x10c0fbd6, jump table 0x10c0fb32. Every arm below is reached from here
10c04cb9	select-table-install	high	Installs the 13 per-operator opcode tables into DAT_10c6fdac..DAT_10c6fddc; picks the -QVMX128 alternates (0x10c39000/0x10c390d0/0x10c39208/0x10c39270) when DAT_10c2e978 is set
10bd7c10	select-type-index	high	Operand type word (nibble<<12 | size) -> type index 0..25, the column selector for every table. Jump table on the nibble at 0x10bd7cf0; nibble 1 signed int, 2 unsigned int, 3/4 pointer, 5 float, 12 VMX
10c0634b	select-add	high	ADD lowering (tuple 0x2c5/0x327/0x328). Carry-in operand -> adde (7); carry-out -> addc (3); -1 operand -> addme (0xf); otherwise the add table 0x10c39340 by type index
10c064cb	select-sub	high	SUB lowering (tuple 0x2c6/0x329/0x32a). Carry-in -> subfe (0x187); carry-out -> subfc (0x183); constant -> subfic (0x18b) or addi (0xb) with the constant negated; otherwise the sub table 0x10c393a8. Tail attaches an XER[CA] def when (&DAT_10c3afd8)[op] & 0x20
10c067f1	select-mul	high	MUL lowering (tuple 0x2c7). Constant power of two -> FUN_10c06786 (shift); any other constant -> mulli (0x110); otherwise the mul table 0x10c39410. NO shift/add decomposition — obj-confirmed by calib cal_mul6/cal_mul8
10c068ee	select-div	high	DIV lowering (tuple 0x2cd). Signed constant power of two -> srawi (0x147) / sradi (0x143) with an XER[CA] def, then opcode := addze (0x15) — the sign-bias idiom, obj-confirmed by grid cell S5. Anything else falls through to the div table 0x10c39478; NO magic-number multiply at /O1, obj-refuted by cell S6
10c0711d	select-and	high	AND lowering (tuple 0x2ca). A constant operand mints the PSEUDO-op rlandi (0x26e) rather than selecting andi.; a register operand selects and (0x19). Obj-confirmed by cell S7 (clrlwi 3,3,24)
10c0718f	select-or-xor	high	Shared OR/XOR lowering (tuple 0x2cb with (0x11d,0x121); 0x2cc with (0x26a,0x26c)). Immediate opcode iff operand 1 is a constant — NO 16-bit fit test, obj-confirmed by cell S8 (oris+ori for 0x12345)
10c0eb17	select-compare	high	COMPARE lowering (tuple 0x2d4). Immediate table 0x10c394e0 when the constant fits — SIGNED 16-bit for type nibble 1, UNSIGNED 16-bit for nibbles 2/3/4 — else register table 0x10c39548. #1788's mechanism, obj-confirmed by cells S2/S12 and diag (cmpwi from int, cmplwi from unsigned)
10c0b300	select-record-form	high	The record-form / CR-field decision. Requires the compare's RHS to be the constant 0, walks BACKWARDS to the defining instruction, accepts iff (&DAT_10c3afd8)[op] & 0x10 (has a record form; the record form is opcode+1). Accepted -> cr0 (descriptor 0x10c2f088+0x60*0x43), else cr6 (+0x60*0x49). Also promotes addi (0xb) -> addic (0xc)
10c0f1ed	select-convert	high	Convert/widen lowering (tuple 0x2b3), table 0x10b1fd08: extsb / extsh / extsw / mr by type index
10c1b517	select-relational-chooser	high	The value-producing relational (tuple 0x2ea). Runs BOTH expanders in cost-only mode and emits the cheaper; ties go to the cntlzw one. Float -> 0x10c194b8; a zero operand with FUN_10c1b2fa -> 0x10c1a908
10c1ac5c	select-carry-idiom	high	The CARRY expander. UNSIGNED-ONLY: condition codes 3-6 (signed LT/LE/GT/GE) return 500 = impossible. Normalises every unsigned relation to ULE by swapping. Emits [li] / subfc(0x183) or subfic(0x18b) + CA def / lcarry(0x28c) / [rlandi(0x26e) with mask A-B] / [addi(0xb) with B]. Cost = 2 + (bound is a constant) + mask cost + (B != 0). Obj-confirmed by cells S1, S4, S11 and diag's mask ladder
10c1af2d	select-cntlzw-idiom	high	The cntlzw rival. Handles EQ, NE, and LT/GE (each with an extra cntlzw) against a zero RHS. Emits [subf/addi] / [cntlzw] / cntlzw(0x32) / rlandi rot=27 mask=1 (= srwi 5) / [xori 1] / [neg 0x117] / [addi B] / [rlandi log2(A)]. Obj-confirmed by cell S3
10c182b4	select-expand-switch	high	The in-place expansion switch WB-D 4 saw but did not name: switch on the MACHINE opcode (instr[1]-1, range 0x292), byte index 0x10c184a8, jump table 0x10c18460, only 18 arms. Rewrites pseudo-ops and narrowings in situ; 445 of 659 opcodes hit the do-nothing arm
10c1772b	select-rlandi-expand	medium	Expansion-switch arm 13: the rlandi (0x26e/0x26f) expander — turns AND-with-constant into rlwinm, andi. or li+and. THE ONE UNREAD PASS between this lane's reading and a byte-exact lower_expr. Grid cell S11 MISSED on its form and diag.cpp's 7-cell mask ladder bounds it: rlwinm when source and destination coincide, li+and when they do not. The predicate itself is NOT read
10c07803	select-signedness-flip	medium	Value-range query used by 0x10c0eb17; when it succeeds and the constant does not fit the form its own type wants, the comparison's type nibble is REWRITTEN (1 -> 2, else -> 1) to reach an immediate form. Explains WB-D 7.6's unsigned compare of a signed C type. READ, NEVER OBJ-CHECKED by this lane
10b1b260	md-opcode-table	high	The machine-opcode table: 12-byte records {const char *mnemonic; u32 operand_format; u32 attributes}. Index IS c2's machine opcode. 0 = _first, 661 = _last, 662 = illegal; 1..~620 are the real PPC mnemonics in ALPHABETICAL order, 622..660 are c2's pseudo-ops (rlandi, li, lis, mr, not, lea, lal, lau, bdnz, bdz, lcarry, rldtoc, retaddr, deadtmp, DCD, vmr). The Rosetta stone for every arm above
10c3afd8	md-opcode-attrs	high	Byte-wide per-opcode attribute array, same bits as 0x10b1b260+8: 0x01 copy/store, 0x02 memory, 0x04 sign-extending narrow, 0x08 writes CR0, 0x10 HAS a record form (at opcode+1), 0x20 defines XER[CA], 0x40 uses XER[CA]. Read by 0x10c064cb, 0x10c0634b, 0x10c0718f and 0x10c0b300
10b1d190	md-simplified-mnemonics	high	The simplified/extended-mnemonic table, 16-byte records {name, real opcode, fixed operand field, flag}: subi->addi(11), subis->addis(14), subic->addic(12), sub->subf(385), subc->subfc(387), blt/ble/beq...->bc(33) with their BO/BI, cmpw->cmp, cmpwi->cmpi, cmplw->cmpl, cmplwi->cmpli. This is why WB-D's `subc` and this lane's `subfc` are one instruction
