stage neutrality: 386 fixtures, payload=on, flags /O1 /Oi /EHsc /GS- /c
  [1/386] SAME     add3.cpp  hits=71 regions=43 tuples=309
  [2/386] SAME     il_accum4.cpp  hits=125 regions=62 tuples=328
  [3/386] SAME     il_base_member.cpp  hits=105 regions=56 tuples=273
  [4/386] SAME     il_bool_materialization.cpp  hits=90 regions=48 tuples=290
  [5/386] SAME     il_call_args1.cpp  hits=60 regions=32 tuples=166
  [6/386] SAME     il_call_args2.cpp  hits=90 regions=48 tuples=255
  [7/386] SAME     il_call_bound_neg.cpp  hits=30 regions=16 tuples=86
  [8/386] SAME     il_call_multi.cpp  hits=105 regions=56 tuples=353
  [9/386] SAME     il_call_perm.cpp  hits=105 regions=56 tuples=329
  [10/386] SAME     il_call_return.cpp  hits=136 regions=80 tuples=662
  [11/386] SAME     il_call_value.cpp  hits=75 regions=40 tuples=215
  [12/386] SAME     il_convert_scalar.cpp  hits=247 regions=114 tuples=549
  [13/386] SAME     il_deep_chain.cpp  hits=42 regions=21 tuples=125
  [14/386] SAME     il_dllexport_neg.cpp  hits=30 regions=16 tuples=78
  [15/386] SAME     il_drectve_pragma.cpp  hits=14 regions=7 tuples=33
  [16/386] SAME     il_dyninit_static.cpp  hits=15 regions=8 tuples=54
  [17/386] SAME     il_expr_call_value.cpp  hits=105 regions=56 tuples=352
  [18/386] SAME     il_expr_cast.cpp  hits=125 regions=62 tuples=316
  [19/386] SAME     il_expr_deref.cpp  hits=240 regions=128 tuples=624
  [20/386] SAME     il_expr_index.cpp  hits=150 regions=80 tuples=394
  [21/386] SAME     il_expr_load_neg.cpp  hits=255 regions=136 tuples=724
  [22/386] SAME     il_expr_member.cpp  hits=90 regions=48 tuples=234
  [23/386] SAME     il_expr_temp.cpp  hits=45 regions=24 tuples=160
  [24/386] SAME     il_expr_ternary.cpp  hits=86 regions=58 tuples=480
  [25/386] SAME     il_extern_c_name.cpp  hits=28 regions=14 tuples=66
  [26/386] SAME     il_gl_data_symbol.cpp  hits=14 regions=7 tuples=33
  [27/386] SAME     il_gl_record_order.cpp  hits=29 regions=15 tuples=75
  [28/386] SAME     il_gl_sep26.cpp  hits=15 regions=8 tuples=39
  [29/386] SAME     il_intra_tu_call.cpp  hits=28 regions=14 tuples=66
  [30/386] SAME     il_intrinsic_bits.cpp  hits=301 regions=154 tuples=869
  [31/386] SAME     il_intrinsic_byval.cpp  hits=75 regions=40 tuples=335
  [32/386] SAME     il_intrinsic_call.cpp  hits=226 regions=142 tuples=1313
  [33/386] SAME     il_intrinsic_fold.cpp  hits=150 regions=80 tuples=459
  [34/386] SAME     il_intrinsic_layout.cpp  hits=157 regions=101 tuples=847
  [35/386] SAME     il_intrinsic_nullary.cpp  hits=75 regions=40 tuples=188
  [36/386] SAME     il_line_marker.cpp  hits=14 regions=7 tuples=36
  [37/386] SAME     il_param_aggr.cpp  hits=135 regions=72 tuples=351
  [38/386] SAME     il_param_aggr_neg.cpp  hits=60 regions=32 tuples=156
  [39/386] SAME     il_param_poly.cpp  hits=45 regions=24 tuples=117
  [40/386] SAME     il_reassoc.cpp  hits=221 regions=109 tuples=540
  [41/386] SAME     il_repeated_leaf.cpp  hits=85 regions=43 tuples=209
  [42/386] SAME     il_stmt_bare_block.cpp  hits=68 regions=33 tuples=152
  [43/386] SAME     il_stmt_compound_assign.cpp  hits=54 regions=26 tuples=120
  [44/386] SAME     il_stmt_early_return.cpp  hits=50 regions=29 tuples=181
  [45/386] SAME     il_stmt_for.cpp  hits=54 regions=40 tuples=452
  [46/386] SAME     il_stmt_global.cpp  hits=44 regions=23 tuples=127
  [47/386] SAME     il_stmt_if.cpp  hits=60 regions=39 tuples=261
  [48/386] SAME     il_stmt_if_else.cpp  hits=54 regions=40 tuples=324
  [49/386] SAME     il_stmt_local_decl.cpp  hits=36 regions=15 tuples=66
  [50/386] SAME     il_stmt_multi.cpp  hits=15 regions=8 tuples=43
  [51/386] SAME     il_stmt_param_assign.cpp  hits=43 regions=22 tuples=105
  [52/386] SAME     il_stmt_scope.cpp  hits=98 regions=49 tuples=231
  [53/386] SAME     il_stmt_seq.cpp  hits=56 regions=28 tuples=146
  [54/386] SAME     il_stmt_static.cpp  hits=57 regions=29 tuples=162
  [55/386] SAME     il_stmt_while.cpp  hits=38 regions=24 tuples=229
  [56/386] SAME     il_sy_locals.cpp  hits=188 regions=97 tuples=535
  [57/386] SAME     il_sy_locals_clean.cpp  hits=136 regions=66 tuples=308
  [58/386] SAME     il_sy_size_extent.cpp  hits=60 regions=32 tuples=156
  [59/386] SAME     il_this_line70.cpp  hits=30 regions=16 tuples=78
  [60/386] SAME     il_this_straightline.cpp  hits=153 regions=76 tuples=363
  [61/386] SAME     il_type_intlike.cpp  hits=167 regions=83 tuples=406
  [62/386] SAME     il_type_narrow.cpp  hits=146 regions=76 tuples=408
  [63/386] SAME     il_type_pack_neg.cpp  hits=90 regions=48 tuples=275
  [64/386] SAME     il_type_scalars.cpp  hits=192 regions=80 tuples=352
  [65/386] SAME     il_varargs_neg.cpp  hits=82 regions=40 tuples=188
  [66/386] SAME     mvp_add3.cpp  hits=14 regions=7 tuples=36
  [67/386] SAME     mvp_argtail.cpp  hits=15 regions=8 tuples=43
  [68/386] SAME     mvp_call.cpp  hits=15 regions=8 tuples=34
  [69/386] SAME     mvp_call_argframed_plusk.cpp  hits=15 regions=8 tuples=52
  [70/386] SAME     mvp_call_mulmod.cpp  hits=15 regions=8 tuples=50
  [71/386] SAME     mvp_call_plus1plus2.cpp  hits=15 regions=8 tuples=50
  [72/386] SAME     mvp_call_seq.cpp  hits=150 regions=80 tuples=504
  [73/386] SAME     mvp_call_seq_b.cpp  hits=270 regions=144 tuples=1126
  [74/386] SAME     mvp_call_seq_b_neg.cpp  hits=105 regions=56 tuples=447
  [75/386] SAME     mvp_call_seq_neg.cpp  hits=30 regions=16 tuples=106
  [76/386] SAME     mvp_call_submod.cpp  hits=15 regions=8 tuples=50
  [77/386] SAME     mvp_call_then_stmt.cpp  hits=15 regions=8 tuples=52
  [78/386] SAME     mvp_call_twice.cpp  hits=15 regions=8 tuples=46
  [79/386] SAME     mvp_call_two_framed.cpp  hits=15 regions=8 tuples=69
  [80/386] SAME     mvp_call_widemod.cpp  hits=15 regions=8 tuples=54
  [81/386] SAME     mvp_edit_ab.cpp  hits=14 regions=7 tuples=33
  [82/386] SAME     mvp_edit_addk.cpp  hits=14 regions=7 tuples=33
  [83/386] SAME     mvp_edit_addk2.cpp  hits=14 regions=7 tuples=33
  [84/386] NOFIRE   mvp_empty.cpp  hits=0 regions=0 tuples=0
  [85/386] SAME     mvp_fmul3.cpp  hits=15 regions=8 tuples=41
  [86/386] SAME     mvp_framed.cpp  hits=15 regions=8 tuples=50
  [87/386] SAME     mvp_lit.cpp  hits=43 regions=22 tuples=105
  [88/386] SAME     mvp_plus0.cpp  hits=15 regions=8 tuples=41
  [89/386] SAME     mvp_sub.cpp  hits=42 regions=21 tuples=105
  [90/386] SAME     mvp_tailret.cpp  hits=15 regions=8 tuples=41
  [91/386] SAME     mvp_two.cpp  hits=28 regions=14 tuples=72
  [92/386] SAME     mvp_wide.cpp  hits=45 regions=24 tuples=126
  [93/386] SAME     w10_empty_fn.cpp  hits=22 regions=8 tuples=32
  [94/386] SAME     w10_guarded_seq.cpp  hits=276 regions=192 tuples=1570
  [95/386] SAME     w10_guarded_seq_neg.cpp  hits=97 regions=69 tuples=592
  [96/386] SAME     w1199_bind_run.cpp  hits=225 regions=120 tuples=723
  [97/386] SAME     w1199_bind_run_neg.cpp  hits=60 regions=32 tuples=204
  [98/386] SAME     w11_early_return.cpp  hits=437 regions=332 tuples=4323
  [99/386] SAME     w11_early_return_neg.cpp  hits=169 regions=127 tuples=1558
  [100/386] SAME     w1212_bind_run_call.cpp  hits=135 regions=72 tuples=618
  [101/386] SAME     w1274_addr_producer.cpp  hits=71 regions=36 tuples=219
  [102/386] SAME     w12_aggr_type.cpp  hits=60 regions=32 tuples=176
  [103/386] SAME     w12_narrow_getters.cpp  hits=765 regions=408 tuples=2013
  [104/386] SAME     w12_narrow_neg.cpp  hits=257 regions=145 tuples=934
  [105/386] SAME     w12_ptr_leaf.cpp  hits=183 regions=92 tuples=439
  [106/386] SAME     w12_ptr_leaf_neg.cpp  hits=172 regions=95 tuples=569
  [107/386] SAME     w13_fabi.cpp  hits=120 regions=57 tuples=262
  [108/386] SAME     w13_fneg.cpp  hits=282 regions=142 tuples=873
  [109/386] SAME     w13_fops.cpp  hits=168 regions=77 tuples=347
  [110/386] SAME     w13_fparam_neg.cpp  hits=45 regions=24 tuples=117
  [111/386] SAME     w13_freassoc.cpp  hits=174 regions=90 tuples=474
  [112/386] SAME     w13_fscratch.cpp  hits=165 regions=88 tuples=573
  [113/386] SAME     w13b_fconst.cpp  hits=15 regions=8 tuples=45
  [114/386] SAME     w13b_fdedup.cpp  hits=60 regions=32 tuples=180
  [115/386] SAME     w13b_ffold.cpp  hits=66 regions=31 tuples=156
  [116/386] SAME     w13b_fpool.cpp  hits=30 regions=16 tuples=92
  [117/386] SAME     w14_dtor_delegate.cpp  hits=135 regions=72 tuples=315
  [118/386] SAME     w14_dtor_delegate_neg.cpp  hits=83 regions=48 tuples=446
  [119/386] SAME     w15_dtor_member.cpp  hits=150 regions=80 tuples=366
  [120/386] SAME     w16_addr_leaf.cpp  hits=401 regions=198 tuples=930
  [121/386] SAME     w16_addr_leaf_neg.cpp  hits=157 regions=80 tuples=415
  [122/386] SAME     w17_ptr_operand.cpp  hits=336 regions=175 tuples=888
  [123/386] SAME     w17_ptr_operand_neg.cpp  hits=359 regions=184 tuples=981
  [124/386] SAME     w18_reg_move.cpp  hits=505 regions=239 tuples=1101
  [125/386] SAME     w18_reg_move_neg.cpp  hits=217 regions=112 tuples=633
  [126/386] SAME     w19_ctor_this.cpp  hits=201 regions=82 tuples=356
  [127/386] SAME     w19_ctor_this_neg.cpp  hits=120 regions=64 tuples=389
  [128/386] SAME     w20_convert.cpp  hits=595 regions=287 tuples=1369
  [129/386] SAME     w20_convert_neg.cpp  hits=260 regions=127 tuples=649
  [130/386] SAME     w21_census_gate.cpp  hits=130 regions=67 tuples=370
