0x10b626d8  in FUN_10b62675 (size 464, ends 0x10b62845, tu inline.c)  ok
0x10b6276a  in FUN_10b62675 (size 464, ends 0x10b62845, tu inline.c)  ok
0x10b626f4  in FUN_10b62675 (size 464, ends 0x10b62845, tu inline.c)  ok
0x10b626fb  in FUN_10b62675 (size 464, ends 0x10b62845, tu inline.c)  ok
0x10b62708  in FUN_10b62675 (size 464, ends 0x10b62845, tu inline.c)  ok
0x10b5fdfd  in FUN_10b5fcd8 (size 1038, ends 0x10b600e6, tu inline.c)  <-- WRONG: page claims 0x10b5fb5f
0x10b5fe0c  in FUN_10b5fcd8 (size 1038, ends 0x10b600e6, tu inline.c)  <-- WRONG: page claims 0x10b5fb5f
0x10b5fe14  in FUN_10b5fcd8 (size 1038, ends 0x10b600e6, tu inline.c)  <-- WRONG: page claims 0x10b5fb5f
0x10b5fe1e  in FUN_10b5fcd8 (size 1038, ends 0x10b600e6, tu inline.c)  <-- WRONG: page claims 0x10b5fb5f
0x10b5fc7e  in FUN_10b5fb5f (size 377, ends 0x10b5fcd8, tu inline.c)  ok
0x10b5fc84  in FUN_10b5fb5f (size 377, ends 0x10b5fcd8, tu inline.c)  ok
0x10b5fc86  in FUN_10b5fb5f (size 377, ends 0x10b5fcd8, tu inline.c)  ok
0x10b5fc8a  in FUN_10b5fb5f (size 377, ends 0x10b5fcd8, tu inline.c)  ok
0x10b5fc90  in FUN_10b5fb5f (size 377, ends 0x10b5fcd8, tu inline.c)  ok
0x10b5fc92  in FUN_10b5fb5f (size 377, ends 0x10b5fcd8, tu inline.c)  ok
0x10b5fcc1  in FUN_10b5fb5f (size 377, ends 0x10b5fcd8, tu inline.c)  ok
0x10b609ae  in FUN_10b60930 (size 358, ends 0x10b60a96, tu inline.c)  ok
0x10b609bd  in FUN_10b60930 (size 358, ends 0x10b60a96, tu inline.c)  ok
0x10b609d3  in FUN_10b60930 (size 358, ends 0x10b60a96, tu inline.c)  ok
0x10b609ee  in FUN_10b60930 (size 358, ends 0x10b60a96, tu inline.c)  ok
0x10b60a04  in FUN_10b60930 (size 358, ends 0x10b60a96, tu inline.c)  ok
0x10b60a0e  in FUN_10b60930 (size 358, ends 0x10b60a96, tu inline.c)  ok
0x10b6249b  in FUN_10b6242a (size 587, ends 0x10b62675, tu inline.c)  ok
0x10b624a2  in FUN_10b6242a (size 587, ends 0x10b62675, tu inline.c)  ok
0x10b624ae  in FUN_10b6242a (size 587, ends 0x10b62675, tu inline.c)  ok
0x10b5e4d1  in FUN_10b5e4cc (size 101, ends 0x10b5e531, tu inline.c)  ok
0x10b5e4d7  in FUN_10b5e4cc (size 101, ends 0x10b5e531, tu inline.c)  ok
0x10b5e4e8  in FUN_10b5e4cc (size 101, ends 0x10b5e531, tu inline.c)  ok
0x10b600c8  in FUN_10b5fcd8 (size 1038, ends 0x10b600e6, tu inline.c)  ok

RED: 4 address claim(s) failed
