# GRID X — frozen by `gridx.py --freeze`.  Every prediction is
# a function of the CELL SPEC alone: this run compiled no obj,
# captured no IL and took no disassembly.  A moved sha256 at
# --grade is a HARD ERROR, never a re-freeze.
cell	fam	class	ru	cu	domain	H-CHAIN	H-STEP	H-DERIV	H-DEPTH	H-2Z	H-2X	cu<=ru+1	cu<=ru+2	always-prod	clause-1	sha256_src
M1-r1k3	M1	SELF-1B	1	3	in	const	const	const	const	const	const	const	prod	prod	const	e5424096f87efaf1261e40b42e9064c3e0e155f9388aaf94afbfdb5afd31df60
M1-r2k3	M1	SELF-1B	2	3	in	prod	prod	prod	prod	prod	prod	prod	prod	prod	const	87d26e2f0f6911ab1cd0b0afd7daa6bb11a86ea660cf2b9415b5b1d9cac589b7
M1-r2k4	M1	SELF-1B	2	4	in	const	const	const	const	const	const	const	prod	prod	const	ba9d7081575645a1010afdaadd168ec3cb696a519315bf9677f09e169d61e809
M1-r2k5	M1	SELF-1B	2	5	in	const	const	const	const	const	const	const	const	prod	const	377437a893569dea503d7357fbe266e0d2c5da715bf0bfa9bd78175d7b6b6fac
M1-r3k5	M1	SELF-1B	3	5	in	const	const	const	const	const	const	const	prod	prod	const	6d75c7729e3058f214550ff60fcb364836bf2326c9aa32cf7de61ea58b47ef26
M2-r1k3	M2	LOAD	1	3	in	const	const	const	const	const	const	const	prod	prod	const	57fd97b499bae3a2b4934c3625d62e7e379a3283258171a8f4e4c67fec473296
M2-r2k3	M2	LOAD	2	3	in	prod	prod	prod	prod	prod	prod	prod	prod	prod	const	99b6b16e89daa32fe1fecf1c13c114c0d2e5994c3e2e1458d738608e03f8fb95
M2-r2k4	M2	LOAD	2	4	in	const	const	const	const	const	const	const	prod	prod	const	6c104e5af5b1973730b426dbbbe607be5be08078b35fd48cccaff9b2632d0901
M2-r2k5	M2	LOAD	2	5	in	const	const	const	const	const	const	const	const	prod	const	96cbbd67904fc2eabfa1c114a7f3638c655ad4ca0a75af40961983bc3d4daf94
M2-r3k5	M2	LOAD	3	5	in	const	const	const	const	const	const	const	prod	prod	const	8d6679eff9cdceb64bedea12f2ffa0afd6e3a41c08aa9153ccc15205c431abdb
M3-r1k3	M3	SELF-2B	1	3	in	const	const	const	const	const	prod	const	prod	prod	const	17f13159d5ccebce6c5cfcb562678d26fa4c7b2d8457cf0e3b79ba43c9d0aed3
M3-r2k3	M3	SELF-2B	2	3	in	prod	prod	prod	prod	prod	prod	prod	prod	prod	const	0f5cba01f1d8cd94d2369c2f1cabc350805b0ad9b356330c2d0e1883aa810d2c
M3-r2k4	M3	SELF-2B	2	4	in	prod	prod	prod	prod	prod	prod	const	prod	prod	const	ba400125e4694f61844409f856b77a56d045bab20ce143aa4b5e8baddb4a272a
M3-r2k5	M3	SELF-2B	2	5	in	const	const	const	const	const	const	const	const	prod	const	a1acc06de69c39522b3720c608bf97d00314e167a7f05fb4fc22512b24511663
M3-r3k5	M3	SELF-2B	3	5	in	prod	prod	prod	prod	prod	prod	const	prod	prod	const	4ea15060b84fe6b66ba49bd78ab0bdac4b27603bd05af852c18b5aa43f618c01
M4-r1k3	M4	TWOBIND	1	3	in	const	const	const	const	const	prod	const	prod	prod	const	f3a907697f67f8ba5e0c6031347a8dd6d2c2a3aa3cb6107838ba9ef3a9ae7c87
M4-r2k3	M4	TWOBIND	2	3	in	prod	prod	prod	prod	prod	prod	prod	prod	prod	const	11f01e05db29b0b88f33ed7e33e24b4560eb1d9ca5e5aa67dd8edfd4cd7fa9b9
M4-r2k4	M4	TWOBIND	2	4	in	prod	prod	prod	prod	prod	prod	const	prod	prod	const	4881a5298c1798951fbb5bc7d0e8811eb9e9866d305033fb3807f6e44ed5e16e
M4-r2k5	M4	TWOBIND	2	5	in	const	const	const	const	const	const	const	const	prod	const	1286a45122f1dccd5e6e92ddb8ff09d9f6f43e1a8e10a1ed7df84902feaa561b
M4-r3k5	M4	TWOBIND	3	5	in	prod	prod	prod	prod	prod	prod	const	prod	prod	const	368588d9dd4b4096f0da4b386ff86d1c658f99efea2d57ad3dea7f823d967e7d
M5-r1k3	M5	CHAINBIND	1	3	in	const	const	const	const	const	prod	const	prod	prod	const	bdd4bd3736ed41737f182c48ade560499487e40a1e8194b85967c91e55c3ea09
M5-r2k3	M5	CHAINBIND	2	3	in	prod	prod	prod	prod	prod	prod	prod	prod	prod	const	7a9cfabad09880664f262877315d7c77f57a0ae2f25fdcb042487c8e1c468bc4
M5-r2k4	M5	CHAINBIND	2	4	in	const	const	const	const	prod	prod	const	prod	prod	const	42a7238b5311db2de6bd955ab10cdd57bd53e9758facb910699bb40eaf900eab
M5-r2k5	M5	CHAINBIND	2	5	in	const	const	const	const	const	const	const	const	prod	const	cd00ec7383bed225127fab0b9d4f67e08acb99beae0b864217c32420777fd951
M5-r3k5	M5	CHAINBIND	3	5	in	const	const	const	const	prod	prod	const	prod	prod	const	a38df5c52daf224e678e1bf1b9a1b76e970ee6c856785bb4ba4d881d93a70aba
M6-r1k3	M6	DEEP-GP	1	3	in	const	const	const	const	const	prod	const	prod	prod	const	2ad0772a5d4728c250af997316f0aa591b7013bbda3a82273bdb861e51514295
M6-r2k3	M6	DEEP-GP	2	3	in	prod	prod	prod	prod	prod	prod	prod	prod	prod	const	c8ea630c3b369c0af7f2bdfd5c824962da559f6f6657cd0506920e009c285d9c
M6-r2k4	M6	DEEP-GP	2	4	in	const	prod	const	const	prod	prod	const	prod	prod	const	685212d83c48ecbf90483d068f43b78ad136f3125034f6002d2cd67b9ea38f24
M6-r2k5	M6	DEEP-GP	2	5	in	const	const	const	const	const	const	const	const	prod	const	0e9e11afbd493f5703cfe78be88f9249dd1856e93e53180c4796e80464879046
M6-r3k5	M6	DEEP-GP	3	5	in	const	prod	const	const	prod	prod	const	prod	prod	const	6ecc0bb9f072828006da5067af0fcda5bbb06d4f5a690578ea55c4d2b4d13d99
M7-r1k3	M7	DEEP-PARENT	1	3	in	const	const	const	const	const	prod	const	prod	prod	const	5f12d8d9922ca6b41f91ff4825f862e200097f13fb7c6bbe8d7972ecf67df7a6
M7-r2k3	M7	DEEP-PARENT	2	3	in	prod	prod	prod	prod	prod	prod	prod	prod	prod	const	f00e783bf28246f611659d91f53bbc1d9b879e27d6f6e2cd7d908cc077f9c6ab
M7-r2k4	M7	DEEP-PARENT	2	4	in	const	const	const	const	prod	prod	const	prod	prod	const	d0aa2640f3f69f5cfccdc92bd53006e59db5d17b057648251c4399374c480a74
M7-r2k5	M7	DEEP-PARENT	2	5	in	const	const	const	const	const	const	const	const	prod	const	af59750cdf11c5230779155fc64326770bab577fb85f29f8e8a9892210cbfab2
