name	axis	callee	n	mode	gwords	verdict	why	pred	got	gbody
H-wide-n5p0-ret	H-wide	LD1	5	ret	1	HIT		80630004 4e800020	80630004 4e800020	80630004 4e800020
H-wide-n5p0-ar	H-wide	LD1	5	arith	1	HIT		81630004 386bfffc 4e800020	81630004 386bfffc 4e800020	80630004 4e800020
H-wide-n5p4-ret	H-wide	LD1	5	ret	1	HIT		80670004 4e800020	80670004 4e800020	80630004 4e800020
H-wide-n5p4-ar	H-wide	LD1	5	arith	1	HIT		81670004 386bfffc 4e800020	81670004 386bfffc 4e800020	80630004 4e800020
H-wide-n6p0-ret	H-wide	LD1	6	ret	1	HIT		80630004 4e800020	80630004 4e800020	80630004 4e800020
H-wide-n6p0-ar	H-wide	LD1	6	arith	1	HIT		81630004 386bfffc 4e800020	81630004 386bfffc 4e800020	80630004 4e800020
H-wide-n6p5-ret	H-wide	LD1	6	ret	1	HIT		80680004 4e800020	80680004 4e800020	80630004 4e800020
H-wide-n6p5-ar	H-wide	LD1	6	arith	1	HIT		81680004 386bfffc 4e800020	81680004 386bfffc 4e800020	80630004 4e800020
H-wide-n7p0-ret	H-wide	LD1	7	ret	1	HIT		80630004 4e800020	80630004 4e800020	80630004 4e800020
H-wide-n7p0-ar	H-wide	LD1	7	arith	1	HIT		81630004 386bfffc 4e800020	81630004 386bfffc 4e800020	80630004 4e800020
H-wide-n7p6-ret	H-wide	LD1	7	ret	1	HIT		80690004 4e800020	80690004 4e800020	80630004 4e800020
H-wide-n7p6-ar	H-wide	LD1	7	arith	1	HIT		81690004 386bfffc 4e800020	81690004 386bfffc 4e800020	80630004 4e800020
H-wide-n8p0-ret	H-wide	LD1	8	ret	1	HIT		80630004 4e800020	80630004 4e800020	80630004 4e800020
H-wide-n8p0-ar	H-wide	LD1	8	arith	1	HIT		81630004 386bfffc 4e800020	81630004 386bfffc 4e800020	80630004 4e800020
H-wide-n8p7-ret	H-wide	LD1	8	ret	1	HIT		806a0004 4e800020	806a0004 4e800020	80630004 4e800020
H-wide-n8p7-ar	H-wide	LD1	8	arith	1	HIT		816a0004 386bfffc 4e800020	816a0004 386bfffc 4e800020	80630004 4e800020
H-perm-012	H-perm	SUM3	3	ret	2	HIT		7d641850 7c6b2a14 4e800020	7d641850 7c6b2a14 4e800020	7d641850 7c6b2a14 4e800020
