key                                                   bodies    TUs   STEMs  replication
expr-op-0x27                                           22409    801    6390  template collapse 22409->6390 (#2246)
expr-intrinsic-this-adjust                              9268    698    3737  template collapse 9268->3737 (#2246)
expr-intrinsic-base-member-addr                         6465    673    2701  template collapse 6465->2701 (#2246)
expr-call-in-expr-recv-object-then-call-recv-object-more    4750    727       1  template collapse 4750->1 (#2246)
expr-call-in-expr-recv-load-then-bit-and-and-branch-more    4290    711    1328  template collapse 4290->1328 (#2246)
expr-intrinsic-memset                                   3747    497     569  template collapse 3747->569 (#2246)
expr-brfalse                                            3104    552    1313  template collapse 3104->1313 (#2246)
expr-call-in-expr-recv-load-then-intrinsic-call         2865    375     825  template collapse 2865->825 (#2246)
body-cflow-label                                        2831    588    1369  template collapse 2831->1369 (#2246)
expr-cmp-eq                                             2380    516     823  template collapse 2380->823 (#2246)
body-0x9B                                               2212    498     351  template collapse 2212->351 (#2246)
expr-call-in-expr-recv-load-then-call-recv-load-and-deref-load-more    2183    434     788  template collapse 2183->788 (#2246)
expr-intrinsic-0xDF                                     2032    415     499  template collapse 2032->499 (#2246)
expr-brtrue                                             1939    584     894  template collapse 1939->894 (#2246)
return-scope-close-cflow-label                          1815    411      93  template collapse 1815->93 (#2246)
expr-op-0x9B                                            1588    355     122  template collapse 1588->122 (#2246)
expr-call-in-expr-recv-load-whole                       1488    464     266  template collapse 1488->266 (#2246)
expr-call-in-expr-recv-object-then-deref-load-more      1463    583       6  template collapse 1463->6 (#2246)
expr-intrinsic-base-downcast                            1314    325     431  template collapse 1314->431 (#2246)
expr-intrinsic-dynamic-cast                             1233    366     178  template collapse 1233->178 (#2246)
assign-store-type-8643                                  1130    312     146  template collapse 1130->146 (#2246)
body-0x67                                               1044    562     305  template collapse 1044->305 (#2246)
expr-call-in-expr-recv-load-then-off-add-more           1040    375     218  template collapse 1040->218 (#2246)
expr-call-in-expr-op-0x9B                               1033    319     646  template collapse 1033->646 (#2246)
expr-cmp-ne                                             1024    266     528  template collapse 1024->528 (#2246)
