# SAMPLE-B re-frozen BY CONTENT -- board #3045's named fix.
# dc3 stamp: 15a64d92f1975868e55a1c670d312a8e464074c3  dirty: 0
# source list: work/w-inline/sample_b.txt (byte-identical; this file only adds hashes)
# rows: 100  missing: 0
tu	sha256	bytes
src/system/utl/NetCacheMgr_Xbox.cpp	713f5f2875737cc260b8f647d48d2e93aa39df15b24307a22c066116c6135891	1517
src/system/hamobj/HamSong.cpp	61e478b111b36ffd9f6718f5bc5658ca6a05bff8bb6fc701e1dac06c6c79eace	1075
src/system/synth/FxSendPitchShift.cpp	ef44cf28ec5ae365954f3a12f07bf10cf2f39951d393f37396dc1310ce3eb67d	1093
src/lazer/meta_ham/CalibrationPanel.cpp	0cd420dacbc519204e2e749c69f624590a4fc94575442a2748aef9e37a5d9796	4141
src/system/synth_xbox/MeterEffect.cpp	8a07cc40cb21fc6f65dbbbaaa5838043b3f83c1a83c2291b86a12512686b288b	387
src/system/os/AsyncFile.cpp	c33cf994137fedf0583ec2ad4b6c9df2bb95723a66d5752ba0982dd9faa86ff4	8851
src/system/midi/MidiParserMgr.cpp	034354bb3b02bcea4242a1f85e5b8797047eea7fae2d4a7c8e55df9cdf80e626	8421
src/system/synth/SfxMap.cpp	3566a8618e65169c162de0a8ec53d3b77354977741f0a5d4ac4c1605925b0436	801
src/system/char/CharLipSyncDriver.cpp	2343cad3024ea09ea52cb580af562b1e5bc61894ff0f6f1948384edf3de23e08	16627
src/system/rndobj/ScreenMask.cpp	20068269102e28cdee05ba879aa237fa95c29a0aeaaba28ed1336e073be6e74c	3072
src/system/meta/MemcardMgr_Xbox.cpp	d639a34b3d60017cca5fe70bd191f1c760095f79ecb41f7196e5892d918a1c94	13175
src/lazer/meta_ham/ChallengeSort.cpp	0ae718db3121aa43c34da16c455ef7b44df25f2fd8f88505346ea12fc2fe45d7	5299
src/system/net/HttpReqCurl.cpp	733f7ce5bf486c9b0fcea4130df854376afefb74ed5e83fb096037e365f1a77d	5625
src/lazer/meta_ham/PlaylistSortMgr.cpp	06f231807b93ff7d2922a0c99b513c534cc2ad0432442ec5ae1872f5ad046884	18970
src/lazer/meta_ham/CampaignDiffSelectPanel.cpp	ecadd05a0328b083c25f4a38fe7b6d3046d50e42341c795bdb44d54447f5ff46	7474
src/system/rndobj/MeshAnim.cpp	f5f8fd6993782ca11caafa404cd13e4f84a14e1220b9a581dc6f21876a480f84	9069
src/system/gesture/SkeletonViz.cpp	b1766c3114245330478e1d6b5ced912e005288cf874ff6b1b103aaaccb362dce	16480
src/system/os/AppChild.cpp	437486b10c23c12e2f25c9a8b8c88cdd0a56c8de9e485196adddb765bf1074bf	1825
src/system/hamobj/HamLabel.cpp	0176f2139e4c5ebbfde50269ece0039e47eca15187a739119bb0e9ba14051ab3	3274
src/system/flow/FlowWhile.cpp	ee572383d39e1da23b651ba2cc88bd17bd6cb5ba948c6b9fe36b6d0e62cd17e1	7320
src/system/meta/MoviePanel.cpp	ad432bfbb991e5dd61b694d05f039a8fe4933b79410fbc58039ad010cb219d0f	10367
src/system/gesture/SkeletonExtentTracker.cpp	14702e306196c164365546be98f6cc25b20591c0d8849a345076b28d7547ea9f	2701
src/system/rndobj/Font.cpp	9aac310d149453387d255cf97acd82317fc9e608062f5a724aa7dbd5ee2f469a	25332
src/system/meta/SongPreview.cpp	39bdfd3d513fd6ed7566d8cbd6bdabc5cebc9a964508cf8235999d198605e826	10605
src/system/rnddx9/RenderState.cpp	9032738e7c37fe1df65d7ca932230764b4f50bcc73128ffe529f1cd1eccc8131	4451
src/system/synth_xbox/ExternalMic.cpp	59331ba4cdd130787f52e3cb09b36055a315c117a962264c165a0940b0b8d8b6	3483
src/system/meta/StorePurchaser.cpp	3d8bb487baf8c66400dd5486515bc8aa20e367308a8f64e7eeab00a52f893ba4	5226
src/system/rndobj/Tex.cpp	7cde95f0b759d8fb78d41ea0c78f95c251a51708e46c829fb221d77f5ba5f3c9	16880
src/system/synth/OggMap.cpp	7d9a2bbaa0894c04c8a7aae90cb54437a3024853ea2993124ad38d78fe54adf3	810
src/system/utl/Cheats.cpp	dd8d8011c5d8d9418e6795a68f420f5bd42c136d21a415ff76f741eb3366e683	13727
src/lazer/game/SongSequence.cpp	47ada570486a90bb8794ee13a23b7b24ab8a7c9dfc8dc803be9b1d797516bc6e	15980
