scanning .text VA 0x10b01000 raw@0x400 size 0x12ce00 (1232384 bytes) for 16-bit stores at +0x50
candidate byte positions: 197  (patterns tried: 2136)
  0x10b01e63  addb/0 BYTE PTR [esi+0x50] (half 0)
  0x10b01e87  addb/0 BYTE PTR [esi+0x50] (half 0)
  0x10b01ea3  addb/0 BYTE PTR [esi+0x50] (half 0)
  0x10b02083  addb/2 BYTE PTR [ebx+0x50] (half 0)
  0x10b12b0f  addb/2 BYTE PTR [esi+0x51] (half 1)
  0x10b12b2f  addb/2 BYTE PTR [esi+0x51] (half 1)
  0x10b12b47  addb/2 BYTE PTR [esi+0x51] (half 1)
  0x10b12e09  andb/1 BYTE PTR [ecx+0x50] (half 0)
  0x10b12e31  andb/1 BYTE PTR [ecx+0x50] (half 0)
  0x10b1316f  andb/1 BYTE PTR [ecx+0x50] (half 0)
  0x10b1318f  andb/1 BYTE PTR [ecx+0x50] (half 0)
  0x10b15e15  xorb/1 BYTE PTR [eax+0x50] (half 0)
  0x10b1674b  addb/1 BYTE PTR [edi+0x50] (half 0)
  0x10b1675f  addb/1 BYTE PTR [edi+0x50] (half 0)
  0x10b16c91  subb/2 BYTE PTR [eax+0x50] (half 0)
  0x10b16f6f  addb/1 BYTE PTR [edi+0x50] (half 0)
  0x10b1717b  addb/1 BYTE PTR [edi+0x50] (half 0)
  0x10b1750f  addb/1 BYTE PTR [edi+0x50] (half 0)
  0x10b1755f  addb/1 BYTE PTR [edi+0x50] (half 0)
  0x10b175ab  addb/1 BYTE PTR [edi+0x50] (half 0)
  0x10b175e3  addb/1 BYTE PTR [edi+0x50] (half 0)
  0x10b1760f  addb/1 BYTE PTR [edi+0x50] (half 0)
  0x10b1764b  addb/1 BYTE PTR [edi+0x50] (half 0)
  0x10b17683  addb/1 BYTE PTR [edi+0x50] (half 0)
  0x10b176bb  addb/1 BYTE PTR [edi+0x50] (half 0)
  0x10b197ef  addb/0 BYTE PTR [ebp+0x51] (half 1)
  0x10b240db  addb/1 BYTE PTR [ecx+0x50] (half 0)
  0x10b2410c  andb/2 BYTE PTR [esi+0x51] (half 1)
  0x10b37224  addb/6 BYTE PTR [ebp+0x51] (half 1)
  0x10b39d0d  orb/6 BYTE PTR [ebp+0x51] (half 1)
  0x10b3e1ab  orb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b427f9  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10b43f3b  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b43f7d  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b45abe  orb/0 BYTE PTR [eax+0x50] (half 0)
  0x10b45fda  addb/6 BYTE PTR [ebp+0x50] (half 0)
  0x10b46405  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b46882  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b4691d  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b47136  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b47206  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b47bbb  addb/6 BYTE PTR [esi+0x50] (half 0)
  0x10b49ef3  addb/6 BYTE PTR [ebp+0x51] (half 1)
  0x10b4a34d  addb/6 BYTE PTR [ebx+0x51] (half 1)
  0x10b4c946  orb/3 BYTE PTR [eax+0x50] (half 0)
  0x10b4e654  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10b4fab0  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10b509cb  addb/2 BYTE PTR [edx+0x50] (half 0)
