cell	family	n	source_order_marks	reverse_source_marks	ascending_value_marks	descending_value_marks
sw_dense02	dense	2	137,211	211,137	137,211	211,137
sw_dense03	dense	3	137,211,149	149,211,137	137,211,149	149,211,137
sw_dense04	dense	4	137,211,149,307	307,149,211,137	137,211,149,307	307,149,211,137
sw_dense05	dense	5	137,211,149,307,163	163,307,149,211,137	137,211,149,307,163	163,307,149,211,137
sw_dense06	dense	6	137,211,149,307,163,281	281,163,307,149,211,137	137,211,149,307,163,281	281,163,307,149,211,137
sw_dense07	dense	7	137,211,149,307,163,281,199	199,281,163,307,149,211,137	137,211,149,307,163,281,199	199,281,163,307,149,211,137
sw_dense08	dense	8	137,211,149,307,163,281,199,353	353,199,281,163,307,149,211,137	137,211,149,307,163,281,199,353	353,199,281,163,307,149,211,137
sw_dense09	dense	9	137,211,149,307,163,281,199,353,173	173,353,199,281,163,307,149,211,137	137,211,149,307,163,281,199,353,173	173,353,199,281,163,307,149,211,137
sw_dense10	dense	10	137,211,149,307,163,281,199,353,173,269	269,173,353,199,281,163,307,149,211,137	137,211,149,307,163,281,199,353,173,269	269,173,353,199,281,163,307,149,211,137
sw_dense11	dense	11	137,211,149,307,163,281,199,353,173,269,191	191,269,173,353,199,281,163,307,149,211,137	137,211,149,307,163,281,199,353,173,269,191	191,269,173,353,199,281,163,307,149,211,137
sw_dense12	dense	12	137,211,149,307,163,281,199,353,173,269,191,331	331,191,269,173,353,199,281,163,307,149,211,137	137,211,149,307,163,281,199,353,173,269,191,331	331,191,269,173,353,199,281,163,307,149,211,137
sw_dense13	dense	13	137,211,149,307,163,281,199,353,173,269,191,331,157	157,331,191,269,173,353,199,281,163,307,149,211,137	137,211,149,307,163,281,199,353,173,269,191,331,157	157,331,191,269,173,353,199,281,163,307,149,211,137
sw_dense14	dense	14	137,211,149,307,163,281,199,353,173,269,191,331,157,293	293,157,331,191,269,173,353,199,281,163,307,149,211,137	137,211,149,307,163,281,199,353,173,269,191,331,157,293	293,157,331,191,269,173,353,199,281,163,307,149,211,137
sw_dense15	dense	15	137,211,149,307,163,281,199,353,173,269,191,331,157,293,179	179,293,157,331,191,269,173,353,199,281,163,307,149,211,137	137,211,149,307,163,281,199,353,173,269,191,331,157,293,179	179,293,157,331,191,269,173,353,199,281,163,307,149,211,137
sw_dense16	dense	16	137,211,149,307,163,281,199,353,173,269,191,331,157,293,179,317	317,179,293,157,331,191,269,173,353,199,281,163,307,149,211,137	137,211,149,307,163,281,199,353,173,269,191,331,157,293,179,317	317,179,293,157,331,191,269,173,353,199,281,163,307,149,211,137
sw_scram04	scram	4	211,307,149,137	137,149,307,211	137,211,149,307	307,149,211,137
sw_scram05	scram	5	211,307,163,149,137	137,149,163,307,211	137,211,149,307,163	163,307,149,211,137
sw_scram06	scram	6	211,307,281,163,149,137	137,149,163,281,307,211	137,211,149,307,163,281	281,163,307,149,211,137
sw_scram07	scram	7	211,307,281,199,163,149,137	137,149,163,199,281,307,211	137,211,149,307,163,281,199	199,281,163,307,149,211,137
sw_scram08	scram	8	211,307,281,353,199,163,149,137	137,149,163,199,353,281,307,211	137,211,149,307,163,281,199,353	353,199,281,163,307,149,211,137
sw_scram12	scram	12	211,307,281,353,269,331,191,173,199,163,149,137	137,149,163,199,173,191,331,269,353,281,307,211	137,211,149,307,163,281,199,353,173,269,191,331	331,191,269,173,353,199,281,163,307,149,211,137
sw_scram13	scram	13	211,307,281,353,269,331,157,191,173,199,163,149,137	137,149,163,199,173,191,157,331,269,353,281,307,211	137,211,149,307,163,281,199,353,173,269,191,331,157	157,331,191,269,173,353,199,281,163,307,149,211,137
sw_scram16	scram	16	211,307,281,353,269,331,293,317,179,157,191,173,199,163,149,137	137,149,163,199,173,191,157,179,317,293,331,269,353,281,307,211	137,211,149,307,163,281,199,353,173,269,191,331,157,293,179,317	317,179,293,157,331,191,269,173,353,199,281,163,307,149,211,137
sw_sparse04	sparse	4	137,211,149,307	307,149,211,137	137,211,149,307	307,149,211,137
sw_sparse06	sparse	6	137,211,149,307,163,281	281,163,307,149,211,137	137,211,149,307,163,281	281,163,307,149,211,137
sw_sparse08	sparse	8	137,211,149,307,163,281,199,353	353,199,281,163,307,149,211,137	137,211,149,307,163,281,199,353	353,199,281,163,307,149,211,137
sw_sparse12	sparse	12	137,211,149,307,163,281,199,353,173,269,191,331	331,191,269,173,353,199,281,163,307,149,211,137	137,211,149,307,163,281,199,353,173,269,191,331	331,191,269,173,353,199,281,163,307,149,211,137
sw_spscram06	spscram	6	211,307,281,163,149,137	137,149,163,281,307,211	137,211,149,307,163,281	281,163,307,149,211,137
sw_spscram12	spscram	12	211,307,281,353,269,331,191,173,199,163,149,137	137,149,163,199,173,191,331,269,353,281,307,211	137,211,149,307,163,281,199,353,173,269,191,331	331,191,269,173,353,199,281,163,307,149,211,137
