probe              mode          base  stride  extra  minted  a0/P/a1/a2
ctl-plain          workload-O1      5       5      0       5  2568/2573/2578/2583
ctl-plain          workload-Ox      4       4      0       3  2556/2560/2564/2568
ctl-leaf           workload-O1      5       1      -       -  2566/None/2572/2577
ctl-leaf           workload-Ox      4       1      -       -  2554/None/2559/2563
ctl-leaf-for       workload-O1      5       3      -       -  2571/None/2579/2584
ctl-leaf-for       workload-Ox      4       9      -       -  2559/None/2572/2576
x-ctor             workload-O1      5       1      -       -  2598/None/2604/2609
x-ctor             workload-Ox      4       1      -       -  2586/None/2591/2595
x-setkey           workload-O1      5       2      -       -  2599/None/2606/2611
x-setkey           workload-Ox      4       2      -       -  2587/None/2593/2597
x-setnonce         workload-O1      5       1      -       -  2600/None/2606/2611
x-setnonce         workload-Ox      4       1      -       -  2588/None/2593/2597
x-encipher         workload-O1      5       3      -       -  2609/None/2617/2622
x-encipher         workload-Ox      4      13      -       -  2597/None/2614/2618
x-encrypt          workload-O1      5       9      4       7  2633/2642/2647/2652
x-encrypt          workload-Ox      4      41     37       5  2628/2669/2673/2677
x-encrypt-alone    workload-O1      5       9      4       7  2613/2622/2627/2632
x-encrypt-alone    workload-Ox      4       8      4       5  2601/2609/2613/2617
