  cell                       clause    predict   why
  ------------------------------------------------------------------------------
  V1-self-mid-r1k1           SELF-1B   prod      value address is a proper prefix of the store address, one store-base token
  V1-self-mid-r3k4           SELF-1B   prod      value address is a proper prefix of the store address, one store-base token
  V1-self-mid-r3k5           SELF-1B   const     value address is a proper prefix of the store address, one store-base token
  V1-self-mid-r2k5           SELF-1B   const     value address is a proper prefix of the store address, one store-base token
  V1-self-mid-r4k2           SELF-1B   prod      value address is a proper prefix of the store address, one store-base token
  V2-self-in1-r1k1           SELF-1B   prod      value address is a proper prefix of the store address, one store-base token
  V2-self-in1-r3k4           SELF-1B   prod      value address is a proper prefix of the store address, one store-base token
  V2-self-in1-r3k5           SELF-1B   const     value address is a proper prefix of the store address, one store-base token
  V2-self-in1-r2k5           SELF-1B   const     value address is a proper prefix of the store address, one store-base token
  V2-self-in1-r4k2           SELF-1B   prod      value address is a proper prefix of the store address, one store-base token
  V3-cross-in2-r1k1          CROSS     const     value address is not a prefix of the store address
  V3-cross-in2-r3k4          CROSS     prod      value address is not a prefix of the store address
  V3-cross-in2-r3k5          CROSS     prod      value address is not a prefix of the store address
  V3-cross-in2-r2k5          CROSS     prod      value address is not a prefix of the store address
  V3-cross-in2-r4k2          CROSS     prod      value address is not a prefix of the store address
  V4-cross-tail-r1k1         CROSS     const     value address is not a prefix of the store address
  V4-cross-tail-r3k4         CROSS     prod      value address is not a prefix of the store address
  V4-cross-tail-r3k5         CROSS     prod      value address is not a prefix of the store address
  V4-cross-tail-r2k5         CROSS     prod      value address is not a prefix of the store address
  V4-cross-tail-r4k2         CROSS     prod      value address is not a prefix of the store address
  V5-otherptr-r1k1           CROSS     const     value address is not a prefix of the store address
  V5-otherptr-r3k4           CROSS     prod      value address is not a prefix of the store address
  V5-otherptr-r3k5           CROSS     prod      value address is not a prefix of the store address
  V5-otherptr-r2k5           CROSS     prod      value address is not a prefix of the store address
  V5-otherptr-r4k2           CROSS     prod      value address is not a prefix of the store address
  V6-bindload-r1k1           LOAD      prod      value is a bare B9 load, no 33..27 offset-add
  V6-bindload-r3k4           LOAD      const     value is a bare B9 load, no 33..27 offset-add
  V6-bindload-r3k5           LOAD      const     value is a bare B9 load, no 33..27 offset-add
  V6-bindload-r2k5           LOAD      const     value is a bare B9 load, no 33..27 offset-add
  V6-bindload-r4k2           LOAD      const     value is a bare B9 load, no 33..27 offset-add
  V7-bindself-r1k1           SELF-2B   prod      value address is a proper prefix of the store address, and the two runs have different store-base tokens
  V7-bindself-r3k4           SELF-2B   prod      value address is a proper prefix of the store address, and the two runs have different store-base tokens
  V7-bindself-r3k5           SELF-2B   prod      value address is a proper prefix of the store address, and the two runs have different store-base tokens
  V7-bindself-r2k5           SELF-2B   prod      value address is a proper prefix of the store address, and the two runs have different store-base tokens
  V7-bindself-r4k2           SELF-2B   prod      value address is a proper prefix of the store address, and the two runs have different store-base tokens
  V8-bindcross-r1k1          CROSS     const     value address is not a prefix of the store address
  V8-bindcross-r3k4          CROSS     prod      value address is not a prefix of the store address
  V8-bindcross-r3k5          CROSS     prod      value address is not a prefix of the store address
  V8-bindcross-r2k5          CROSS     prod      value address is not a prefix of the store address
  V8-bindcross-r4k2          CROSS     prod      value address is not a prefix of the store address
  V9-ptrlocal-r1k1           LOAD      prod      value is a bare B9 load, no 33..27 offset-add
  V9-ptrlocal-r3k4           LOAD      const     value is a bare B9 load, no 33..27 offset-add
  V9-ptrlocal-r3k5           LOAD      const     value is a bare B9 load, no 33..27 offset-add
  V9-ptrlocal-r2k5           LOAD      const     value is a bare B9 load, no 33..27 offset-add
  V9-ptrlocal-r4k2           LOAD      const     value is a bare B9 load, no 33..27 offset-add

  frozen 45 cells | KEY ILX in domain on 45 | out-of-domain 0
  wrote work/w-ilx/holdout_pred.tsv
