mode	sign	op	k	words	shape	full	hex
/O1 /GS- /c	s	div	5	3	li divw blr	li r11,5 ; divw r3,r3,r11 ; blr 	39600005 7c635bd6 4e800020
/O1 /GS- /c	s	mod	5	5	li divw mulli subf blr	li r11,5 ; divw r11,r3,r11 ; mulli r11,r11,5 ; subf r3,r11,r3 ; blr 	39600005 7d635bd6 1d6b0005 7c6b1850 4e800020
/O1 /GS- /c	u	div	5	3	li divwu blr	li r11,5 ; divwu r3,r3,r11 ; blr 	39600005 7c635b96 4e800020
/O1 /GS- /c	u	mod	5	5	li divwu mulli subf blr	li r11,5 ; divwu r11,r3,r11 ; mulli r11,r11,5 ; subf r3,r11,r3 ; blr 	39600005 7d635b96 1d6b0005 7c6b1850 4e800020
/O1 /GS- /c	s	div	-5	3	li divw blr	li r11,-5 ; divw r3,r3,r11 ; blr 	3960fffb 7c635bd6 4e800020
/O1 /GS- /c	s	mod	-5	5	li divw mulli subf blr	li r11,-5 ; divw r11,r3,r11 ; mulli r11,r11,-5 ; subf r3,r11,r3 ; blr 	3960fffb 7d635bd6 1d6bfffb 7c6b1850 4e800020
/O1 /GS- /c	s	div	6	3	li divw blr	li r11,6 ; divw r3,r3,r11 ; blr 	39600006 7c635bd6 4e800020
/O1 /GS- /c	s	mod	6	5	li divw mulli subf blr	li r11,6 ; divw r11,r3,r11 ; mulli r11,r11,6 ; subf r3,r11,r3 ; blr 	39600006 7d635bd6 1d6b0006 7c6b1850 4e800020
/O1 /GS- /c	u	div	6	3	li divwu blr	li r11,6 ; divwu r3,r3,r11 ; blr 	39600006 7c635b96 4e800020
/O1 /GS- /c	u	mod	6	5	li divwu mulli subf blr	li r11,6 ; divwu r11,r3,r11 ; mulli r11,r11,6 ; subf r3,r11,r3 ; blr 	39600006 7d635b96 1d6b0006 7c6b1850 4e800020
/O1 /GS- /c	s	div	9	3	li divw blr	li r11,9 ; divw r3,r3,r11 ; blr 	39600009 7c635bd6 4e800020
/O1 /GS- /c	s	mod	9	5	li divw mulli subf blr	li r11,9 ; divw r11,r3,r11 ; mulli r11,r11,9 ; subf r3,r11,r3 ; blr 	39600009 7d635bd6 1d6b0009 7c6b1850 4e800020
/O1 /GS- /c	u	div	9	3	li divwu blr	li r11,9 ; divwu r3,r3,r11 ; blr 	39600009 7c635b96 4e800020
/O1 /GS- /c	u	mod	9	5	li divwu mulli subf blr	li r11,9 ; divwu r11,r3,r11 ; mulli r11,r11,9 ; subf r3,r11,r3 ; blr 	39600009 7d635b96 1d6b0009 7c6b1850 4e800020
/O1 /GS- /c	s	div	-9	3	li divw blr	li r11,-9 ; divw r3,r3,r11 ; blr 	3960fff7 7c635bd6 4e800020
/O1 /GS- /c	s	mod	-9	5	li divw mulli subf blr	li r11,-9 ; divw r11,r3,r11 ; mulli r11,r11,-9 ; subf r3,r11,r3 ; blr 	3960fff7 7d635bd6 1d6bfff7 7c6b1850 4e800020
/O1 /GS- /c	s	div	12	3	li divw blr	li r11,12 ; divw r3,r3,r11 ; blr 	3960000c 7c635bd6 4e800020
/O1 /GS- /c	s	mod	12	5	li divw mulli subf blr	li r11,12 ; divw r11,r3,r11 ; mulli r11,r11,12 ; subf r3,r11,r3 ; blr 	3960000c 7d635bd6 1d6b000c 7c6b1850 4e800020
/O1 /GS- /c	u	div	12	3	li divwu blr	li r11,12 ; divwu r3,r3,r11 ; blr 	3960000c 7c635b96 4e800020
/O1 /GS- /c	u	mod	12	5	li divwu mulli subf blr	li r11,12 ; divwu r11,r3,r11 ; mulli r11,r11,12 ; subf r3,r11,r3 ; blr 	3960000c 7d635b96 1d6b000c 7c6b1850 4e800020
/O1 /GS- /c	s	div	20	3	li divw blr	li r11,20 ; divw r3,r3,r11 ; blr 	39600014 7c635bd6 4e800020
/O1 /GS- /c	s	mod	20	5	li divw mulli subf blr	li r11,20 ; divw r11,r3,r11 ; mulli r11,r11,20 ; subf r3,r11,r3 ; blr 	39600014 7d635bd6 1d6b0014 7c6b1850 4e800020
