# virtual-slot false positives, strict+local attribution, dc3 9ad5c4c8, 850 TUs
# tu_count	decorated_name
67	??_GNode@?$ObjPtrVec@VRndTransformable@@VObjectDir@@@@UAAPAXI@Z
18	?Cached@BinStream@@UBA_NXZ
16	?DrawShowing@RndDrawable@@UAAXXZ
15	??_GFile@@UAAPAXI@Z
15	?ClassName@FlowNode@@UBA?AVSymbol@@XZ
13	?ClassName@Object@Hmx@@UBA?AVSymbol@@XZ
12	??_GNode@?$ObjPtrList@VFlowNode@@VObjectDir@@@@UAAPAXI@Z
12	?WriteDone@File@@UAA_NAAH@Z
9	?DrawRect@Rnd@@UAAXABVRect@Hmx@@ABVColor@3@PAVRndMat@@PBV43@3@Z
8	?GetWork@RndShaderMgr@@UAAPAVRndMat@@XZ
7	?AsSymbolKeys@PropKeys@@UAAPAV?$Keys@VSymbol@@V1@@@XZ
7	?FinishDrawTarget@RndTex@@UAAXXZ
7	?MakeDrawTarget@RndTex@@UAAXXZ
6	??_G?$ObjPtr@VUIColor@@@@UAAPAXI@Z
6	?DataSymbol@UIListProvider@@UBA?AVSymbol@@H@Z
6	?StartFrame@RndAnimatable@@UAAMXZ
6	?TexelsLock@RndTex@@UAA_NAAPAX@Z
6	?TexelsUnlock@RndTex@@UAAXXZ
5	??_GStream@@UAAPAXI@Z
5	?GetSongStream@HamAudio@@UAAPAVStream@@XZ
5	?GetTempoMap@HamSongData@@UBAPAVTempoMap@@XZ
5	?MakeWorldSphere@RndDrawable@@UAA_NAAVSphere@@_N@Z
5	?ProxyFile@ObjectDir@@UAAABVFilePath@@XZ
4	??_GMemStream@@UAAPAXI@Z
4	?EndFrame@RndAnimatable@@UAAMXZ
4	?IsCustom@Playlist@@UBA_NXZ
4	?MountContent@ContentMgr@@UAA_NVSymbol@@@Z
4	?StartRefresh@ContentMgr@@UAAXXZ
3	??_GNetworkSocket@@UAAPAXI@Z
3	??_GNode@?$ObjPtrList@VRndDrawable@@VObjectDir@@@@UAAPAXI@Z
3	?GetDistanceToPlane@RndDrawable@@UAAMABVPlane@@AAVVector3@@@Z
3	?GetPlatform@BinStream@@UBA?AW4Platform@@XZ
3	?IsMounted@ContentMgr@@UAA_NVSymbol@@@Z
3	?IsRunning@FlowNode@@UAA_NXZ
3	?NewInst@SynthSample@@UAAPAVSampleInst@@_NHH@Z
3	?NumKeys@PropKeys@@UAAHXZ
3	?RefOwner@ObjRef@@UBAPAVObject@Hmx@@XZ
3	?Tell@BufStream@@UAAHXZ
3	?UnSet@DOFProc@@UAAXXZ
3	?UnlockBitmap@RndTex@@UAAXXZ
2	??_GArchiveSkeleton@@UAAPAXI@Z
2	??_GMic@@UAAPAXI@Z
2	??_GRndMultiMesh@@UAAPAXI@Z
2	??_GRndShaderBuffer@@UAAPAXI@Z
2	??_GUILabel@@UAAPAXI@Z
2	?AdjustTransSelected@UIList@@UAAXAAVTransform@@@Z
2	?ClassName@ObjectDir@@UBA?AVSymbol@@XZ
2	?ClassName@RndFontBase@@UBA?AVSymbol@@XZ
2	?Clear@NgRnd@@UAAXIABVColor@Hmx@@@Z
2	?DataDir@ObjectDir@@UAAPAV1@XZ
2	?DataIndex@UIListProvider@@UBAHVSymbol@@@Z
2	?DrawFacesInRange@RndMesh@@UAAXHH@Z
2	?ElapsedMs@DancerSkeleton@@UBAHXZ
2	?Execute@FlowNode@@UAAXW4QueueState@1@@Z
2	?FontUnit@RndFontBase@@UBAMXZ
2	?FrameFromIndex@PropKeys@@UAA_NHAAM@Z
2	?GetBeatMap@HamSongData@@UBAPAVBeatMap@@XZ
2	?GetOnlineID@Playlist@@UAAHXZ
2	?GetToken@NavListHeaderNode@@UBA?AVSymbol@@XZ
2	?GetToken@NavListShortcutNode@@UBA?AVSymbol@@XZ
2	?GetType@Accomplishment@@UBA?AW4AccomplishmentType@@XZ
2	?HasPendingVoices@Synth@@UAA_NXZ
2	?IsAuthenticated@DingoServer@@UAA_NXZ
2	?IsConnected@CameraInput@@UBA_NXZ
2	?IsLoaded@HamMaster@@UAA_NXZ
2	?LengthMs@SynthSample@@UBAMXZ
2	?Mat@RndFontBase@@UBAPAVRndMat@@XZ
2	?NeedsEnum@XboxPurchaser@@UBA_NXZ
2	?Poll@DingoServer@@UAAXXZ
2	?Poll@RndPollable@@UAAXXZ
2	?Poll@XboxPurchaser@@UAAXXZ
2	?Set@DOFProc@@UAAXPBVRndCam@@MMMM@Z
2	?SetClearColor@Rnd@@UAAXABVColor@Hmx@@@Z
2	?SetColor@RndLight@@UAAXABVColor@Hmx@@@Z
2	?SetContent@HttpReq@@UAAXPBD@Z
2	?SetContentLength@HttpReq@@UAAXI@Z
2	?SetFXSend@Stream@@UAAXHPAVFxSend@@@Z
2	?SetName@ObjectDir@@UAAXPBDPAV1@@Z
2	?SetStartProgress@SampleInst@@UAAXM@Z
2	?SetWeight@CharWeightable@@UAAXM@Z
2	?TexelsPitch@RndTex@@UBAIXZ
1	??_GCacheID@@UAAPAXI@Z
1	??_GDepthBuffer@@UAAPAXI@Z
1	??_GDetectionVolume@@UAAPAXI@Z
1	??_GDirectionGestureFilter@@UAAPAXI@Z
1	??_GErrorNode@@UAAPAXI@Z
1	??_GFreeCamera@@UAAPAXI@Z
1	??_GHamListRibbon@@UAAPAXI@Z
1	??_GHamPlayerData@@UAAPAXI@Z
1	??_GHamScrollSpeedIndicator@@UAAPAXI@Z
1	??_GHandHeightGestureFilter@@UAAPAXI@Z
1	??_GHxMaster@@UAAPAXI@Z
1	??_GHxSongData@@UAAPAXI@Z
1	??_GMCContainer@@UAAPAXI@Z
1	??_GMCFile@@UAAPAXI@Z
1	??_GMemcardAction@@UAAPAXI@Z
1	??_GMovieImpl@@UAAPAXI@Z
1	??_GNavListItemNode@@UAAPAXI@Z
1	??_GNavListItemSortCmp@@UAAPAXI@Z
1	??_GNavListSort@@UAAPAXI@Z
1	??_GNode@?$ObjPtrList@VEventTrigger@@VObjectDir@@@@UAAPAXI@Z
1	??_GNode@?$ObjPtrList@VObject@Hmx@@VObjectDir@@@@UAAPAXI@Z
1	??_GNode@?$ObjPtrList@VRndFontBase@@VObjectDir@@@@UAAPAXI@Z
1	??_GNode@?$ObjPtrList@VRndLight@@VObjectDir@@@@UAAPAXI@Z
1	??_GNode@?$ObjPtrList@VRndMat@@VObjectDir@@@@UAAPAXI@Z
1	??_GNode@?$ObjPtrList@VRndPartLauncher@@VObjectDir@@@@UAAPAXI@Z
1	??_GNode@?$ObjPtrList@VSequence@@VObjectDir@@@@UAAPAXI@Z
1	??_GNode@?$ObjPtrList@VTask@@VObjectDir@@@@UAAPAXI@Z
1	??_GNode@?$ObjPtrVec@VObject@Hmx@@VObjectDir@@@@UAAPAXI@Z
1	??_GNode@?$ObjPtrVec@VRndEnviron@@VObjectDir@@@@UAAPAXI@Z
1	??_GPoseFatalities@@UAAPAXI@Z
1	??_GRndLine@@UAAPAXI@Z
1	??_GRndOcclusionQueryMgr@@UAAPAXI@Z
1	??_GRndShaderProgram@@UAAPAXI@Z
1	??_GSongInfo@@UAAPAXI@Z
1	??_GSongStatusMgr@@UAAPAXI@Z
1	??_GStorePurchaser@@UAAPAXI@Z
1	??_GStreamReader@@UAAPAXI@Z
1	??_GTempoMap@@UAAPAXI@Z
1	??_GTextStream@@UAAPAXI@Z
1	??_GUIComponent@@UAAPAXI@Z
1	??_GUIListSlotElement@@UAAPAXI@Z
1	?AdjustTrans@UIList@@UAAXAAVTransform@@ABUUIListElementDrawState@@@Z
1	?ApplyDirectionalForce@DetectionVolume@@UAAXABVVector3@@@Z
1	?ApplyDirectionalLinearVelocity@DetectionVolume@@UAAXABVVector3@@@Z
1	?ApplyRadialForce@DetectionVolume@@UAAXM@Z
1	?ApplyTangentialForce@DetectionVolume@@UAAXVVector3@@@Z
1	?AspectRatio@RndFont@@UBAMXZ
1	?AspectRatio@RndFontBase@@UBAMXZ
1	?BeginWorld@PostProcessor@@UAAXXZ
1	?BlurDepth@DOFProc@@UAAMXZ
1	?CharAdvance@RndFontBase@@UBA_NGGAAM@Z
1	?CheckOpen@MovieImpl@@UAA_N_N@Z
1	?ClassName@FlowDistance@@UBA?AVSymbol@@XZ
1	?ClassName@RndDir@@UBA?AVSymbol@@XZ
1	?ClassName@RndEnviron@@UBA?AVSymbol@@XZ
1	?ClassName@RndFur@@UBA?AVSymbol@@XZ
1	?ClassName@RndTransformable@@UBA?AVSymbol@@XZ
1	?ClassName@UILabel@@UBA?AVSymbol@@XZ
1	?ClassName@UIList@@UBA?AVSymbol@@XZ
1	?ClassName@UIListWidget@@UBA?AVSymbol@@XZ
1	?ClassName@UIPanel@@UBA?AVSymbol@@XZ
1	?CompleteScroll@UIListWidget@@UAAXABVUIListState@@H@Z
1	?ContentAllMounted@Callback@ContentMgr@@UAAXXZ
1	?ContentAltDirs@Callback@ContentMgr@@UAAPAV?$vector@VString@@V?$StlNodeAlloc@VString@@@stlpmtx_std@@@stlpmtx_std@@XZ
1	?ContentDir@Callback@ContentMgr@@UAAPBDXZ
1	?ContentDiscovered@Callback@ContentMgr@@UAA_NVSymbol@@@Z
