# FROZEN BEFORE THE FIRST cl.exe OF loop_grid.cpp — lane wb-loop (WB-H), 2026-08-08.
# Every rival's per-cell prediction is written down here in advance.  Scored in
# docs/whitebox/WB_LOOP_FINDINGS.md §7.  A cell whose premise fails is scored a
# MISS, not excluded (wb-regalloc §7.4's rule, inherited).
#
# ---------------------------------------------------------------------------
# THE RIVALS FOR THE mtctr/bdnz CHOICE
#
# RC0' (mine, post-calibration): mtctr/bdnz iff ALL of
#   (a) the loop has exactly ONE exit edge;
#   (b) after rotation it is bottom-tested on an INTEGER counter that lur.c
#       normalised to unit stride, with a preheader-computable trip count;
#   (c) NO tuple in the body reads or writes CTR — a bl/bctrl call does (CTR is
#       in a call's clobber set) and so does an already-converted inner bdnz;
#   (d) the induction variable is an integer counter, not a pointer;
#   (e) -QXnobdnz is off.
# RC1: as RC0' but exits do not matter (drop (a)).
# RC2: mtctr only when the trip count is a compile-time constant.
# RC3: mtctr always, for every for-shaped loop; the guard does all the work.
# RC4: a late peephole — mtctr whenever the emitted counter is dead after the
#      loop, decided after selection.
# RC5: mtctr iff there is no call in the body (the one-clause rule).
#
# THE RIVALS FOR THE UPDATE FORM
# RU0' (mine, two parts):
#   RU0'-a ADDRESS FORM: when >=2 arrays are indexed by the SAME affine
#     expression with the SAME byte stride, c2 keeps ONE walking pointer and
#     reaches the others with an X-form access at a preheader-computed base
#     DIFFERENCE (sub base_i, base_walk).
#   RU0'-b UPDATE FOLD: the walker's `addi p,p,S` is folded into its LAST
#     access iff every OTHER use of p in the body is a D-form memory access on
#     p (so it can absorb a +S displacement).  Preheader base is biased by -S.
#     A 1-byte stride keeps an index register instead of a pointer walk
#     (measured in calibration, cal_char).
# RU1: update form for the FIRST array only; others X-form indexed.
# RU2: update form iff the loop has exactly ONE memory reference.
# RU3: never — `lwz 0(p)` + `addi p,4` is the general case.
#
# THE RIVALS FOR THE ZERO-TRIP GUARD
# RG0' (mine): the guard IS the rotated pre-test.  It compares the loop's START
#   expression against its BOUND with the loop's own signedness in cr6 and
#   branches over the whole loop; it is realised as `bclr` when the loop is the
#   function's tail.  Omitted iff the pre-test is a compile-time truth.
# RG1: guard always emitted.
# RG2: the guard is part of the ctr lowering — emitted iff mtctr is chosen.
# RG3n: the guard is always a compare of the trip count against ZERO (`>0`).
#
# Columns: cell / RC0' / RC1 / RC2 / RC3 / RC4 / RC5 / my guard call /
#          my update-form call / my block-order call
# Y = bdnz emitted, N = compare-and-branch.  "in/out" = inner/outer of a nest.
# ---------------------------------------------------------------------------
cell	RC0'	RC1	RC2	RC3	RC4	RC5	guard	uform	blockorder
wbl_a1_ret	N	Y	N	Y	Y	Y	present, signed vs 0, forward	N (control flow splits body)	early-return arm before the loop tail
wbl_a2_goto	N	Y	N	Y	Y	Y	present	N	source order
wbl_a3_inline	Y	Y	N	Y	Y	Y	present	Y (lwzu 4)	single body block
wbl_a4_indcall	N	N	N	Y	Y	N	present	N	frame opened, bctrl in body
wbl_a5_nest_inner_break	out=Y in=N	out=N in=Y	N	Y	Y	Y	both loops guarded	N	inner nest before outer latch
wbl_a6_nest_both	out=N in=Y	out=N in=Y	N	Y	Y	Y	both guarded	N (lwzx, base varies)	inner inside outer
wbl_a7_switch	N if the switch lowers to bctr, else Y; MY CALL: N	N	N	Y	Y	Y	present	N	switch arms reverse source order
wbl_a8_div	Y	Y	N	Y	Y	Y	present	Y (lwzu 4)	single block
wbl_a9_i64	Y	Y	N	Y	Y	Y	present, 64-bit compare	N (int cast index)	single block
wbl_a10_expr	Y	Y	N	Y	Y	Y	present, on n/2+3 vs 0	Y (lwzu 4)	single block
wbl_a11_vol	Y	Y	N	Y	Y	Y	present	Y (lwzu 4)	single block
wbl_a12_while	Y	Y	N	Y	Y	Y	present	Y (lwzu 4)	single block
wbl_a13_fp	Y	Y	N	Y	Y	Y	present	Y (lfsu 4)	single block
wbl_a14_ptriv	N	Y	N	Y	Y	Y	present	Y (lwzu 4)	rotated, test at bottom
wbl_b1_from3	Y	Y	N	Y	Y	Y	RG0': cmpwi cr6,n,3 (NOT vs 0); mtctr gets n-3	Y (lwzu 4, base +12-4)	single block
wbl_b2_constrange	Y	Y	Y	Y	Y	Y	OMITTED (7 trips known); li r,7	Y (lwzu 4)	single block
wbl_b3_dominated	Y	Y	N	Y	Y	Y	PRESENT — c2 does not use the dominating n>0	Y (lwzu 4)	the n<=0 return precedes the loop
wbl_b4_step3	Y	Y	N	Y	Y	Y	present, cmpwi cr6,n,0; trip = (n-1)/3+1 by multiply-high	Y (lwzu 12)	single block
wbl_b5_le	Y	Y	N	Y	Y	Y	RG0': signed compare of n against 0 branching on LT (not on "not GT")	Y (lwzu 4)	single block
wbl_b6_uns1	Y	Y	N	Y	Y	Y	RG0': UNSIGNED compare of n against 1	Y (lwzu 4)	single block
wbl_b7_notail	Y	Y	N	Y	Y	Y	FORWARD branch (bf 25,.+X), NOT bclr	Y (lwzu 4)	post-loop code after the body
wbl_c1_ba	Y	Y	N	Y	Y	Y	present	RU0'-a: N — one walker + lwzx at a base difference	single block
wbl_c2_copy	Y	Y	N	Y	Y	Y	present	RU0'-a: N — same stride, base difference; NOT turned into memcpy	single block
