# GRID Z — frozen by `gridz.py --freeze`.  Every prediction is
# a function of the CELL SPEC alone: this run compiled no obj,
# captured no IL and took no disassembly.  A moved sha256 at
# --grade is a HARD ERROR, never a re-freeze.
cell	fam	class	ru	cu	far	domain	H-2X	H-VADD	H-MIX	cu<=ru+1	cu<=ru+2	always-prod	clause-1	sha256_src
Z1-r1k1	Z1	SELF-1B	1	1	near	in	prod	prod	prod	prod	prod	prod	const	505ab5b70019b7c0cede019677b7fef4691b55b7ddd36916da2886ce6624a065
Z1-r2k3	Z1	SELF-1B	2	3	near	in	prod	prod	prod	prod	prod	prod	const	0df8283d878aa0a4a1ca8965573aeb0e5f8c7daf530e159c263658b0dc68d905
Z1-r3k4	Z1	SELF-1B	3	4	near	in	prod	prod	prod	prod	prod	prod	const	a14bb8512f7a8571a3dbf779ee32fa7297abaedd6a11560fd7b0c9e5f9a9f308
Z1-r1k3	Z1	SELF-1B	1	3	near	in	const	const	const	const	prod	prod	const	927d459934a5ec34c92828e764c09b833e9a311764bccd2a3c71636a3c3697f9
Z1-r2k4	Z1	SELF-1B	2	4	near	in	const	const	const	const	prod	prod	const	19be8ac4cbe36f2adf56d2853ff96fa454073c323b8d6db50615c68d892bd9fc
Z1-r3k5	Z1	SELF-1B	3	5	near	in	const	const	const	const	prod	prod	const	45d84a929f0765e15c11ecbc2beb238c6e43a17d3f21f6a7b903d09000792d9c
Z1-r1k4	Z1	SELF-1B	1	4	near	in	const	const	const	const	const	prod	const	ef94f0f2d521ad20a0265d950b3eac7a98f00b111079c4910aea02e5e40d22f9
Z1-r2k5	Z1	SELF-1B	2	5	near	in	const	const	const	const	const	prod	const	7c4d87bcf24e4a1e38edb152f4a21828b29ffe99b8e6e7455daf9d60dab0ed8c
Z1-r3k6	Z1	SELF-1B	3	6	near	in	const	const	const	const	const	prod	const	b0451a84196fe728bdf1086db16e98b1ad3b8ee465e38bf418936673773f72a6
Z2-r1k1	Z2	LOAD	1	1	near	in	prod	prod	prod	prod	prod	prod	const	5cb829b9cbf8df37eb9d5f803fae17d97fbc709cec48722d4e16c11d25b78b21
