# PHASE 1's TEN CONSTRUCTS -> CENSUS KEYS, with both denominators. Board #3509 / lane w-keymap, 2026-08-25.
#
# NOT A RANKING. Ordered C1..C10 (ROADMAP_SLICING_2026-08-21.md section 5's own order) and, within a
# construct, by key NAME. #3505's rule -- a lane dispatched off a blocked-key size ranking finds the
# ranking was an artifact -- has bound five times. Do not re-sort this file by any count column.
#
# THE TWO DENOMINATORS ARE DIFFERENT INSTRUMENTS AND MUST NEVER BE SUMMED OR COMPARED AS ONE NUMBER:
#
#  cf_mass       ROADMAP_SLICING section 3's published body count. It is
#                `gap-metric cflow-offclass-<reason>-inclass` PLUS `-blocked`, from the DECODE-ONLY
#                control-flow walker (control_flow.rs `Scan::off_class`), over 2,417,794 census slots.
#                It COUNTS BODIES THE PORT ALREADY EMITS: 518,956 of the residue is in class.
#  cf_inclass    the in-class half of cf_mass -- bodies this construct 'covers' that need no work.
#  cf_blocked    the blocked half.
#  bodies        FIRST-BLOCKER count on the CENSUS route (`IlBundle::census_functions`, the 4C 4F 11
#                splitter; key = `FnVerdict::key` = `Block::feature`), of 1,710,066 blocked bodies.
#                NOT a distance and NOT a reach: the port stops at the first refusal by design, so
#                every blocked body reports exactly one key however many it has (#3131).
#  tus           distinct TUs in which the key heads at least one blocked body, of 878.
#  bodies_c1off  the same first-blocker count with `C2RS_OFF_ADD=off`, i.e. with C1 -- the ONE of the
#                ten that has SHIPPED -- de-admitted. See the rung section 6: three of the ten are
#                already in class on the census route, so their shipped head counts are RESIDUE.
#
# TU-DENOMINATED REACH, which is what #3509 was funded to produce:
#   TUs whose ENTIRE blocked-body head-key set lies inside the union of all ten: 0 of 845.
#   Same, per single construct: 0 of 845, for each of the ten.
#   Same, relaxing every byteless :eof/:mid/opt-mode key to free: 0 of 845 shipped, 1 of 845 with C1 off.
#
# corpus  ../dc3-decomp 15a64d92f dirty=False · 878 TU rows · match 25
# scan    c2rs d5b67058a / binary c99dadc9e1fa / wibo wibo 1.2.0-c2rs.1 (Linux x86_64)
# repro   work/w-keymap/keymap.py <scan.jsonl>
#
slice	reason	opcode	off_class_site	cf_mass	cf_inclass	cf_blocked	census_key	bodies	tus	bodies_c1off
C1	off-add	0x27	control_flow.rs:941	697008	273494	423514	call-postop-op-0x27	2	2	2
C1	off-add	0x27	control_flow.rs:941	697008	273494	423514	callseq-postop-op-0x27	1	1	1
C1	off-add	0x27	control_flow.rs:941	697008	273494	423514	expr-op-0x27	0	0	391985
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	call-conv-0x40	4	4	4
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	call-intrinsic-this-adjust	5	3	2
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	expr-intrinsic-0x848	1	1	1
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	expr-intrinsic-0xDD	6	6	6
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	expr-intrinsic-0xDF	12051	616	12051
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	expr-intrinsic-__frsqrte	1	1	1
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	expr-intrinsic-__mftb	5	3	5
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	expr-intrinsic-_abs64	830	830	830
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	expr-intrinsic-abs	830	830	830
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	expr-intrinsic-base-downcast	19971	806	19971
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	expr-intrinsic-base-member-addr	112770	832	112768
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	expr-intrinsic-base-upcast	20536	703	20146
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	expr-intrinsic-call	5	5	5
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	expr-intrinsic-dynamic-cast	17693	698	17693
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	expr-intrinsic-fabs	5804	748	5804
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	expr-intrinsic-memcmp	809	808	809
C2	intrinsic	0x40	control_flow.rs:1057	464194	71387	392807	expr-intrinsic-memcpy	3364	721	3364
