== GRID-G: 56 cells ==
   G-DST  38/56
   G-SRC  38/56
   G-MIN  56/56
   G-MAX  20/56

   dst src size  measured   G-DST  G-SRC  G-MIN  G-MAX
   d   c      8  call      inline*  call     call     inline*  [8B]
   d   c     16  call      inline*  call     call     inline*  [8B]
   d   c     20  call      inline*  call     call     inline*  [8B]
   d   c     24  call      inline*  call     call     inline*  [8B]
   d   c     32  call      inline*  call     call     inline*  [8B]
   d   c     40  call      inline*  call     call     inline*  [8B]
   d   c     48  call      call     call     call     call     [8B]
   c   d      8  call      call     inline*  call     inline*  [8B]
   c   d     16  call      call     inline*  call     inline*  [8B]
   c   d     20  call      call     inline*  call     inline*  [8B]
   c   d     24  call      call     inline*  call     inline*  [8B]
   c   d     32  call      call     inline*  call     inline*  [8B]
   c   d     40  call      call     inline*  call     inline*  [8B]
   c   d     48  call      call     call     call     call     [8B]
   d   i      8  inline    inline   inline   inline   inline   [20B]
   d   i     16  inline    inline   inline   inline   inline   [36B]
   d   i     20  inline    inline   inline   inline   inline   [32B]
   d   i     24  call      inline*  call     call     inline*  [8B]
   d   i     32  call      inline*  call     call     inline*  [8B]
   d   i     40  call      inline*  call     call     inline*  [8B]
   d   i     48  call      call     call     call     call     [8B]
   i   d      8  inline    inline   inline   inline   inline   [20B]
   i   d     16  inline    inline   inline   inline   inline   [36B]
   i   d     20  inline    inline   inline   inline   inline   [32B]
   i   d     24  call      call     inline*  call     inline*  [8B]
   i   d     32  call      call     inline*  call     inline*  [8B]
   i   d     40  call      call     inline*  call     inline*  [8B]
   i   d     48  call      call     call     call     call     [8B]
   i   c      8  call      inline*  call     call     inline*  [8B]
   i   c     16  call      inline*  call     call     inline*  [8B]
   i   c     20  call      inline*  call     call     inline*  [8B]
   i   c     24  call      call     call     call     call     [8B]
   i   c     32  call      call     call     call     call     [8B]
   i   c     40  call      call     call     call     call     [8B]
   i   c     48  call      call     call     call     call     [8B]
   c   i      8  call      call     inline*  call     inline*  [8B]
   c   i     16  call      call     inline*  call     inline*  [8B]
   c   i     20  call      call     inline*  call     inline*  [8B]
   c   i     24  call      call     call     call     call     [8B]
   c   i     32  call      call     call     call     call     [8B]
   c   i     40  call      call     call     call     call     [8B]
   c   i     48  call      call     call     call     call     [8B]
   a32 c      8  call      inline*  call     call     inline*  [8B]
   a32 c     16  call      inline*  call     call     inline*  [8B]
   a32 c     20  call      inline*  call     call     inline*  [8B]
   a32 c     24  call      inline*  call     call     inline*  [8B]
   a32 c     32  call      inline*  call     call     inline*  [8B]
   a32 c     40  call      inline*  call     call     inline*  [8B]
   a32 c     48  call      call     call     call     call     [8B]
   c   a32    8  call      call     inline*  call     inline*  [8B]
   c   a32   16  call      call     inline*  call     inline*  [8B]
   c   a32   20  call      call     inline*  call     inline*  [8B]
   c   a32   24  call      call     inline*  call     inline*  [8B]
   c   a32   32  call      call     inline*  call     inline*  [8B]
   c   a32   40  call      call     inline*  call     inline*  [8B]
   c   a32   48  call      call     call     call     call     [8B]

   * = this rival is WRONG on that cell
