# n_class	n_emitted	src
17	81	src/system/movie/Movie.cpp
12	139	src/system/os/ContentMgr.cpp
10	399	src/system/obj/DirLoader.cpp
9	258	src/system/rndobj/Shader.cpp
9	1284	src/system/rndobj/Text.cpp
9	599	src/system/ui/UIListDir.cpp
8	1511	src/system/hamobj/HamDirector.cpp
8	1296	src/system/rndobj/PropAnim.cpp
7	310	src/system/os/ContentMgr_Xbox.cpp
7	195	src/system/rndobj/Lit_NG.cpp
7	866	src/system/rndobj/Rnd.cpp
7	238	src/system/ui/UIListSlot.cpp
7	282	src/system/world/PhysicsVolume.cpp
6	411	src/lazer/game/Game.cpp
6	529	src/lazer/meta_ham/PlaylistSortMgr.cpp
6	320	src/system/gesture/StreamRenderer.cpp
6	823	src/system/hamobj/HamNavList.cpp
6	380	src/system/moviebink/BinkMovieImpl.cpp
6	415	src/system/ui/UITrigger.cpp
6	950	src/system/world/Dir.cpp
6	106	src/system/world/FreeCamera.cpp
5	195	src/lazer/meta_ham/SaveLoadManager.cpp
5	271	src/system/flow/FlowAnimate.cpp
5	567	src/system/gesture/DepthBuffer3D.cpp
5	114	src/system/net/DingoJob.cpp
5	440	src/system/rndobj/TexBlender.cpp
5	514	src/system/synth/StandardStream.cpp
5	133	src/system/ui/UIListState.cpp
4	409	src/lazer/game/GamePanel.cpp
4	137	src/lazer/meta_ham/LoadingPanel.cpp
4	441	src/system/gesture/LiveCameraInput.cpp
4	327	src/system/gesture/SkeletonViz.cpp
4	273	src/system/hamobj/HamAudio.cpp
4	179	src/system/hamobj/HamSongData.cpp
4	1139	src/system/hamobj/MoveDir.cpp
4	228	src/system/midi/MidiReader.cpp
4	222	src/system/obj/TypeProps.cpp
4	412	src/system/obj/Utl.cpp
4	137	src/system/os/HDCache.cpp
4	772	src/system/rndobj/Dir.cpp
4	160	src/system/ui/UIListProvider.cpp
4	233	src/system/ui/UIListSubList.cpp
4	1174	src/system/world/CameraShot.cpp
3	261	src/lazer/meta_ham/AppLabel.cpp
3	228	src/lazer/meta_ham/NavListSort.cpp
3	386	src/lazer/meta_ham/NavListSortMgr.cpp
3	296	src/lazer/meta_ham/ProfileMgr.cpp
3	467	src/system/char/CharClipSet.cpp
3	789	src/system/flow/Flow.cpp
3	317	src/system/flow/FlowSetProperty.cpp
3	283	src/system/flow/FlowSlider.cpp
3	206	src/system/flow/FlowTimer.cpp
3	97	src/system/gesture/DrawUtl.cpp
3	246	src/system/gesture/SkeletonUpdate.cpp
3	260	src/system/hamobj/HamMaster.cpp
3	305	src/system/hamobj/MeterDisplay.cpp
3	171	src/system/meta/CreditsPanel.cpp
3	442	src/system/meta/StorePanel.cpp
3	252	src/system/movie/TexMovie.cpp
3	132	src/system/net/WebSvcMgrCurl.cpp
3	154	src/system/net/WebSvcReq.cpp
3	313	src/system/obj/Object.cpp
3	117	src/system/rndobj/DOFProc_NG.cpp
3	1303	src/system/rndobj/Mesh.cpp
3	201	src/system/rndobj/PostProc_NG.cpp
3	111	src/system/rndobj/SoftParticleBuffer.cpp
3	454	src/system/rndobj/TexRenderer.cpp
3	1441	src/system/rndobj/Utl.cpp
3	764	src/system/synth/Synth.cpp
3	428	src/system/ui/UIFontImporter.cpp
3	486	src/system/ui/UILabelDir.cpp
3	216	src/system/ui/UIListCustom.cpp
3	236	src/system/ui/UIListLabel.cpp
3	304	src/system/ui/UIScreen.cpp
3	674	src/system/world/CameraManager.cpp
3	781	src/system/world/Spotlight.cpp
2	979	src/lazer/meta_ham/AccomplishmentManager.cpp
2	536	src/lazer/meta_ham/HamStorePanel.cpp
2	188	src/lazer/meta_ham/KinectSharePanel.cpp
2	444	src/lazer/meta_ham/MainMenuPanel.cpp
2	159	src/lazer/meta_ham/OptionsPanel.cpp
2	107	src/lazer/meta_ham/PlaylistSortByTypeCmp.cpp
2	222	src/lazer/meta_ham/ShellInput.cpp
2	195	src/lazer/meta_ham/SongSelectPlaylistPanel.cpp
2	282	src/lazer/meta_ham/SongSort.cpp
2	183	src/lazer/meta_ham/SongSortNode.cpp
2	299	src/lazer/meta_ham/VoiceControlPanel.cpp
2	135	src/lazer/net_ham/PartyModeJobs.cpp
2	298	src/system/char/CharBonesSamples.cpp
2	133	src/system/char/CharClipDriver.cpp
2	147	src/system/flow/FlowDistance.cpp
2	416	src/system/flow/FlowManager.cpp
2	106	src/system/flow/FlowOnStop.cpp
2	187	src/system/flow/FlowQueueable.cpp
2	151	src/system/flow/FlowSequence.cpp
2	204	src/system/flow/FlowSound.cpp
2	127	src/system/flow/FlowSwitch.cpp
2	250	src/system/flow/FlowSwitchCase.cpp
2	159	src/system/flow/FlowWhile.cpp
2	505	src/system/gesture/StreamRecorder.cpp
2	313	src/system/hamobj/CharFeedback.cpp
2	408	src/system/hamobj/FreestyleMoveRecorder.cpp
2	647	src/system/hamobj/HamListRibbon.cpp
2	397	src/system/hamobj/HamRibbon.cpp
2	839	src/system/hamobj/MoveMgr.cpp
2	318	src/system/hamobj/PoseFatalities.cpp
2	471	src/system/hamobj/RhythmBattle.cpp
2	359	src/system/hamobj/RhythmBattlePlayer.cpp
2	546	src/system/hamobj/SongLayout.cpp
2	139	src/system/meta/FixedSizeSaveable.cpp
2	227	src/system/meta/MoviePanel.cpp
2	236	src/system/meta/PreloadPanel.cpp
2	167	src/system/meta/SongPreview.cpp
2	164	src/system/net/WebSvcMgr.cpp
2	953	src/system/obj/Dir.cpp
2	37	src/system/os/HolmesKeyboard.cpp
2	29	src/system/os/Memcard.cpp
2	233	src/system/os/System.cpp
2	124	src/system/rnddx9/Rnd.cpp
2	556	src/system/rnddx9/Rnd_Xbox.cpp
2	209	src/system/rnddx9/ShaderMgr.cpp
2	1068	src/system/rndobj/AmbientOcclusion.cpp
2	270	src/system/rndobj/Flare.cpp
2	713	src/system/rndobj/Font.cpp
2	668	src/system/rndobj/Group.cpp
2	460	src/system/rndobj/Line.cpp
2	299	src/system/rndobj/MotionBlur.cpp
2	540	src/system/rndobj/MultiMesh.cpp
2	149	src/system/rndobj/MultiMeshProxy.cpp
2	346	src/system/rndobj/Ribbon.cpp
2	299	src/system/rndobj/Rnd_NG.cpp
2	226	src/system/rndobj/ScreenMask.cpp
2	154	src/system/rndobj/ShaderMgr.cpp
2	66	src/system/rndobj/ShaderProgram.cpp
2	83	src/system/rndobj/ShadowMap.cpp
2	194	src/system/synth/FxSend.cpp
2	353	src/system/synth/MetaMusic.cpp
2	334	src/system/synth/MidiInstrument.cpp
2	275	src/system/synth/MoggClip.cpp
2	455	src/system/synth/Sfx.cpp
2	13	src/system/synth_xbox/PitchShiftEffect.cpp
2	540	src/system/ui/InlineHelp.cpp
2	183	src/system/ui/Screenshot.cpp
2	559	src/system/ui/UILabel.cpp
2	212	src/system/ui/UIListArrow.cpp
2	187	src/system/ui/UIListHighlight.cpp
2	100	src/system/utl/ChunkStream.cpp
2	466	src/system/utl/Song.cpp
2	1359	src/system/world/Crowd.cpp
2	596	src/system/world/Instance.cpp
2	1770	src/system/world/LightPreset.cpp
2	672	src/system/world/SpotlightDrawer.cpp
2	352	src/system/world/SpotlightDrawer_NG.cpp
1	158	src/App.cpp
1	423	src/lazer/game/BustAMovePanel.cpp
1	112	src/lazer/game/GameMode.cpp
1	305	src/lazer/meta_ham/AppMiniLeaderboardDisplay.cpp
1	100	src/lazer/meta_ham/AppNavProvider.cpp
1	283	src/lazer/meta_ham/CampaignMasterQuestCrewSelectPanel.cpp
1	247	src/lazer/meta_ham/CampaignSongSelectPanel.cpp
1	226	src/lazer/meta_ham/ChallengeResultPanel.cpp
1	263	src/lazer/meta_ham/ChallengeSort.cpp
1	107	src/lazer/meta_ham/ChallengeSortByScore.cpp
1	199	src/lazer/meta_ham/ChallengeSortNode.cpp
1	120	src/lazer/meta_ham/ChooseProfilePanel.cpp
1	188	src/lazer/meta_ham/FitnessCalorieSort.cpp
1	381	src/lazer/meta_ham/HamProfile.cpp
1	926	src/lazer/meta_ham/HamSongMgr.cpp
1	241	src/lazer/meta_ham/HelpBarPanel.cpp
1	343	src/lazer/meta_ham/Leaderboards.cpp
1	147	src/lazer/meta_ham/LetterboxPanel.cpp
1	146	src/lazer/meta_ham/LockedContentPanel.cpp
1	180	src/lazer/meta_ham/MQSongSortByCharacter.cpp
1	324	src/lazer/meta_ham/MQSongSortMgr.cpp
1	157	src/lazer/meta_ham/MQSongSortNode.cpp
1	652	src/lazer/meta_ham/MetaPanel.cpp
1	87	src/lazer/meta_ham/MoveRatingHistory.cpp
1	284	src/lazer/meta_ham/MultiUserGesturePanel.cpp
1	225	src/lazer/meta_ham/NavListNode.cpp
1	199	src/lazer/meta_ham/PlaylistSort.cpp
1	157	src/lazer/meta_ham/PlaylistSortNode.cpp
1	195	src/lazer/meta_ham/SkeletonChooser.cpp
1	137	src/lazer/meta_ham/SkillsAwardList.cpp
1	124	src/lazer/meta_ham/SongSelectPanel.cpp
1	142	src/lazer/meta_ham/SongSelectPlaylistCustomizePanel.cpp
1	224	src/lazer/meta_ham/TexLoadPanel.cpp
1	125	src/lazer/meta_ham/WeightInput.cpp
1	257	src/lazer/net_ham/DataMinerJobs.cpp
