# GRID M — frozen by `gridm.py --freeze`.  Every prediction is a
# function of the CELL SPEC alone: this run compiled no obj and
# took no disassembly.  A moved sha256 at --grade is a HARD
# ERROR, never a re-freeze.
cell	part	ru	cu	base	target	domain	H-MIX	cu<=ru+1	always-prod	clause-1	sha256_src
B-1base-r1k1	B	1	1	1base	self	in	prod	prod	prod	const	a0182c9671a2a066b9d024a9800d14bd62a06c679d147aa1abcdda87e6743d34
B-2base-r1k1	B	1	1	2base	self	in	prod	prod	prod	const	d1c21c2e88acaf90be0270df289b9fb1dc720bf8dae3d6af524be05a534c8ad1
B-1base-r1k2	B	1	2	1base	self	in	prod	prod	prod	const	eae50b76bf32cf2b88e3827422d482b430db92825d1f1d5b304e6bb6d4b17cb8
B-2base-r1k2	B	1	2	2base	self	in	prod	prod	prod	const	5b55fa0979babc0b9c92efd3c73c4a103d8ce65b2f4f4a87b6154356c14d020b
B-1base-r1k3	B	1	3	1base	self	in	const	const	prod	const	e8aa8a15263e2c635736fe4367e1de17a8e2bcd2460b3c52b3adb7ad01b370bb
B-2base-r1k3	B	1	3	2base	self	in	prod	const	prod	const	58c9ed7a6dee6651cb91d174739fa50d60bca8fb674fa640938a4ca90b596b15
B-1base-r1k4	B	1	4	1base	self	in	const	const	prod	const	dbf56d9b76134f524f292fcf3115c2163a6ecee343439aada67480e624338791
B-2base-r1k4	B	1	4	2base	self	in	const	const	prod	const	8b4ea711ac75de5a86451b045746fec59c67e83439393f38af7aaebd2d3c47c3
B-1base-r2k2	B	2	2	1base	self	in	prod	prod	prod	const	2909a45bbbccfef72eecbee688b954c11525a2af51b8595930a714030d2fdf79
B-2base-r2k2	B	2	2	2base	self	in	prod	prod	prod	const	6259b663eb731f424a232d36342f372a0eacdb93ecdf572f0b0e9ccbda709b26
B-1base-r2k3	B	2	3	1base	self	in	prod	prod	prod	const	dcd48754b6f1e0340ae3b2aacc3b9ccd8e576e3f21f34e4d68ed416f3a20806d
B-2base-r2k3	B	2	3	2base	self	in	prod	prod	prod	const	4c5f147676447772ae31e5ff2882e11fdaa00a83327406a557e6431c88ffa625
B-1base-r2k4	B	2	4	1base	self	in	const	const	prod	const	601ed45a3acf6edccf48c2e0c0b9395fc8548aea9acd571b6c65268997837a5e
B-2base-r2k4	B	2	4	2base	self	in	prod	const	prod	const	1450f2bccc559063cd8684bec9c28f65fbbd45fd91abddb0b4a07e218a766534
B-1base-r2k5	B	2	5	1base	self	in	const	const	prod	const	124c4ee238cbdf103073bcfa529b0cb65e41e5f528e37c074257413d1f75ce33
B-2base-r2k5	B	2	5	2base	self	in	const	const	prod	const	b46399e5795148cd8b8f9d26a1b2ee81a689e3fc065fcfae6781478f2c6ec2b0
B-1base-r3k3	B	3	3	1base	self	in	prod	prod	prod	const	3a4bae7fece208b184268dbc01255b0ebdd87018f208e87efecb9d9bd9e489dd
B-2base-r3k3	B	3	3	2base	self	in	prod	prod	prod	const	67f68a2b9b2f224c0df2a06642c3c0f807b9cc0246ca95106dc61c068896b798
B-1base-r3k4	B	3	4	1base	self	in	prod	prod	prod	const	426e77789f90ad84966d03d6a709838e1b2d4225e4b953e72c5901430a01b53b
B-2base-r3k4	B	3	4	2base	self	in	prod	prod	prod	const	23429f63de752ebcba7d93d584a0a159e2137e9089eee38b7d122b6d4bdbdb24
B-1base-r3k5	B	3	5	1base	self	in	const	const	prod	const	4acd3d8d31531ce02e146ab89d8fd9bbd53c9bdb718c42136db82a037d7748fd
B-2base-r3k5	B	3	5	2base	self	in	prod	const	prod	const	d97f16a0c192be6751757e711f3a84715e5e736180d86fb0fe55d46e83b278f1
B-1base-r3k6	B	3	6	1base	self	in	const	const	prod	const	027b54b34cf096e13e8f588fe8f7f65bba5883d65009a2b5d933bfffd277fd3a
B-2base-r3k6	B	3	6	2base	self	in	const	const	prod	const	39eec9e155101352f7bc470416281672429ebf41271f93bafd8184f7d5058e1a
B-1base-r4k4	B	4	4	1base	self	in	prod	prod	prod	const	ef6c32a9f887ee40ccd7b4ec30d714b024b8123f6136ffcd0837212b267aba37
B-2base-r4k4	B	4	4	2base	self	in	prod	prod	prod	const	07d3a7b332e2ca3d414b00941ad4fd31a18bf3838292549fa617814c1e9db92e
B-1base-r4k5	B	4	5	1base	self	in	prod	prod	prod	const	aed5079e9392f3b59d3ee423114dbf4884ec71254ee24e78c679c009788b2418
B-2base-r4k5	B	4	5	2base	self	in	prod	prod	prod	const	7d5eecd665c308e6fa228391bc3ca31e7a6acba93f91a2dc2af35fc2cbc943f6
B-1base-r4k6	B	4	6	1base	self	in	const	const	prod	const	a76fad4f3c3cee506f2afc7f1e6401605c36cff59d7ddeca225bd807dacc4481
B-2base-r4k6	B	4	6	2base	self	in	prod	const	prod	const	ede068deb97f6b2ac846147fde80d3e828b997432f9e9fb8199cce6fa4df9381
B-1base-r4k7	B	4	7	1base	self	in	const	const	prod	const	23c4fc1d9edd42cce8bdb9998bcf2c07023845ccd3bc7bd2a14592f2f989bc4a
B-2base-r4k7	B	4	7	2base	self	in	const	const	prod	const	c8329f590927ad27b1bb146fdea318f64886f2dfcc3c1b1aa42100792766fc31
B-1base-r2k6	B	2	6	1base	self	in	const	const	prod	const	23633834134fffbb3c871497773a96d4a3c0184e61fb58d84e7843ab8ad95592
B-2base-r2k6	B	2	6	2base	self	in	const	const	prod	const	38784501657cdcdb6ebaac36c14e21a2c4113b43ac6bdd61415633c2b7e6b4e4
B-1base-r2k7	B	2	7	1base	self	in	const	const	prod	const	425f2ec7a84c90630296ec95342b0711619f4ed822566412fd3ae9c5f64d21b8
B-2base-r2k7	B	2	7	2base	self	in	const	const	prod	const	3a1219fcc6b040193d1f730d9c1d7dd4507fff8ecfb501fb6623f8ebe9f58fba
B-1base-r2k8	B	2	8	1base	self	in	const	const	prod	const	7349b743aeb8d2017f899ad8ad4c36069cd07fa53bae34c5c549eb891fb30135
B-2base-r2k8	B	2	8	2base	self	in	const	const	prod	const	e8c72d02db9d466923cc62f6a2da3b15437de4b4b39a01cc2ca66f4087f9965e
B-1base-r3k7	B	3	7	1base	self	in	const	const	prod	const	098efbe87167b193285b821e430bf4c89170791d7dbfbb75674a8c80b3e6ffae
B-2base-r3k7	B	3	7	2base	self	in	const	const	prod	const	fd50503143c332daed6755961853d7f40a789f22ba4e0da8eb14abee494203b8
B-1base-r3k8	B	3	8	1base	self	in	const	const	prod	const	8bdb0b95e902b607c91f78e1793b243259fde92d84f5934198f66f010eec9338
B-2base-r3k8	B	3	8	2base	self	in	const	const	prod	const	9ca89bd98681e53420758ddfe57430892137c70a7598e65c28e47ddf58fa2ca9
C-1base-r2k4-selfup	C	2	4	1base	selfup	in	const	const	prod	const	780bf2c84bc3638d4305d436bb5fbf51b2f9bf33bb64c13eecbf06b0c6e19bd9
C-1base-r2k4-cross	C	2	4	1base	cross	CONTROL	-	const	prod	const	624453c1262ce9c37ec5828184ca418b482aa9b17d2278e871bc2dd8761589cc
C-1base-r2k4-otherobj	C	2	4	1base	otherobj	CONTROL	-	const	prod	const	87d6852c959f7962e5035ce25fb34a1cdfa06a3c433bbaaa33a9dcd3d0d8bfd7
C-1base-r2k4-regfirst	C	2	4	1base	self	in	const	const	prod	const	3090813edb4b9aa02dc72720ace16f8cdfb5801a650cf0dddc93a39bfdc23c93
C-1base-r2k4-lit0	C	2	4	1base	self	in	const	const	prod	const	fc8ebbbd2853d13e209c90b4be2972cf223b5dcd2a1c64756f4fcc06120647ac
C-1base-r2k4-far	C	2	4	1base	self	in	const	const	prod	const	96f5946fcbbae68ab6669328957eaef6bbe480148e96c83ad958b5004d5bb0f9
C-1base-r2k4-sig5	C	2	4	1base	self	in	const	const	prod	const	48e78dc5f28d4c2f1fa4a750877519e494384c3e1933f5bf30a8117dc1696cf0
C-2base-r2k4-selfup	C	2	4	2base	selfup	in	prod	const	prod	const	a726ade7d49bd694e36410ba6553b42ffdc0745e7a219a6171cf25b5b10cdca6
C-2base-r2k4-cross	C	2	4	2base	cross	CONTROL	-	const	prod	const	1163c229ec2965408c4e60190ee666bdf3f1d1b4374b2a1e40ca2837120f3b5a
C-2base-r2k4-otherobj	C	2	4	2base	otherobj	CONTROL	-	const	prod	const	ad336d2bc36a71cdd11b1852a0be608e1f0a62305aed094e297337ddfa63b25e
C-2base-r2k4-regfirst	C	2	4	2base	self	in	prod	const	prod	const	d7882bda90329674c758724a806bb8e1d4f0cfa6e4bc81b2fcd851583806ff75
C-2base-r2k4-lit0	C	2	4	2base	self	in	prod	const	prod	const	022304cf12e70da7b49e411244a44418274268acf03c8f9581baba0c6c401eec
C-2base-r2k4-far	C	2	4	2base	self	in	prod	const	prod	const	4bc87a612b0595c26bfcb2df75aa9fc4a2eb42c2ac1213dd51de640e313e4617
C-2base-r2k4-sig5	C	2	4	2base	self	in	prod	const	prod	const	fcd8c12ceb059f8a0c66ab3b657b4881579ea060d0578f821e8cd3a41f46663d
C-1base-r3k5-selfup	C	3	5	1base	selfup	in	const	const	prod	const	4d84a1e267a8be8a9efec73885f99ea1e5acb8bc70adea10738a9e811439bc9b
C-1base-r3k5-cross	C	3	5	1base	cross	CONTROL	-	const	prod	const	5880f42f12ed8ad6e8c357616d1376b75661b6d0114e2888be913536f5d453e1
C-1base-r3k5-otherobj	C	3	5	1base	otherobj	CONTROL	-	const	prod	const	0b5c883ecc3a66c26cc4e49d28cce36b524e7a2338c2217da61738ce97a1c4ae
C-1base-r3k5-regfirst	C	3	5	1base	self	in	const	const	prod	const	a8aef3944efd2d8e7bcc196f9146321f429647ae98eed916a78f62cbbdb7a9df
C-1base-r3k5-lit0	C	3	5	1base	self	in	const	const	prod	const	6034a183929d3e5e439c00a281f02c73b7bf13e1789723a08b4975c33fe16bcc
C-1base-r3k5-far	C	3	5	1base	self	in	const	const	prod	const	6e995663297ce7471d8403939c49e71c46438254732bfc97703e8ef35a4618bd
C-1base-r3k5-sig5	C	3	5	1base	self	in	const	const	prod	const	9a91c11b5c49793f96d0db4579eb34a18a3166b7862b75b9112614e1601c269d
C-2base-r3k5-selfup	C	3	5	2base	selfup	in	prod	const	prod	const	85f51ba25a6ac29fba1a66d4f654036a4080fa669b9fd79a37194064d1a75936
C-2base-r3k5-cross	C	3	5	2base	cross	CONTROL	-	const	prod	const	0737aa79371ca210b1968d2614520481e6411f7b1b74a870aa3cebd0809d950d
C-2base-r3k5-otherobj	C	3	5	2base	otherobj	CONTROL	-	const	prod	const	d1dcb9e74c499e32548071821423d8d5078a2ff534e2f4a08d39f318ac043865
C-2base-r3k5-regfirst	C	3	5	2base	self	in	prod	const	prod	const	7182cc835360f39461d1b97678580c93f738fa0399b6dacbb41c07dd28b99b60
C-2base-r3k5-lit0	C	3	5	2base	self	in	prod	const	prod	const	a7313ff1dfd83aca2a1c9220404dde28cd0710d2d335dc247f865d3e3060c512
C-2base-r3k5-far	C	3	5	2base	self	in	prod	const	prod	const	370124c25cc68217fad42c5c29bc72cbd7e66c673a360353a6d3cf6518cece82
C-2base-r3k5-sig5	C	3	5	2base	self	in	prod	const	prod	const	d3bb064a57d880a19b7ab6525b77e6ae77f61d2348fdbd8b0fd63bbd30c59afd
