  cell                       clause    frozen   obj      
  ----------------------------------------------------------------------
  V1-self-mid-r1k1           SELF-1B   prod     OOR      OOR prod regs 0, const regs 0
  V1-self-mid-r3k4           SELF-1B   prod     OOR      OOR prod regs 0, const regs 1
  V1-self-mid-r3k5           SELF-1B   const    OOR      OOR prod regs 0, const regs 1
  V1-self-mid-r2k5           SELF-1B   const    OOR      OOR prod regs 0, const regs 1
  V1-self-mid-r4k2           SELF-1B   prod     OOR      OOR prod regs 0, const regs 0
  V2-self-in1-r1k1           SELF-1B   prod     OOR      OOR prod regs 0, const regs 0
  V2-self-in1-r3k4           SELF-1B   prod     OOR      OOR prod regs 0, const regs 1
  V2-self-in1-r3k5           SELF-1B   const    OOR      OOR prod regs 0, const regs 1
  V2-self-in1-r2k5           SELF-1B   const    OOR      OOR prod regs 0, const regs 1
  V2-self-in1-r4k2           SELF-1B   prod     OOR      OOR prod regs 0, const regs 0
  V3-cross-in2-r1k1          CROSS     const    OOR      OOR prod regs 0, const regs 0
  V3-cross-in2-r3k4          CROSS     prod     OOR      OOR prod regs 0, const regs 1
  V3-cross-in2-r3k5          CROSS     prod     OOR      OOR prod regs 0, const regs 1
  V3-cross-in2-r2k5          CROSS     prod     OOR      OOR prod regs 0, const regs 1
  V3-cross-in2-r4k2          CROSS     prod     OOR      OOR prod regs 0, const regs 0
  V4-cross-tail-r1k1         CROSS     const    OOR      OOR prod regs 0, const regs 0
  V4-cross-tail-r3k4         CROSS     prod     OOR      OOR prod regs 0, const regs 1
  V4-cross-tail-r3k5         CROSS     prod     OOR      OOR prod regs 0, const regs 1
  V4-cross-tail-r2k5         CROSS     prod     OOR      OOR prod regs 0, const regs 1
  V4-cross-tail-r4k2         CROSS     prod     OOR      OOR prod regs 0, const regs 0
  V5-otherptr-r1k1           CROSS     const    OOR      OOR prod regs 0, const regs 0
  V5-otherptr-r3k4           CROSS     prod     OOR      OOR prod regs 0, const regs 1
  V5-otherptr-r3k5           CROSS     prod     OOR      OOR prod regs 0, const regs 1
  V5-otherptr-r2k5           CROSS     prod     OOR      OOR prod regs 0, const regs 1
  V5-otherptr-r4k2           CROSS     prod     OOR      OOR prod regs 0, const regs 0
  V6-bindload-r1k1           LOAD      prod     OOR      OOR prod regs 0, const regs 0
  V6-bindload-r3k4           LOAD      const    OOR      OOR prod regs 0, const regs 1
  V6-bindload-r3k5           LOAD      const    OOR      OOR prod regs 0, const regs 1
  V6-bindload-r2k5           LOAD      const    OOR      OOR prod regs 0, const regs 1
  V6-bindload-r4k2           LOAD      const    OOR      OOR prod regs 0, const regs 0
  V7-bindself-r1k1           SELF-2B   prod     OOR      OOR prod regs 0, const regs 0
  V7-bindself-r3k4           SELF-2B   prod     OOR      OOR prod regs 0, const regs 1
  V7-bindself-r3k5           SELF-2B   prod     OOR      OOR prod regs 0, const regs 1
  V7-bindself-r2k5           SELF-2B   prod     OOR      OOR prod regs 0, const regs 1
  V7-bindself-r4k2           SELF-2B   prod     OOR      OOR prod regs 0, const regs 0
  V8-bindcross-r1k1          CROSS     const    OOR      OOR prod regs 0, const regs 0
  V8-bindcross-r3k4          CROSS     prod     OOR      OOR prod regs 0, const regs 1
  V8-bindcross-r3k5          CROSS     prod     OOR      OOR prod regs 0, const regs 1
  V8-bindcross-r2k5          CROSS     prod     OOR      OOR prod regs 0, const regs 1
  V8-bindcross-r4k2          CROSS     prod     OOR      OOR prod regs 0, const regs 0
  V9-ptrlocal-r1k1           LOAD      prod     OOR      OOR prod regs 0, const regs 0
  V9-ptrlocal-r3k4           LOAD      const    OOR      OOR prod regs 0, const regs 1
  V9-ptrlocal-r3k5           LOAD      const    OOR      OOR prod regs 0, const regs 1
  V9-ptrlocal-r2k5           LOAD      const    OOR      OOR prod regs 0, const regs 1
  V9-ptrlocal-r4k2           LOAD      const    OOR      OOR prod regs 0, const regs 0

  frozen 45 | sha256 45 OK, 0 MOVED | reached 45 | GRADED 0 | out-of-domain 45 | compile-failed 0
  KEY ILX on the frozen holdout:  hit 0 | MISS 0
  the shipped refusal on the same 0 cells:  right 0 | WRONG 0 | refused 0
  V2 (registered: KEY ILX misses at least one) -> **MISS — the key is 0-wrong on this holdout**
  V3 (control: >= 3 (1,1) cells, and they do not all predict one way) -> 9 cells, predictions ['const', 'prod']
