1088:    gap-metric tu-total 878
1089:    gap-metric graded 871
1090:    gap-metric match 10
1091:    gap-metric mismatch 0
1092:    gap-metric codegen-gap 0
1093:    gap-metric vocab-gap 861
1094:    gap-metric port-error 0
1095:    gap-metric capture-fail 7
1096:    gap-metric factor-a 28
1097:    gap-metric factor-a-lo 27
1098:    gap-metric factor-b 338
1099:    gap-metric factor-c 169
1100:    gap-metric factor-d 10
1101:    gap-metric factor-e 2
1102:    gap-metric b-and-c 151
1103:    gap-metric a-and-b-and-c 27
1104:    gap-metric a-and-b-and-c-and-d 8
1105:    gap-metric a-and-b-and-c-and-d-or-e 10
1106:    gap-metric frontier 17
1107:    gap-metric frontier-if-a 139
1108:    gap-metric emit-predicate-worth 124
1109:    gap-metric writer-sections 10
1110:    gap-metric cfg-reach-bottom 0
1111:    gap-metric cfg-reach-enumerated 3
1112:    gap-metric cfg-reach-shipped 3
1113:    gap-metric cfg-reach-top 17
1114:    gap-metric cfg-bounds-violations 0
1115:    gap-metric cfg-subclass-entries 4
1116:    gap-metric cfg-subclass-restricted 0
1117:    gap-metric cfg-subclass-unwitnessed 0
1118:    gap-metric cfg-subclass-intruders 0
1119:    gap-metric workload-sections 13
1120:    gap-metric ladder-steps 3
1121:    gap-metric ladder-head .rdata$r
1122:    gap-metric ladder-head-c 590
1123:    gap-metric progress-mass 0.20828
1124:    gap-metric progress-emitted-in-class 39177
1125:    gap-metric progress-emitted-total 178975
1126:    gap-metric progress-mismatch-zeroed 0
1127:    gap-metric fnbyte-match 0.20106
1128:    gap-metric fnbyte-exact 35982
1129:    gap-metric fnbyte-denominator 178975
1130:    gap-metric fnbyte-differs 3195
1131:    gap-metric fnbyte-partial 0
1132:    gap-metric fnbyte-refused 130573
1133:    gap-metric fnbyte-unbound 9225
1134:    gap-metric fnbyte-partition-broken 0
1135:    gap-metric fnbyte-census-disagree 0
1136:    gap-metric fnbyte-exact-relocated 4664
1137:    gap-metric fnbyte-match-tu-differs 0
1138:    gap-metric fnbyte-whole-tu 2
1139:    gap-metric fnbyte-tus-full 6
1140:    gap-metric fnbyte-tus 865
1141:    gap-metric fnbyte-elided 1516
1142:    gap-metric fnbyte-elided-exact 1516
1143:    gap-metric fnbyte-name-disagree 74955
1144:    gap-metric fnbyte-shape-parse-refused-refused 130573
1145:    gap-metric fnbyte-shape-plain-exact 29352
1146:    gap-metric fnbyte-shape-unbound-unbound 9225
1147:    gap-metric fnbyte-shape-tail-exact 5567
1148:    gap-metric fnbyte-shape-seq-differs 1541
1149:    gap-metric fnbyte-shape-tail-differs 1531
1150:    gap-metric fnbyte-shape-seq-exact 609
1151:    gap-metric fnbyte-shape-float-exact 450
1152:    gap-metric fnbyte-shape-framed-differs 123
1153:    gap-metric fnbyte-shape-cond-pair-exact 4
1154:    gap-metric fnbyte-decline-opt-mode 0
1155:    gap-metric fnbyte-decline-selector 130573
1156:    gap-metric fnbyte-decline-gy-shape 0
1157:    gap-metric fnbyte-decline-data-ref 0
1158:    gap-metric fnbyte-differs-witnesses 1333
1159:    gap-metric frontier-bytefrac-top-tu src/xdk/nuispeech/mmio.cpp
1160:    gap-metric frontier-bytefrac-top-accepted 64
1161:    gap-metric frontier-bytefrac-top-denominator 380
1162:    gap-metric frontier-bytefrac-zero 14
1163:    gap-metric frontier-bytefrac-no-denominator 0
1164:    gap-metric bytefrac-control-full 3
1165:    gap-metric bytefrac-control-no-denominator 5
1166:    gap-metric bytefrac-control-shortfall-explained 2
1167:    gap-metric bytefrac-control-unexplained 0
