# 79 distinct arms over 111 jump-table entries
# arm       nforms  nopcodes  forms
10bf9f91       1       104  78
10bfa456       2        77  22,49
10bfa9f0       2        38  92,94
10bfa53b       1        28  39
10bfa4df       1        28  25
10bfa1a1       2        23  28,61
10bfa17f       2        22  26,50
10bfa4c8       1        20  47
10bfa81d       7        19  8,9,10,11,13,48,60
10bfa49a       1        18  24
10bfa667       3        16  21,45,46
10bfa082       1        14  80
10bfa676       3        13  27,58,71
10bfa1ad       1        13  37
10bfa9bd       1        12  91
10bfa14e       1        11  74
10bfa015       1        11  79
10bfa98f       1         9  88
10bfa8ae       1         9  111
10bfa587       1         9  38
10bfa18b       1         9  77
10bfad76       2         8  68,69
10bfa94b       1         7  90
10bfa56b       1         6  43
10bfa4ed       1         6  51
10bfa2a5       2         5  3,55
10bfad3b       2         4  66,67
10bfab48       2         4  102,104
10bfaa7e       1         4  93
10bfa75c       2         4  20,44
10bfa549       1         4  36
10bfa478       1         4  23
10bfa34f       2         4  12,14
10bfa326       1         4  5
10bfa2b0       1         4  4
10bf9fd1       2         4  81,82
10bfae1b      12         3  35,52,53,59,72,73,87,89,95,96,98,100
10bfa79e       1         3  57
10bfa057       1         3  84
10bfadb7       1         2  70
10bfaa42       1         2  101
10bfa83a       1         2  19
10bfa801       1         2  64
10bfa7f4       1         2  63
10bfa741       1         2  31
10bfa719       1         2  56
10bfa6dc       1         2  42
10bfa6a1       1         2  40
10bfa685       1         2  41
10bfa5b4       1         2  32
10bfa5a0       1         2  33
10bfa2c2       1         2  1
10bfa285       1         2  7
10bfa263       1         2  6
10bfae00       1         1  109
10bfade3       1         1  110
10bfacee       1         1  107
10bfaccd       1         1  106
10bfac63       1         1  105
10bfac3f       1         1  99
10bfabf0       1         1  97
10bfaadd       1         1  103
10bfa902       1         1  86
10bfa84e       1         1  65
10bfa846       1         1  18
10bfa827       1         1  17
10bfa7d0       1         1  108
10bfa7a3       1         1  62
10bfa76a       1         1  54
10bfa646       1         1  34
10bfa61e       1         1  29
10bfa602       1         1  30
10bfa415       1         1  16
10bfa3ba       1         1  15
10bfa26c       1         1  2
10bfa0f4       1         1  83
10bfa0d4       1         1  76
10bfa0b4       1         1  75
10bf9f5e       1         1  85
