tu	callee	size	linkage	selection	nparams	varargs	leaf	index	nmax	sites	survived	predicted	observed	verdict
src/system/utl/NetCacheMgr_Xbox.cpp	?MakeString@@YAPBDPBD@Z	52	EXTERNAL	ANY	1	0	0	44	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/system/utl/NetCacheMgr_Xbox.cpp	??6DebugNotifier@@QAAXPBD@Z	12	EXTERNAL	ANY	2	0	0	0	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/system/utl/NetCacheMgr_Xbox.cpp	??6DebugFailer@@QAAXPBD@Z	16	EXTERNAL	ANY	2	0	0	4	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/system/utl/NetCacheMgr_Xbox.cpp	?GetState@XLSPConnection@@QAA?AW4State@1@XZ	8	EXTERNAL	ANY	1	0	1	0	inf	3	0	INLINED-ALL	INLINED-ALL	HIT
src/system/utl/NetCacheMgr_Xbox.cpp	?GetConnectionRequest@XLSPConnection@@QBAHXZ	8	EXTERNAL	ANY	1	0	1	0	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/system/utl/NetCacheMgr_Xbox.cpp	?StaticClassName@Object@Hmx@@SA?AVSymbol@@XZ	128	EXTERNAL	ANY	0	0	1	124	0	1	1	DECLINED	DECLINED	HIT
src/system/utl/NetCacheMgr_Xbox.cpp	??1NetCacheMgrXbox@@UAA@XZ	132	EXTERNAL	NODUPLICATES	1	0	1	132	0	1	1	DECLINED	DECLINED	HIT
src/system/utl/NetCacheMgr_Xbox.cpp	??$MakeString@$$BY0CE@$$CBDH$$BY0BB@$$CBD@@YAPBDPBDAAY0CE@$$CBDABHAAY0BB@$$CBD@Z	88	EXTERNAL	ANY	4	0	0	68	0	1	1	DECLINED	DECLINED	HIT
src/system/synth/FxSendPitchShift.cpp	??5BinStream@@QAAAAV0@AAH@Z	52	EXTERNAL	ANY	2	0	0	40	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	??5BinStream@@QAAAAV0@AAM@Z	52	EXTERNAL	ANY	2	0	0	40	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	??6BinStream@@QAAAAV0@H@Z	60	EXTERNAL	ANY	2	0	0	48	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	??6BinStream@@QAAAAV0@M@Z	60	EXTERNAL	ANY	2	0	0	48	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	?MakeString@@YAPBDPBD@Z	52	EXTERNAL	ANY	1	0	0	44	inf	5	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	??6DebugNotifier@@QAAXPBD@Z	12	EXTERNAL	ANY	2	0	0	0	inf	2	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	??6DebugFailer@@QAAXPBD@Z	16	EXTERNAL	ANY	2	0	0	4	inf	4	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	??3DataArray@@SAXPAX@Z	32	EXTERNAL	ANY	1	0	0	24	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	??_GDataArray@@AAAPAXI@Z	100	EXTERNAL	ANY	2	0	0	88	0	1	1	DECLINED	DECLINED	HIT
src/system/synth/FxSendPitchShift.cpp	?CyclesToMs@Timer@@SAM_J@Z	72	EXTERNAL	ANY	1	0	1	64	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	?Split@Timer@@QAAXXZ	52	EXTERNAL	ANY	1	0	1	44	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	?Ms@Timer@@QAAMXZ	76	EXTERNAL	ANY	1	0	1	68	0	1	0	DECLINED	INLINED-ALL	MISS
src/system/synth/FxSendPitchShift.cpp	?Release@ObjRef@@IAAXPAV1@@Z	28	EXTERNAL	ANY	2	0	1	16	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	??1ObjRef@@UAA@XZ	16	EXTERNAL	ANY	1	0	1	8	inf	2	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	?Release@Object@Hmx@@QAAXPAVObjRef@@@Z	28	EXTERNAL	ANY	2	0	1	16	inf	2	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	??$MakeString@$$BY0BG@$$CBDH$$BY0L@$$CBD@@YAPBDPBDAAY0BG@$$CBDABHAAY0L@$$CBD@Z	88	EXTERNAL	ANY	4	0	0	68	0	1	1	DECLINED	DECLINED	HIT
src/system/synth/FxSendPitchShift.cpp	??1?$ObjRefConcrete@VFxSend@@VObjectDir@@@@UAA@XZ	64	EXTERNAL	ANY	1	0	1	56	inf	2	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	?AddRef@ObjRef@@IAAXPAV1@@Z	28	EXTERNAL	ANY	2	0	1	16	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	?AddRef@Object@Hmx@@QAAXPAVObjRef@@@Z	32	EXTERNAL	ANY	2	0	1	20	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	??1?$ObjOwnerPtr@VFxSend@@@@UAA@XZ	64	EXTERNAL	ANY	1	0	1	56	inf	2	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	?SetObjConcrete@?$ObjRefConcrete@VFxSend@@VObjectDir@@@@QAAXPAVFxSend@@@Z	80	EXTERNAL	ANY	2	0	1	68	0	1	1	DECLINED	DECLINED	HIT
src/system/synth/FxSendPitchShift.cpp	?Release@DataArray@@QAAXXZ	144	EXTERNAL	ANY	1	0	0	136	0	1	1	DECLINED	DECLINED	HIT
src/system/synth/FxSendPitchShift.cpp	?SplitMs@Timer@@QAAMXZ	124	EXTERNAL	ANY	1	0	1	116	0	1	1	DECLINED	DECLINED	HIT
src/system/synth/FxSendPitchShift.cpp	??1FxSend@@UAA@XZ	76	EXTERNAL	ANY	1	0	0	68	0	2	1	DECLINED	DECLINED	HIT
src/system/synth/FxSendPitchShift.cpp	?Str@Symbol@@QBAPBDXZ	8	EXTERNAL	ANY	1	0	1	0	inf	2	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	?StaticClassName@FxSend@@SA?AVSymbol@@XZ	128	EXTERNAL	ANY	0	0	1	124	0	2	1	DECLINED	DECLINED	HIT
src/system/synth/FxSendPitchShift.cpp	??3FxSend@@SAXPAX@Z	76	EXTERNAL	ANY	1	0	0	68	0	1	1	DECLINED	DECLINED	HIT
src/system/synth/FxSendPitchShift.cpp	?StaticClassName@FxSendPitchShift@@SA?AVSymbol@@XZ	128	EXTERNAL	ANY	0	0	1	124	0	2	1	DECLINED	DECLINED	HIT
src/system/synth/FxSendPitchShift.cpp	??3FxSendPitchShift@@SAXPAX@Z	76	EXTERNAL	ANY	1	0	0	68	0	1	1	DECLINED	DECLINED	HIT
src/system/synth/FxSendPitchShift.cpp	??1FxSendPitchShift@@UAA@XZ	4	EXTERNAL	ANY	1	0	0	-4	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/system/synth/FxSendPitchShift.cpp	?SetObj@?$ObjRefConcrete@VFxSend@@VObjectDir@@@@QAAPAVObject@Hmx@@PAV23@@Z	96	EXTERNAL	ANY	2	0	0	84	0	1	1	DECLINED	DECLINED	HIT
src/lazer/meta_ham/CalibrationPanel.cpp	?Str@Symbol@@QBAPBDXZ	8	EXTERNAL	ANY	1	0	1	0	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/lazer/meta_ham/CalibrationPanel.cpp	??8Symbol@@QBA_NABV0@@Z	24	EXTERNAL	ANY	2	0	1	12	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/lazer/meta_ham/CalibrationPanel.cpp	?__copy_trivial@stlpmtx_std@@YAPAXPBX0PAX@Z	68	EXTERNAL	ANY	3	0	0	52	inf	3	0	INLINED-ALL	INLINED-ALL	HIT
src/lazer/meta_ham/CalibrationPanel.cpp	??2@YAPAXIPAX@Z	8	EXTERNAL	ANY	2	0	1	-4	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/lazer/meta_ham/CalibrationPanel.cpp	?name@type_info@@QBAPBDXZ	12	EXTERNAL	ANY	1	0	0	4	inf	2	0	INLINED-ALL	INLINED-ALL	HIT
src/lazer/meta_ham/CalibrationPanel.cpp	??6DebugFailer@@QAAXPBD@Z	16	EXTERNAL	ANY	2	0	0	4	inf	4	0	INLINED-ALL	INLINED-ALL	HIT
src/lazer/meta_ham/CalibrationPanel.cpp	??3DataArray@@SAXPAX@Z	32	EXTERNAL	ANY	1	0	0	24	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/lazer/meta_ham/CalibrationPanel.cpp	??_GDataArray@@AAAPAXI@Z	100	EXTERNAL	ANY	2	0	0	88	0	1	1	DECLINED	DECLINED	HIT
src/lazer/meta_ham/CalibrationPanel.cpp	?CyclesToMs@Timer@@SAM_J@Z	72	EXTERNAL	ANY	1	0	1	64	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/lazer/meta_ham/CalibrationPanel.cpp	?Split@Timer@@QAAXXZ	52	EXTERNAL	ANY	1	0	1	44	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
src/lazer/meta_ham/CalibrationPanel.cpp	?Ms@Timer@@QAAMXZ	76	EXTERNAL	ANY	1	0	1	68	0	1	0	DECLINED	INLINED-ALL	MISS
src/lazer/meta_ham/CalibrationPanel.cpp	??1UIListProvider@@UAA@XZ	16	EXTERNAL	ANY	1	0	1	8	inf	1	0	INLINED-ALL	INLINED-ALL	HIT
