# w-joint3 (2026-08-24) -- CENSUS KEY POPULATIONS, the cheap half of board #3509.
#
# HANDOFF, not a work order. Board #3509 records that Phase 1's ten constructs
# have never been mapped to census keys -- ROADMAP_SLICING_2026-08-21.md section 3
# gives an opcode for THREE of TEN -- so "can Phase 1 convert a TU" is not
# decidable from any measurement in this tree. That read is ~0.5-1 day and this
# lane declined to take it rather than guess the mapping (decision 10's lesson).
# This file is its CHEAP HALF, delivered so the read starts from counted
# populations instead of from nothing.
#
# SORTED BY KEY NAME, DELIBERATELY. Sorting by mass would make this a ranking,
# and the rule against dispatching off a blocked-key size ranking has bound five
# times (#3505). Every number here is a FIRST-BLOCKER count: #3131 -- the port
# stops at the first refusal by design, so each body reports one key however many
# it has, and NONE of these columns is a distance or a reach.
#
# blocked_bodies : first-blocker count over the census route (4C 4F 11 splitter)
# tus            : distinct TUs in which the key appears at all
# emit_blockers  : the same key on the emitted-symbol-bound population, for
#                  scale only -- a DIFFERENT denominator, never summed with the first
#
# corpus  ../dc3-decomp 15a64d92f197+42949672950+42949672950 (clean)
# scan    c2rs 77dc81022 / binary b2241a63a00e / 878 TU rows
# totals  1710066 blocked bodies over 785 distinct keys; denominator 2,417,794 slots
#
key	blocked_bodies	tus	emit_blockers
assign-rhs-call-0x26	10	8	10
assign-store-type-8212	965	808	283
assign-store-type-8643	4556	490	1145
assign-store-type-8644	1400	698	5
body-0x54	2	2	0
body-0x5D	8	7	8
body-0x67	18800	816	1059
body-0x9B	27059	826	2214
body-cflow-label	45995	811	2837
call-arg-computed:eof	2888	719	297
call-arg-computed:mid	1718	804	85
call-arg-lit-wide:eof	1	1	1
call-arg-lit-wide:mid	703	703	1
call-arg-multi-sym:eof	17828	813	810
call-arg-multi-sym:mid	19274	812	494
call-arg-nonformal:eof	10	8	10
call-arg-nonformal:mid	2	2	2
call-arg-outer-formal:eof	1	1	1
call-arg-outer-formal:mid	692	689	3
call-arg-sym-permuted:eof	3	3	3
call-arg-sym-permuted:mid	3	2	3
call-args-none:mid	3293	721	209
call-bound-reload-0x26	7	7	7
call-bound-reload-0x53	33	21	33
call-bound-store-0x26	1	1	1
call-bound-store-0x2C	6	6	6
call-bound-store-0x30	703	703	1
call-bound-store-0x33	2	2	2
call-bound-store-0x82	3	3	3
call-bound-store-0x86	31	26	31
call-bound-store-0x88	1	1	1
call-bound-store-0x99	2303	701	27
call-conv-0x40	4	4	4
call-end-0x82	44	23	43
call-intrinsic-this-adjust	5	3	5
