mode	sign	op	k	words	shape	full	hex
/c /GR /O1 /Oi /EHsc	s	div	0	2	twi blr	twi 7,r0,0 ; blr 	0ce00000 4e800020
/c /GR /O1 /Oi /EHsc	s	mod	0	2	twi blr	twi 7,r0,0 ; blr 	0ce00000 4e800020
/c /GR /O1 /Oi /EHsc	u	div	0	2	twi blr	twi 7,r0,0 ; blr 	0ce00000 4e800020
/c /GR /O1 /Oi /EHsc	u	mod	0	2	twi blr	twi 7,r0,0 ; blr 	0ce00000 4e800020
/c /GR /O1 /Oi /EHsc	s	div	1	1	blr	blr 	4e800020
/c /GR /O1 /Oi /EHsc	s	mod	1	2	li blr	li r3,0 ; blr 	38600000 4e800020
/c /GR /O1 /Oi /EHsc	u	div	1	1	blr	blr 	4e800020
/c /GR /O1 /Oi /EHsc	u	mod	1	2	li blr	li r3,0 ; blr 	38600000 4e800020
/c /GR /O1 /Oi /EHsc	s	div	-1	2	neg blr	neg r3,r3 ; blr 	7c6300d0 4e800020
/c /GR /O1 /Oi /EHsc	s	mod	-1	2	li blr	li r3,0 ; blr 	38600000 4e800020
/c /GR /O1 /Oi /EHsc	s	div	2	3	srawi addze blr	srawi r11,r3,1 ; addze r3,r11 ; blr 	7c6b0e70 7c6b0194 4e800020
/c /GR /O1 /Oi /EHsc	s	mod	2	5	srawi addze rlwinm subf blr	srawi r11,r3,1 ; addze r11,r11 ; rlwinm r11,r11,1,0,30 ; subf r3,r11,r3 ; blr 	7c6b0e70 7d6b0194 556b083c 7c6b1850 4e800020
/c /GR /O1 /Oi /EHsc	u	div	2	2	rlwinm blr	rlwinm r3,r3,31,1,31 ; blr 	5463f87e 4e800020
/c /GR /O1 /Oi /EHsc	u	mod	2	2	rlwinm blr	rlwinm r3,r3,0,31,31 ; blr 	546307fe 4e800020
/c /GR /O1 /Oi /EHsc	s	div	-2	4	srawi addze neg blr	srawi r11,r3,1 ; addze r11,r11 ; neg r3,r11 ; blr 	7c6b0e70 7d6b0194 7c6b00d0 4e800020
/c /GR /O1 /Oi /EHsc	s	mod	-2	6	srawi addze neg mulli subf blr	srawi r11,r3,1 ; addze r11,r11 ; neg r11,r11 ; mulli r11,r11,-2 ; subf r3,r11,r3 ; blr 	7c6b0e70 7d6b0194 7d6b00d0 1d6bfffe 7c6b1850 4e800020
/c /GR /O1 /Oi /EHsc	s	div	3	3	li divw blr	li r11,3 ; divw r3,r3,r11 ; blr 	39600003 7c635bd6 4e800020
/c /GR /O1 /Oi /EHsc	s	mod	3	5	li divw mulli subf blr	li r11,3 ; divw r11,r3,r11 ; mulli r11,r11,3 ; subf r3,r11,r3 ; blr 	39600003 7d635bd6 1d6b0003 7c6b1850 4e800020
/c /GR /O1 /Oi /EHsc	u	div	3	3	li divwu blr	li r11,3 ; divwu r3,r3,r11 ; blr 	39600003 7c635b96 4e800020
/c /GR /O1 /Oi /EHsc	u	mod	3	5	li divwu mulli subf blr	li r11,3 ; divwu r11,r3,r11 ; mulli r11,r11,3 ; subf r3,r11,r3 ; blr 	39600003 7d635b96 1d6b0003 7c6b1850 4e800020
/c /GR /O1 /Oi /EHsc	s	div	-3	3	li divw blr	li r11,-3 ; divw r3,r3,r11 ; blr 	3960fffd 7c635bd6 4e800020
/c /GR /O1 /Oi /EHsc	s	mod	-3	5	li divw mulli subf blr	li r11,-3 ; divw r11,r3,r11 ; mulli r11,r11,-3 ; subf r3,r11,r3 ; blr 	3960fffd 7d635bd6 1d6bfffd 7c6b1850 4e800020
/c /GR /O1 /Oi /EHsc	s	div	4	3	srawi addze blr	srawi r11,r3,2 ; addze r3,r11 ; blr 	7c6b1670 7c6b0194 4e800020
/c /GR /O1 /Oi /EHsc	s	mod	4	5	srawi addze rlwinm subf blr	srawi r11,r3,2 ; addze r11,r11 ; rlwinm r11,r11,2,0,29 ; subf r3,r11,r3 ; blr 	7c6b1670 7d6b0194 556b103a 7c6b1850 4e800020
/c /GR /O1 /Oi /EHsc	u	div	4	2	rlwinm blr	rlwinm r3,r3,30,2,31 ; blr 	5463f0be 4e800020
/c /GR /O1 /Oi /EHsc	u	mod	4	2	rlwinm blr	rlwinm r3,r3,0,30,31 ; blr 	546307be 4e800020
/c /GR /O1 /Oi /EHsc	s	div	7	3	li divw blr	li r11,7 ; divw r3,r3,r11 ; blr 	39600007 7c635bd6 4e800020
/c /GR /O1 /Oi /EHsc	s	mod	7	5	li divw mulli subf blr	li r11,7 ; divw r11,r3,r11 ; mulli r11,r11,7 ; subf r3,r11,r3 ; blr 	39600007 7d635bd6 1d6b0007 7c6b1850 4e800020
/c /GR /O1 /Oi /EHsc	u	div	7	3	li divwu blr	li r11,7 ; divwu r3,r3,r11 ; blr 	39600007 7c635b96 4e800020
/c /GR /O1 /Oi /EHsc	u	mod	7	5	li divwu mulli subf blr	li r11,7 ; divwu r11,r3,r11 ; mulli r11,r11,7 ; subf r3,r11,r3 ; blr 	39600007 7d635b96 1d6b0007 7c6b1850 4e800020
/c /GR /O1 /Oi /EHsc	s	div	-7	3	li divw blr	li r11,-7 ; divw r3,r3,r11 ; blr 	3960fff9 7c635bd6 4e800020
/c /GR /O1 /Oi /EHsc	s	mod	-7	5	li divw mulli subf blr	li r11,-7 ; divw r11,r3,r11 ; mulli r11,r11,-7 ; subf r3,r11,r3 ; blr 	3960fff9 7d635bd6 1d6bfff9 7c6b1850 4e800020
/c /GR /O1 /Oi /EHsc	s	div	8	3	srawi addze blr	srawi r11,r3,3 ; addze r3,r11 ; blr 	7c6b1e70 7c6b0194 4e800020
/c /GR /O1 /Oi /EHsc	s	mod	8	5	srawi addze rlwinm subf blr	srawi r11,r3,3 ; addze r11,r11 ; rlwinm r11,r11,3,0,28 ; subf r3,r11,r3 ; blr 	7c6b1e70 7d6b0194 556b1838 7c6b1850 4e800020
/c /GR /O1 /Oi /EHsc	u	div	8	2	rlwinm blr	rlwinm r3,r3,29,3,31 ; blr 	5463e8fe 4e800020
/c /GR /O1 /Oi /EHsc	u	mod	8	2	rlwinm blr	rlwinm r3,r3,0,29,31 ; blr 	5463077e 4e800020
/c /GR /O1 /Oi /EHsc	s	div	16	3	srawi addze blr	srawi r11,r3,4 ; addze r3,r11 ; blr 	7c6b2670 7c6b0194 4e800020
/c /GR /O1 /Oi /EHsc	s	mod	16	5	srawi addze rlwinm subf blr	srawi r11,r3,4 ; addze r11,r11 ; rlwinm r11,r11,4,0,27 ; subf r3,r11,r3 ; blr 	7c6b2670 7d6b0194 556b2036 7c6b1850 4e800020
