name	axis	callee	n	mode	gwords	verdict	why	pred	got	gbody
A-ret-n1p0	A-ret	LD1	1	ret	1	HIT		80630004 4e800020	80630004 4e800020	80630004 4e800020
A-arith-n1p0	A-arith	LD1	1	arith	1	HIT		81630004 386bfffc 4e800020	81630004 386bfffc 4e800020	80630004 4e800020
A-ret-n2p0	A-ret	LD1	2	ret	1	HIT		80630004 4e800020	80630004 4e800020	80630004 4e800020
A-arith-n2p0	A-arith	LD1	2	arith	1	HIT		81630004 386bfffc 4e800020	81630004 386bfffc 4e800020	80630004 4e800020
A-ret-n2p1	A-ret	LD1	2	ret	1	HIT		80640004 4e800020	80640004 4e800020	80630004 4e800020
A-arith-n2p1	A-arith	LD1	2	arith	1	HIT		81640004 386bfffc 4e800020	81640004 386bfffc 4e800020	80630004 4e800020
A-ret-n3p0	A-ret	LD1	3	ret	1	HIT		80630004 4e800020	80630004 4e800020	80630004 4e800020
A-arith-n3p0	A-arith	LD1	3	arith	1	HIT		81630004 386bfffc 4e800020	81630004 386bfffc 4e800020	80630004 4e800020
A-ret-n3p1	A-ret	LD1	3	ret	1	HIT		80640004 4e800020	80640004 4e800020	80630004 4e800020
A-arith-n3p1	A-arith	LD1	3	arith	1	HIT		81640004 386bfffc 4e800020	81640004 386bfffc 4e800020	80630004 4e800020
A-ret-n3p2	A-ret	LD1	3	ret	1	HIT		80650004 4e800020	80650004 4e800020	80630004 4e800020
A-arith-n3p2	A-arith	LD1	3	arith	1	HIT		81650004 386bfffc 4e800020	81650004 386bfffc 4e800020	80630004 4e800020
A-ret-n4p0	A-ret	LD1	4	ret	1	HIT		80630004 4e800020	80630004 4e800020	80630004 4e800020
A-arith-n4p0	A-arith	LD1	4	arith	1	HIT		81630004 386bfffc 4e800020	81630004 386bfffc 4e800020	80630004 4e800020
A-ret-n4p1	A-ret	LD1	4	ret	1	HIT		80640004 4e800020	80640004 4e800020	80630004 4e800020
A-arith-n4p1	A-arith	LD1	4	arith	1	HIT		81640004 386bfffc 4e800020	81640004 386bfffc 4e800020	80630004 4e800020
A-ret-n4p2	A-ret	LD1	4	ret	1	HIT		80650004 4e800020	80650004 4e800020	80630004 4e800020
A-arith-n4p2	A-arith	LD1	4	arith	1	HIT		81650004 386bfffc 4e800020	81650004 386bfffc 4e800020	80630004 4e800020
A-ret-n4p3	A-ret	LD1	4	ret	1	HIT		80660004 4e800020	80660004 4e800020	80630004 4e800020
A-arith-n4p3	A-arith	LD1	4	arith	1	HIT		81660004 386bfffc 4e800020	81660004 386bfffc 4e800020	80630004 4e800020
A-void-n1p0	A-void	VOID1	1	void	2	HIT		39600000 91630008 4e800020	39600000 91630008 4e800020	39600000 91630008 4e800020
A-void-n2p0	A-void	VOID1	2	void	2	HIT		39600000 91630008 4e800020	39600000 91630008 4e800020	39600000 91630008 4e800020
A-void-n2p1	A-void	VOID1	2	void	2	HIT		39600000 91640008 4e800020	39600000 91640008 4e800020	39600000 91630008 4e800020
A-void-n3p0	A-void	VOID1	3	void	2	HIT		39600000 91630008 4e800020	39600000 91630008 4e800020	39600000 91630008 4e800020
A-void-n3p1	A-void	VOID1	3	void	2	HIT		39600000 91640008 4e800020	39600000 91640008 4e800020	39600000 91630008 4e800020
A-void-n3p2	A-void	VOID1	3	void	2	HIT		39600000 91650008 4e800020	39600000 91650008 4e800020	39600000 91630008 4e800020
A-two-SUM-01	A-two	SUM	2	ret	1	OUT-OF-DOMAIN	D10-commutative		7c632214 4e800020	7c632214 4e800020
A-twoa-SUM-01	A-two	SUM	2	arith	1	OUT-OF-DOMAIN	D10-commutative		7d632214 386b0007 4e800020	7c632214 4e800020
A-two-SUM-10	A-two	SUM	2	ret	1	OUT-OF-DOMAIN	D10-commutative		7c632214 4e800020	7c632214 4e800020
A-twoa-SUM-10	A-two	SUM	2	arith	1	OUT-OF-DOMAIN	D10-commutative		7d632214 386b0007 4e800020	7c632214 4e800020
A-two-SUB-01	A-two	SUB	2	ret	1	HIT		7c641850 4e800020	7c641850 4e800020	7c641850 4e800020
A-twoa-SUB-01	A-two	SUB	2	arith	1	HIT		7d641850 386b0007 4e800020	7d641850 386b0007 4e800020	7c641850 4e800020
A-two-SUB-10	A-two	SUB	2	ret	1	HIT		7c632050 4e800020	7c632050 4e800020	7c641850 4e800020
A-twoa-SUB-10	A-two	SUB	2	arith	1	HIT		7d632050 386b0007 4e800020	7d632050 386b0007 4e800020	7c641850 4e800020
A-ret0-add1	A-len	ADD1	1	ret	1	HIT		38630001 4e800020	38630001 4e800020	38630001 4e800020
A-arith-add1	A-len	ADD1	1	arith	1	OUT-OF-DOMAIN	D11-const-fold		38630006 4e800020	38630001 4e800020
A-ret-ldc	A-len	LDc	2	ret	1	HIT		80640008 4e800020	80640008 4e800020	80630008 4e800020
A-arith-ldc	A-len	LDc	2	arith	1	HIT		81640008 386b0003 4e800020	81640008 386b0003 4e800020	80630008 4e800020
