J:ORACLE       ['1.00000', '0.94224', '0.97026'] exact 2 Rd 118
J:ORACLE_LOOSE ['1.00000', '0.94389', '0.97114'] exact 3 Rd 123
J:ORACLE_DATA  ['1.00000', '0.94224', '0.97026'] exact 2 Rd 118
J:ALL          ['0.10604', '0.94224', '0.19062'] exact 2 Rd 6539
J:NONE         ['1.00000', '0.73927', '0.85009'] exact 2 Rd 0
J:F20_400      ['0.15999', '0.81683', '0.26757'] exact 2 Rd 3974
J:F20_80       ['1.00000', '0.73927', '0.85009'] exact 2 Rd 0
J:F20_480      ['0.15999', '0.81683', '0.26757'] exact 2 Rd 3974
J:F20_4000     ['0.11694', '0.89769', '0.20692'] exact 2 Rd 6341
J:F20_60_20    ['0.10604', '0.94224', '0.19062'] exact 2 Rd 6539
J:F20_1000     ['0.13238', '0.80693', '0.22744'] exact 2 Rd 5173
J:F20_2000     ['0.55966', '0.75083', '0.64130'] exact 2 Rd 819
J:TAG_02       ['0.10735', '0.94224', '0.19274'] exact 2 Rd 1094
J:TAG_01       ['0.87160', '0.73927', '0.80000'] exact 2 Rd 5445
J:SC_STATIC    ['1.00000', '0.73927', '0.85009'] exact 2 Rd 0
